DateTime,AddedIPs,RemovedIPs
1459123543,4,4
1459209939,5,5
1459296340,5,5
1459382740,4,4
1459469141,7,7
1459555544,5,5
1459641938,5,5
1459728341,3,3
1459814746,7,7
1459987544,6,6
1460073950,5,5
1460246756,6,6
1460333160,5,5
1460505964,5,5
1460592345,5,5
1460765149,10,10
1460937950,10,10
1461024341,5,5
1461197145,8,8
1461283542,7,7
1461369941,2,2
1461456341,6,6
1461542747,4,4
1461801945,5,5
1461974735,4,4
1462061139,5,5
1462147538,5,5
1462233944,5,5
1462320339,2,2
1462493142,5,5
1462665937,6,6
1462752342,5,5
1462838753,5,5
1462925147,6,6
1463011541,7,7
1463097935,4,4
1463184340,3,3
1463270741,3,3
1463357133,5,5
1463443536,3,3
1463529932,4,4
1463616335,8,8
1463702737,8,8
1463789140,6,6
1463875534,3,3
1463961940,3,3
1464048335,4,4
1464134741,7,7
1464307536,7,7
1464393934,4,4
1464480342,5,5
1464566741,7,7
1464653138,6,6
1464739540,4,4
1464912337,6,6
1465085144,4,4
1465257956,5,5
1465344351,4,4
1465517152,5,5
1465603564,5,5
1465689976,6,6
1465862757,8,8
1465949190,8,8
1466121974,5,5
1466208410,5,5
1466381216,5,5
1466467606,7,7
1466568353,7,7
1466935547,10,10
1467209145,10,10
1467335156,8,8
1467417973,6,6
1467590768,7,7
1467763571,7,7
1467849974,8,8
1467936396,7,7
1468022801,6,6
1468195598,5,5
1468282016,5,5
1468454821,7,7
1468627581,6,6
1468713972,5,5
1468886797,6,6
1469059572,8,8
1469145988,6,6
1469318780,9,9
1469491592,1,1
1469664363,2,2
1469837170,4,4
1470009981,7,7
1470182760,9,9
1470355570,7,7
1470528368,7,7
1470701184,4,4
1470873962,4,4
1471046775,5,5
1471133154,1,1
1471219554,3,3
1471392367,5,5
1471651599,8,8
1471737987,4,4
1471824394,3,3
1471910808,5,5
1471997180,4,4
1472083573,4,4
1472169968,3,3
1472342777,7,7
1472515561,8,8
1472601959,4,4
1472688377,7,7
1472861170,7,7
1473033966,6,6
1473206788,5,5
1473379560,7,7
1473552373,6,6
1473725176,7,7
1473897960,4,4
1474070759,5,5
1474243561,4,4
1474329972,4,4
1474416368,5,5
1474502754,4,4
1474675559,5,5
1474848362,5,5
1474934761,4,4
1475021182,5,5
1475107619,4,4
1475197573,6,6
1475370362,5,5
1475539630,4,4
1475712359,8,8
1475885153,6,6
1476057962,5,5
1476144354,7,7
1476230773,4,4
1476317176,4,4
1476453978,5,5
1476490095,2,2
1476594475,4,4
1476749175,4,4
1476868123,3,3
1476972386,2,2
1477112828,6,6
1477202780,5,5
1477317989,6,6
1477479980,8,8
1477577160,4,4
1477742775,6,6
1477818372,2,2
1477872498,3,3
1477994778,7,7
1478045370,2,2
1478138895,4,4
1478304540,3,3
1478390935,2,2
1478477368,3,3
1478563711,2,2
1478650146,2,2
1478822875,7,7
1478909282,5,5
1479027974,4,4
1479082108,3,3
1479168551,6,6
1479254966,5,5
1479341331,6,6
1479427759,4,4
1479542774,5,5
1479622085,7,7
1479686911,2,2
1479773296,6,6
1479859797,6,6
1479946132,3,3
1480032547,4,4
1480118871,4,4
1480219669,5,5
1480378173,5,5
1480464544,2,2
1480550952,3,3
