DateTime,AddedIPs,RemovedIPs
1459123891,3,0
1459210286,4,0
1459296691,4,0
1459383060,3,0
1459642294,1,0
1459728664,2,0
1459901537,1,0
1459987930,1,0
1460247159,2,0
1460333572,1,0
1460506389,2,0
1460592741,2,0
1460679145,1,0
1460938338,3,0
1461024711,1,0
1461111116,1,0
1461370321,4,0
1461543110,2,0
1461888745,0,2
1461975085,0,1
1462147870,1,0
1462407112,1,0
1462493496,1,0
1462579929,0,1
1462752671,2,0
1462839093,1,0
1463011861,1,0
1463184661,1,1
1463271061,1,0
1463357450,1,0
1463443879,1,0
1463616650,0,2
1463703100,2,2
1464048687,0,2
1464135064,0,1
1464221643,0,3
1464308029,0,2
1464394243,3,0
1464480718,1,0
1464567109,1,1
1464739955,0,1
1464912842,0,1
1464999261,0,2
1465085681,1,0
1465258583,0,1
1465517970,0,1
1465690980,0,3
1465777201,2,0
1466122966,1,0
1466296120,1,1
1466382584,1,0
1466469043,0,1
1466568755,0,1
1466935958,0,4
1467209498,7,1
1467677888,1,1
1467764396,4,0
1467850936,2,0
1467937429,0,1
1468110529,3,0
1468283211,3,0
1468369643,0,1
1468456085,2,0
1468542273,1,0
1468628431,1,0
1468974132,0,1
1469060403,1,0
1469319607,2,0
1469405850,1,0
1469665000,0,1
1469837771,2,0
1469924160,2,7
1470010739,1,0
1470097008,2,0
1470183433,2,0
1470356285,1,6
1470529110,0,1
1470615429,1,1
1470788219,1,0
1470874545,1,0
1470960989,1,3
1471047406,0,2
1471133567,1,2
1471219862,0,2
1471392999,0,4
1471652905,2,1
1471739043,5,0
1471998185,1,3
1472084536,3,0
1472170954,1,0
1472257349,4,0
1472343603,0,1
1472429984,1,2
1472516269,3,1
1472602436,1,0
1472775512,0,5
1472861793,1,0
1473121337,1,1
1473380379,1,2
1473466777,0,1
1473553143,0,2
1473639494,1,0
1473812105,0,1
1473898653,1,0
1473985052,2,0
1474071442,1,4
1474244245,1,0
1474330687,1,1
1474417144,0,1
1474503291,1,1
1474589901,2,0
1474676261,2,1
1474762683,1,0
1474935177,0,3
1475021892,0,4
1475108884,2,0
1475198488,1,1
1475284849,1,0
1475371279,1,2
1475540885,0,1
1475885551,1,0
1476058304,0,1
1476144879,1,0
1476454939,1,1
1476492676,2,0
1476596596,3,1
1476749809,0,1
1476973349,0,2
1477114570,1,2
1477203828,2,3
1477577895,2,0
1477743648,0,1
1477875554,1,1
1477995739,0,1
1478141057,1,0
1478566502,1,0
1478652917,1,1
1478825703,0,1
1479084820,0,1
1479171207,0,1
1479344071,0,1
1479430565,1,1
1479543658,3,0
1479689513,1,1
1479948769,1,2
1480035249,0,2
1480121946,1,0
1480221822,1,4
1480380881,1,2
1480553539,0,1
