DateTime,AddedIPs,RemovedIPs
1459123891,3,3
1459210286,6,6
1459296691,8,8
1459383060,5,5
1459469472,4,4
1459555896,4,4
1459642294,5,5
1459728664,6,6
1459815118,3,3
1459901537,5,5
1459987930,7,7
1460074377,4,4
1460247159,5,5
1460333572,6,6
1460506389,5,5
1460592741,8,8
1460679145,4,4
1460765552,7,7
1460851923,3,3
1460938338,3,3
1461024711,6,6
1461111116,4,4
1461197553,7,7
1461283933,7,7
1461370321,9,9
1461456698,8,8
1461543110,7,7
1461715955,7,7
1461802297,5,5
1461888745,4,4
1461975085,5,5
1462061530,7,7
1462147870,5,5
1462234278,5,5
1462320647,7,7
1462407112,6,6
1462493496,6,6
1462579929,5,5
1462666278,5,5
1462752671,5,5
1462839093,5,5
1462925451,5,5
1463011861,7,7
1463098240,8,8
1463184661,7,7
1463271061,6,6
1463357450,5,5
1463443879,4,4
1463530269,5,5
1463616650,8,8
1463703100,7,7
1463789472,6,6
1463875855,3,3
1463962292,3,3
1464048687,6,6
1464135064,6,6
1464221643,7,7
1464308029,8,8
1464394243,8,8
1464480718,6,6
1464567109,7,7
1464653530,3,3
1464739955,5,5
1464912842,5,5
1464999261,8,8
1465085681,7,7
1465172148,5,5
1465258583,4,4
1465345034,4,4
1465517970,7,7
1465690980,6,6
1465777201,5,5
1465863481,4,4
1466036908,7,7
1466122966,7,7
1466296120,6,6
1466382584,7,7
1466469043,5,5
1466568755,5,5
1466935958,4,4
1467209498,10,10
1467336065,9,9
1467418784,4,4
1467504969,6,6
1467591533,5,5
1467677888,6,6
1467764396,8,8
1467850936,8,8
1467937429,6,6
1468024016,6,6
1468110529,8,8
1468196837,9,9
1468283211,9,9
1468369643,9,9
1468456085,7,7
1468542273,8,8
1468628431,5,5
1468714900,8,8
1468887992,6,6
1468974132,7,7
1469060403,3,3
1469233642,5,5
1469319607,7,7
1469405850,6,6
1469492159,3,3
1469578548,5,5
1469665000,5,5
1469751387,5,5
1469837771,6,6
1469924160,6,6
1470010739,8,8
1470097008,6,6
1470183433,7,7
1470356285,7,7
1470442799,5,5
1470529110,4,4
1470615429,2,2
1470701820,5,5
1470788219,7,7
1470874545,7,7
1470960989,6,6
1471047406,6,6
1471133567,6,6
1471219862,6,6
1471392999,4,4
1471652905,7,7
1471739043,8,8
1471825499,4,4
1471998185,6,6
1472084536,5,5
1472170954,6,6
1472257349,6,6
1472343603,8,8
1472429984,7,7
1472516269,8,8
1472602436,8,8
1472775512,6,6
1472861793,7,7
1472948269,3,3
1473121337,4,4
1473207676,4,4
1473294005,3,3
1473380379,6,6
1473466777,5,5
1473553143,3,3
1473639494,4,4
1473725877,3,3
1473812105,5,5
1473898653,4,4
1473985052,5,5
1474071442,6,6
1474157837,8,8
1474244245,7,7
1474330687,8,8
1474417144,7,7
1474503291,4,4
1474589901,6,6
1474676261,8,8
1474762683,7,7
1474849153,4,4
1474935177,6,6
1475021892,5,5
1475108884,7,7
1475198488,10,10
1475284849,5,5
1475371279,6,6
1475540885,5,5
1475712924,5,5
1475799187,5,5
1475885551,6,6
1475972015,6,6
1476058304,6,6
1476144879,7,7
1476231322,6,6
1476317887,6,6
1476454939,6,6
1476492676,6,6
1476596596,8,8
1476749809,8,8
1476869894,7,7
1476973349,6,6
1477114570,7,7
1477203828,5,5
1477319243,9,9
1477481054,9,9
1477577895,9,9
1477743648,9,9
1477819375,8,8
1477875554,8,8
1477995739,5,5
1478048111,6,6
1478141057,7,7
1478307345,6,6
1478393839,5,5
1478566502,5,5
1478652917,8,8
1478825703,6,6
1478912169,5,5
1479084820,7,7
1479171207,4,4
1479344071,5,5
1479430565,5,5
1479543658,6,6
1479623991,7,7
1479689513,6,6
1479776054,5,5
1479948769,7,7
1480035249,5,5
1480121946,6,6
1480221822,8,8
1480380881,6,6
1480467347,6,6
1480553539,5,5
