DateTime,AddedIPs,RemovedIPs
1459123821,7,0
1459210209,6,0
1459296619,1,4
1459382997,5,5
1459469414,6,10
1459555828,5,6
1459642218,5,4
1459728610,2,3
1459815046,6,0
1459901460,4,7
1459987850,5,7
1460074293,5,0
1460247068,5,16
1460333498,6,0
1460506302,6,12
1460592648,7,0
1460679062,6,0
1460765468,5,12
1460851847,7,0
1460938263,5,11
1461024632,7,7
1461111048,7,0
1461197472,5,5
1461283849,7,6
1461370257,5,6
1461456636,6,7
1461543046,6,6
1461715858,10,13
1461802235,7,8
1461888667,9,0
1461975022,6,9
1462061454,6,7
1462147817,6,8
1462234219,7,5
1462320598,6,7
1462407039,5,5
1462493432,4,4
1462579864,4,10
1462666217,8,6
1462752609,7,0
1462839029,8,8
1462925399,6,7
1463011812,9,7
1463098186,6,7
1463184611,5,8
1463271010,5,4
1463357394,8,14
1463443814,1,0
1463530209,7,7
1463616589,10,9
1463703020,8,0
1463789416,3,7
1463875802,5,14
1463962237,3,0
1464048622,8,5
1464135010,4,7
1464221552,8,0
1464307939,6,7
1464394198,6,15
1464480655,5,0
1464567047,6,11
1464653465,5,6
1464739875,4,0
1464912752,9,18
1464999179,5,0
1465085590,3,0
1465258474,6,14
1465344888,5,0
1465517781,8,13
1465690743,10,0
1465777021,4,10
1465863342,6,0
1466036681,5,15
1466122793,4,0
1466295903,5,9
1466468787,7,7
1466568671,3,3
1466935870,9,9
1467209420,8,8
1467335840,5,0
1467418666,7,0
1467504885,4,5
1467591412,4,5
1467677764,5,6
1467850765,9,18
1468023798,8,8
1468196614,8,8
1468369410,7,0
1468542052,5,6
1468628245,5,5
1468801414,6,12
1468887813,7,0
1468973965,4,0
1469060263,4,5
1469233419,8,18
1469319465,5,0
1469405745,3,0
1469492079,1,5
1469578469,1,2
1469664918,2,1
1469751297,3,1
1469837659,2,1
1469924046,2,4
1470010593,2,2
1470096882,5,3
1470183305,5,2
1470356141,5,15
1470528975,6,0
1470615307,5,6
1470701709,6,0
1470788117,4,5
1470874449,4,6
1470960875,5,4
1471047292,6,9
1471133498,2,0
1471219815,3,4
1471392900,5,12
1471652652,9,9
1471738852,5,0
1471911775,8,13
1471998014,7,0
1472084354,7,0
1472257156,2,16
1472343460,5,0
1472516125,6,11
1472602303,4,0
1472775390,5,9
1472861712,4,0
1472948128,5,0
1473121170,5,14
1473207501,5,0
1473293842,7,0
1473380221,2,5
1473553014,4,13
1473639359,6,0
1473725761,5,0
1473811990,4,10
1473984952,3,8
1474071340,4,0
1474157746,5,0
1474244162,4,4
1474330566,5,8
1474503181,4,10
1474676169,4,0
1474762584,4,4
1474849033,6,0
1474935099,5,4
1475021766,4,15
1475108673,6,0
1475198361,7,13
1475284705,8,0
1475371155,6,0
1475540723,5,19
1475712815,10,0
1475799132,8,8
1475885470,4,0
1475971931,3,12
1476058237,4,0
1476144832,9,5
1476317809,3,16
1476454827,5,5
1476492390,2,0
1476596393,6,2
1476749767,5,6
1476869812,2,5
1476973259,2,1
1477114391,8,2
1477203677,6,8
1477319071,3,5
1477480879,5,4
1477577762,5,6
1477743504,4,4
1477819228,2,4
1477875086,4,0
1477995610,6,6
1478047766,4,7
1478140796,5,0
1478307003,2,7
1478393504,3,4
1478566100,6,3
1478652483,4,5
1478825169,9,5
1478911667,9,9
1479084329,6,9
1479170792,2,4
1479257269,3,4
1479343591,7,0
1479429970,4,3
1479543498,4,9
1479623760,5,0
1479689065,4,5
1479775593,3,8
1479948401,6,5
1480034762,4,6
1480121437,6,3
1480221575,4,6
1480380590,5,4
1480467054,3,5
1480553220,2,2
