DateTime,AddedIPs,RemovedIPs
1530548499,1,0
1530673296,0,1
1531526490,1,0
1532044891,1,0
1532228500,0,1
1532390483,1,0
1532476885,1,0
1532563289,1,0
1532649700,1,0
1532746896,0,1
1532908893,1,0
1533081690,1,0
1533092493,0,1
1533178888,0,1
1533265295,0,1
1533351699,0,1
1533610899,0,1
1533772893,1,0
1533783684,0,1
1534150911,0,0
1534474889,0,1
1536278480,1,0
1536980479,0,1
1537056080,1,0
1537758071,0,1
1538179285,1,0
1538524880,2,0
1538625682,1,0
1538636479,0,1
1538881282,0,1
1539187272,1,0
1539198072,0,1
1539226881,0,2
1539388880,1,0
1540090889,0,1
1540944079,1,0
1541203279,1,0
1541462479,1,0
1541646076,0,1
1541721679,1,0
1541905281,0,1
1541966480,1,0
1541977281,0,1
1541988083,1,0
1542060082,0,1
1542063682,1,0
1542074482,0,1
1542078081,1,0
1542124882,0,1
1542128480,1,0
1542153676,0,1
1542164482,0,1
1542423675,0,1
1543017671,1,0
1543276875,1,0
1543719689,0,1
1543978883,0,1
1544313641,4,0
1545015678,0,4
1545609687,1,0
1545782480,1,0
1545868879,1,0
1546214478,1,0
1546311689,0,1
1546484484,0,1
1546570890,0,1
1546732889,1,0
1546905681,1,0
1546916497,0,1
1547164877,1,0
1547337679,1,0
1547434888,0,1
1547607686,0,1
1547683286,4,0
1547866891,0,1
1548039686,0,1
1548374478,1,0
1548385285,0,4
1549076481,0,1
1549929679,1,0
1550188890,1,0
1550620890,1,0
1550631683,0,1
1550890878,0,1
1551225683,1,0
1551322892,0,1
1551398635,1,0
1551927686,0,1
1552003280,1,0
1552100484,0,1
1552694481,3,0
1552705285,0,1
1553126481,1,0
1553212877,1,0
1553396485,0,3
1553817673,12,0
1553828486,0,1
1553904079,1,0
1553914882,0,1
1554508882,1,0
1554519684,0,12
1554606084,0,1
1555200086,1,0
1555203682,1,0
1555207284,1,0
1555210882,1,0
1555214482,1,1
1555218081,0,1
1555221681,0,1
1555225272,1,0
1555228883,1,0
1555232482,1,1
1555236082,0,1
1555239681,1,0
1555243282,0,1
1555254083,1,0
1555257681,1,1
1555261283,1,1
1555264882,0,1
1555268482,1,0
1555272083,0,1
1555275682,1,1
1555279282,1,0
1555282882,0,1
1555286485,1,0
1555290083,1,1
1555293685,1,0
1555297282,0,1
1555300882,1,1
1555304483,0,1
1555308082,1,0
1555311682,1,0
1555315282,1,1
1555318882,0,1
1555326081,0,1
1555329681,1,0
1555333271,1,0
1555336881,1,1
1555340483,0,1
1555344082,1,1
1555351282,1,1
1555354881,1,0
1555358482,1,1
1555362082,0,1
1555365681,1,1
1555369284,1,1
1555372881,1,0
1555376479,0,1
1555383678,0,1
1555387277,1,0
1555398078,1,1
1555401677,1,0
1555405277,0,1
1555408877,1,1
1555412478,0,1
1555416077,1,0
1555419680,1,1
1555423277,1,0
1555426878,0,1
1555430478,1,1
1555434078,1,1
1555437678,1,0
1555444877,1,1
1555448477,1,1
1555455677,1,1
1555459278,0,1
1555470078,1,0
1555473677,0,1
1555477279,1,0
1555480878,1,1
1555488079,1,1
1555491677,0,1
1555495278,1,1
1555498878,1,1
1555502477,1,0
1555506077,0,1
1555509679,1,1
1555516878,1,0
1555520476,1,1
1555524079,1,1
1555527678,1,1
1555531278,1,1
1555538479,0,1
1555542077,1,1
1555549281,0,1
1555556481,1,0
1555560083,0,1
1555563682,1,0
1555574483,1,0
1555578081,0,1
1555581684,1,1
1555585282,1,0
1555588882,0,1
1555596084,1,0
1555599682,1,1
1555603282,0,1
1555606882,1,1
1555614082,1,0
1555617681,0,1
1555621283,1,0
1555624881,1,1
1555628481,0,1
1555632082,1,1
