DateTime,AddedIPs,RemovedIPs
1527933633,0,0
1527937233,0,0
1527940833,0,0
1527944433,0,0
1527948033,0,0
1527951634,0,0
1527955233,0,0
1527958832,0,0
1527962433,0,0
1527966033,0,0
1527969633,0,0
1527973233,0,0
1527976833,0,0
1527980434,0,0
1527984035,0,0
1527987633,0,0
1527991234,0,0
1527994833,0,0
1527998433,0,0
1528002034,0,0
1528304434,0,0
1528308033,0,0
1528311633,0,0
1528318833,0,0
1528322434,0,0
1528329635,0,0
1528333235,0,0
1528902050,1,0
1530327631,0,1
1534150833,0,0
1535446855,1,0
1535947233,0,1
1538503246,1,0
1538622045,1,0
1538632857,0,1
1538967653,1,0
1538978448,0,1
1539018046,1,0
1539057639,0,1
1539460856,1,0
1539579644,1,0
1539590446,0,1
1539662451,0,1
1539838844,1,0
1539849654,0,1
1539871244,1,0
1540184444,1,0
1540195244,0,1
1540267239,0,1
1540814463,1,0
1540839648,1,0
1541041244,1,0
1541052044,1,1
1541062852,0,1
1541098844,1,0
1541217648,0,3
1541394042,1,0
1541404852,0,1
1541653254,1,0
1541664044,0,1
1541998849,1,0
1542009639,0,1
1542258048,1,0
1542268848,0,1
1542279638,1,0
1542387644,0,1
1542405634,1,0
1542448844,0,1
1542466836,1,0
1542495644,0,1
1542524440,1,0
1542603648,1,0
1542614448,0,1
1542700849,0,1
1542708038,1,0
1542776448,0,1
1542783638,1,0
1542819649,1,0
1542855638,1,0
1542862850,1,0
1542866448,0,1
1542873638,0,1
1542888049,0,1
1542891638,1,0
1542945646,0,1
1542970844,0,1
1543017636,1,0
1543086044,0,1
1543104035,1,0
1543118448,0,1
1543190438,1,0
1543201248,1,0
1543204848,0,1
1543212051,0,1
1543233638,1,0
1543248051,0,1
1543276839,1,0
1543316448,0,1
1543420854,1,0
1543424453,1,0
1543428043,1,0
1543435252,0,1
1543442450,0,1
1543449642,1,0
1543460452,1,0
1543471250,0,2
1543510854,1,0
1543532453,0,1
1543536043,1,0
1543550439,0,2
1543860045,1,0
1544140840,1,0
1544155248,0,1
1544227238,1,0
1544245249,0,1
1544288449,1,0
1544302848,0,1
1544313640,1,0
1544328044,0,2
1544346044,1,0
1544421645,1,0
1544432444,0,1
1544680848,1,0
1544691649,0,1
1544932832,0,2
1545469238,1,0
1545505232,0,1
1545519639,1,0
1545541232,0,1
1545577244,1,0
1545591632,0,1
1545656435,1,0
1545670833,0,1
1545696036,1,0
1545710432,0,1
1545742849,1,0
1545764433,0,1
1545782439,1,0
1545800432,0,1
1545861638,1,0
1545883232,0,1
1545904849,1,0
1545919232,0,1
1545955239,1,0
1545969632,0,1
1546005648,1,0
1546034432,0,1
1546041639,1,0
1546063231,0,1
1546124452,1,0
1546142432,0,1
1546214439,1,0
1546232433,0,1
1546261238,1,0
1546275632,0,1
1546300839,1,0
1546315232,0,1
1546351239,1,0
1546365632,0,1
1546387238,1,0
1546401633,0,1
1546419638,1,0
1546441232,0,1
1546448438,1,0
1546462832,0,1
1546473639,1,0
1546488032,0,1
1547060445,1,0
1547510439,1,0
1547528448,0,1
1547539248,1,0
1547568048,0,1
1547593239,1,0
1547611244,0,1
1547676045,1,0
1547690444,0,1
1547751644,1,0
1547766044,0,1
1547769636,1,0
1547784048,0,1
1547935249,1,0
1547978449,0,1
1548032448,1,0
1548046848,0,1
1548097238,1,0
1548100850,1,0
1548126048,0,1
1548158440,1,0
1548176449,0,1
1548190848,1,0
1548216032,0,3
1548694848,1,0
1549166432,0,1
1549702844,1,0
1549854048,1,0
1549864848,0,1
1550113251,1,0
1550124048,0,1
1550458850,1,0
1550469648,0,1
1550718048,1,0
1550728848,0,1
1550854850,1,0
1550894445,0,1
1551103248,1,0
1551114048,0,1
1551333652,1,0
1551344453,0,1
1551373252,1,0
1551502848,0,1
1551571239,1,0
1551585644,0,1
1551589232,0,1
1551614435,1,0
1551628832,0,1
1551650438,1,0
1551675632,0,1
1551679240,1,0
1551693633,0,1
1551697238,1,0
1551740432,0,1
1551744040,1,0
1551798032,0,1
1551801639,1,0
1551816033,0,1
1551830439,1,0
1551848432,0,1
1551916839,1,0
1551931232,0,1
1552003239,1,0
1552064432,0,1
1552089640,1,0
1552104032,0,1
1553972450,1,0
1554026449,1,0
1554037248,0,1
1554782432,0,1
1555509644,1,0
1555603249,1,0
1555992045,0,1
1557331248,1,0
1557334848,2,0
1557370845,1,0
1557374445,1,0
1557381644,1,1
1557385245,0,1
1557392445,0,1
1557716449,1,0
1557720049,1,0
1557727251,1,1
1557730850,0,1
1557738049,0,1
1557975645,1,0
1557979247,0,2
1557986444,0,1
1558321249,1,0
1558332048,0,1
1558375249,0,1
1558497640,1,0
1558512049,0,1
1558558840,1,0
1558580444,1,1
1558591245,0,1
1558659646,1,0
1558674045,0,1
1558688437,1,0
1558702845,0,1
1558710045,1,0
1558724445,0,1
1558728045,1,0
1558742445,0,1
1558800048,1,0
1558814449,0,1
1558893639,1,0
1558911649,0,1
1558918838,1,0
1558926048,1,0
1558933248,0,1
1558936849,0,1
1558994439,1,0
1559188849,1,1
1559199648,0,1
1559361633,0,1
1559692840,1,0
1559710832,0,1
1559804439,1,0
1559818832,0,1
1559844049,1,0
1559862032,0,1
1559865640,1,0
1559869248,1,0
1559872851,1,0
1559880049,0,1
1560052845,0,1
1560186032,0,1
1560189646,1,0
1560657632,0,1
1561255248,1,0
1561683661,1,0
1561867254,0,1
1561942853,1,0
1561953645,0,1
1562464843,1,0
1562644849,0,1
1563249632,0,1
1563292842,1,0
1563670843,1,0
1563854438,0,1
1564275643,1,0
1564459245,0,1
1564632033,0,1
1564794049,1,0
1564999253,1,0
1565010053,0,1
1565312449,1,0
1565323248,0,1
1565744454,1,0
1565928049,0,1
1565946047,1,0
1565956849,0,1
1566180045,1,0
1566190852,0,1
1566349245,1,0
1566532838,0,1
1566954045,1,0
1566997242,1,0
1567008043,0,1
1567137645,0,1
1567310432,0,1
1568397610,1,0
1568422843,1,0
1568548844,0,1
1568552444,1,0
1568606440,0,1
1568620833,0,1
1568649639,1,0
1568700032,0,1
1568714438,1,0
1568739632,0,1
1568746839,1,0
1568782832,0,1
1568793643,1,0
1568808032,0,1
1568811645,1,0
1568880032,0,1
1568901645,1,0
1568959233,0,1
1568962847,1,0
1569002433,0,1
1569009644,1,0
1569031262,1,0
1569052854,0,1
1569063633,0,1
1569070849,2,0
1569121254,1,0
1569168053,0,1
1569171651,1,1
1569178847,1,0
1569207648,0,2
1569218441,1,0
1569254445,0,1
1569258038,1,0
1569326446,0,1
1569333638,1,0
1569358848,0,1
1569366037,1,0
1569409253,0,1
1569438043,1,0
1569492052,0,1
1569495646,1,0
1569517255,0,1
1569535244,1,0
1569585652,0,1
1569600048,1,0
1569614451,0,1
1569618042,1,0
1569636078,1,0
1569657654,0,1
1569672055,1,0
1569679257,0,1
1569690053,1,0
1569736867,0,1
1569758458,1,0
1569816051,0,2
1569826832,0,1
1569834042,1,0
1569848432,0,1
1569852048,1,0
1569866432,0,1
1569870045,1,0
1569898851,1,0
1569902451,0,1
1569934833,0,1
1569952846,1,0
1569967233,0,1
1569970843,1,0
1569985233,0,1
1569988845,1,0
1569992442,1,0
1570017650,0,1
1570024849,1,0
1570039252,0,1
1570057250,1,0
1570071646,0,1
1570093241,1,0
1570107646,0,1
1570158049,1,0
1570179653,0,1
1570194044,1,0
1570215649,0,1
1570219243,1,0
1570233651,0,1
1570244443,1,0
1570269652,0,1
1570276843,1,0
1570291251,0,1
1570312847,1,0
1570374053,0,1
1570381243,1,0
1570417247,0,1
1570420848,1,0
1570435246,0,1
1570485645,1,0
1570593632,0,2
1570665639,1,0
1571198439,1,0
1572224445,1,0
1572408066,0,1
1572429651,0,1
1572433245,1,0
1572570043,1,0
1572580847,0,1
1572753639,0,1
1573012845,1,0
1573030852,0,1
1573052446,1,0
1573088445,1,0
1573272039,0,1
1573700442,1,0
1573876839,0,2
1574056845,1,0
1574150443,1,0
1574161249,0,1
1574301648,1,0
1574316045,0,1
1574326845,1,0
1574481638,0,2
1574910050,1,0
1575086444,0,1
1575345632,0,1
1576890045,1,0
1577494846,1,0
1577678443,0,1
1577703643,1,0
1577714442,0,1
1577840445,1,0
1577851245,0,1
1578358845,1,0
1578542438,0,1
1578567638,1,0
1578578439,0,1
1578916844,1,0
1578927645,0,1
1579521642,1,0
1579532445,0,1
1579752032,0,1
1579795239,1,0
1580173245,1,0
1580216443,0,1
1580518845,1,0
1580529645,0,1
1580727639,1,0
1580738439,0,1
1580986844,1,0
1580997645,0,1
1581037245,1,0
1581220838,0,1
1581649243,1,0
1581825639,0,1
1582246846,1,0
1582430438,0,1
1582851651,1,0
1583024447,1,0
1583035244,0,2
1583146844,1,0
1583157644,0,1
1583406045,1,0
1583416845,0,1
1583542845,1,0
1583726439,0,1
1584147647,1,0
1584331239,0,1
1584705644,1,0
1584716445,0,1
1584752445,1,0
1587052824,2,0
1587063624,0,2
1588629651,0,2
1595761873,1,0
1595776257,0,1
