DateTime,AddedIPs,RemovedIPs
1590735370,0,75
1590757347,1,4
1590779296,54,0
1590801143,4,0
1590823227,11,0
1590845099,1,1
1590867136,1,7
1590888989,3,1
1590910994,4,0
1590932890,2,34
1590954967,0,1
1590976960,4,1
1590998892,27,1
1591020971,10,1
1591042821,7,0
1591064892,2,1
1591086744,6,0
1591108587,3,1
1591130650,4,15
1591152503,49,2
1591185669,7,1
1591229571,0,1
1591317411,27,0
1591361535,0,1
1591383378,1,39
1591405253,19,21
1591449169,4,11
1591471209,0,1
1591493064,1,4
1591515130,7,0
1591536989,0,2
1591559060,0,29
1591580919,1,3
1591602987,1,21
1591635871,2,15
1591657941,32,5
1591679819,2,2
1591701854,0,19
1591723936,7,16
1591746016,4,58
1591767880,1,8
1591789955,1,1
1591823055,1,0
1591844908,1,1
1591866975,83,0
1591889065,1,1
1591910908,51,35
1591932798,28,0
1591976650,3,0
1591998732,3,1
1592042905,0,3
1592064761,27,2
1592108667,0,4
1592174651,0,2
1592218587,7,0
1592251721,5,2
1592273774,2,0
1592295618,0,2
1592317468,4,0
1592339550,1,0
1592361395,1,2
1592405314,0,1
1592460326,0,28
1592482354,0,16
1592504411,1,0
1592526505,0,91
1592548350,4,1
1592570419,0,1
1592592280,0,3
1592614332,1,0
1592658500,0,1
1592680590,1,0
1592702454,29,1
1592724488,0,1
1592746332,24,1
1592768193,1,0
1592790248,2,5
1592812091,3,1
1592834192,58,0
1592856267,34,2
1592878120,2,0
1592900176,0,1
1592922282,1,6
1592944331,0,3
1592966174,0,1
1592988303,0,1
1593010330,0,33
1593032192,0,3
1593065372,2,4
1593087372,11,0
1593109212,4,1
1593131072,0,48
1593153149,51,3
1593197067,6,0
1593240974,0,1
1593273949,4,2
1593295793,0,1
1593317872,0,29
1593339851,0,6
1593361696,1,0
1593383788,37,1
1593405856,1,0
1593427713,0,30
1593449767,0,72
1593471682,1,2
1593493704,1,1
1593515557,1,14
1593537639,0,2
1593559690,2,0
1593581625,6,0
1593603647,28,1
1593625810,82,0
1593647788,4,0
1593669924,1,1
1593691934,0,7
1593713782,1,1
1593735895,2,3
1593757953,4,1
1593780015,1,1
1593802123,1,3
1593824172,1,0
1593846215,3,0
1593868091,0,3
1593889962,3,1
1593912009,20,0
1593933884,6,0
1593955955,2,1
1593978010,4,30
1593999852,1,1
1594021715,1,0
1594043771,2,2
1594065690,3,0
1594087720,2,0
1594110076,4,1
1594153988,1,0
1594176057,8,2
1594198090,72,8
1594219933,26,62
1594242095,4,12
1594264129,5,27
1594286180,2,2
1594308256,27,5
1594330340,0,5
1594352195,0,3
1594374047,0,1
1594396338,0,3
1594418457,1,9
1594440497,0,4
1594462363,0,6
1594484415,2,1
1594506283,1,4
1594528338,0,15
1594550180,1,8
1594572253,2,6
1594594118,3,3
1594616196,0,5
1594649301,1,3
1594671379,9,4
1594693512,1,2
1594715528,4,3
1594737402,2,1
1594759510,0,43
1594781534,1,20
1594803818,0,77
1594825734,25,27
1594847784,54,4
1594869648,1,5
1594891687,3,2
1594914221,1,0
1594958204,5,0
1594980267,2,0
1595002360,19,1
1595024415,2,1
1595068334,1,0
1595090234,0,2
1595112083,1,0
1595134360,2,1
1595167433,65,1
1595189299,1,3
1595211161,1,0
1595233001,1,0
1595255095,0,1
1595277158,2,2
1595299224,2,1
1595321320,0,3
1595343369,1,1
1595398358,1,1
1595420413,15,3
1595442277,0,29
1595464326,0,1
1595486199,1,0
1595508258,4,3
1595530122,2,0
1595552170,0,1
1595574076,0,1
1595596100,0,18
1595640008,8,0
1595661884,58,0
1595683932,1,0
1595705850,4,2
1595727850,5,0
1595749726,0,40
1595771801,5,0
1595793672,0,1
1595838030,0,1
1595860087,2,1
1595881932,4,4
1595903803,2,2
1595925849,1,10
1595947725,0,1
1595969771,1,0
1596002930,2,2
1596024975,3,32
1596047056,1,3
1596069164,3,0
1596091214,0,1
1596113099,0,4
1596135126,1,5
1596156968,1,6
1596212412,0,1
1596234284,2,0
1596256335,0,2
1596278199,7,3
1596300286,3,1
1596344591,0,1
1596366492,8,26
1596388338,2,0
1596410179,1,0
1596432038,0,6
1596475963,0,4
1596498010,0,3
1596519882,60,1
1596596662,2,1
1596618756,4,3
1596640601,0,2
1596662681,0,1
1596684727,0,112
1596728680,2,0
1596805730,121,0
1596827770,1,0
1596871927,0,9
1596893913,0,5
1596915852,1,0
1596937722,0,2
1596981742,0,7
1597025564,2,1
1597069478,0,6
1597091596,1,11
1597113614,0,12
1597135476,0,67
1597157349,1,31
1597179368,0,7
1597201337,0,1
1597223297,1,0
1597245368,0,1
1597311158,67,0
1597333238,74,0
1597399274,3,163
1597421293,0,1
1597443197,0,4
1597465207,0,1
1597487053,37,0
1597509125,55,0
1597530967,1,0
1597552818,3,0
1597574896,0,1
1597596998,7,0
1597706698,1,1
1597772919,0,1
1597794990,0,1
1597816861,1,1
1597904906,1,3
1597926768,1,139
1597948609,1,0
1597992734,0,2
1598026100,7,1
1598048194,2,0
1598091879,2,55
1598113930,2,91
1598135811,2,8
1598157849,0,4
1598179720,1,0
1598201769,90,4
1598223667,7,0
1598245693,17,2
1598267558,22,0
1598289765,48,0
1598311700,37,1
1598333799,1,0
1598355883,36,0
1598377961,1,1
1598422125,2,1
1598444172,0,1
1598509955,0,1
1598532010,1,1
1598553872,1,0
1598575721,3,0
1598619861,0,7
1598641715,1,0
1598687527,0,1
1598709404,1,0
1598731451,1,0
1598753330,2,2
1598797241,0,21
1598819286,0,15
1598841136,1,21
1598863035,2,0
1598885063,0,31
1598907255,0,97
1598940301,7,1
1598962458,34,66
1598984677,94,3
1599006757,126,0
1599028816,8,3
1599072968,20,0
1599161079,2,0
1599183127,0,1
1599204970,14,0
1599249161,0,1
1599271322,4,0
1599293331,3,0
1599315370,22,1
1599337219,30,1
1599359074,0,1
1599381132,1,0
1599403018,1,0
1599425078,1,0
1599447133,5,0
1599491297,1,0
1599513163,3,0
1599535206,1,0
1599557082,0,6
1599579132,0,1
1599601255,6,0
1599623295,1,1
1599645157,1,0
1599666999,0,3
1599689062,1,0
1599755085,0,11
1599777162,3,119
1599799215,2,1
1599821100,2,9
1599843143,1,0
1599865336,4,1
1599887332,0,2
1599909372,1,3
1599931484,0,68
1599997713,0,1
1600019817,1,1
1600052673,0,4
1600074795,0,1
1600096833,0,3
1600118679,3,1
1600140764,2,0
1600162626,1,0
1600184660,31,2
1600206519,1,13
1600228597,0,2
1600250478,1,5
1600272560,0,4
1600294603,6,3
1600316452,4,0
1600338489,10,0
1600382218,2,3
1600404278,0,3
1600448181,0,1
1600481078,3,4
1600525246,0,1
1600547290,3,0
1600569133,2,0
1600613058,4,1
1600635176,16,0
1600657648,2,0
1600679543,2,0
1600723474,0,3
1600745557,1,2
1600767637,0,1
1600789713,0,2
1600811796,0,1
1600888593,6,29
1600910677,0,4
1600932732,1,1
1600954592,1,0
1600976650,0,1
1600998759,0,1
1601021132,1,0
1601043168,2,2
1601109152,2,0
1601131415,1,2
1601153292,2,2
1601175156,0,1
1601197272,1,0
1601219306,0,7
1601241373,1,15
1601263231,2,2
1601285077,0,2
1601329213,1,0
1601351315,1,1
1601373165,1,10
1601406230,0,2
1601472255,1,0
1601494390,5,6
1601516413,10,2
1601538381,14,2
1601560343,11,5
1601582466,17,0
1601604777,69,0
1601626822,42,1
1601670799,1,0
1601692813,50,0
1601714911,61,2
1601736966,0,3
1601758909,3,0
1601802756,3,1
1601846679,1,1
1601868759,2,1
1601912649,40,0
1602066487,1,0
1602088329,1,0
1602110413,0,1
1602132515,0,1
1602154574,0,3
1602264491,13,0
1602286357,5,0
1602308410,0,53
1602330296,0,30
1602352332,0,1
1602385459,3,1
1602407556,0,1
1602429679,1,0
1602451686,1,1
1602517479,10,63
1602539530,1,124
1602561393,2,0
1602583257,0,24
1602605292,2,0
1602649458,1,1
1602693370,1,2
1602715476,1,0
1602737526,1,0
1602803289,1,0
1602847237,1,0
1602869291,3,13
1602891171,0,6
1602935112,1,10
1602957184,1,43
1602979279,1,1
1603001293,1,2
1603023424,1,0
1603045454,1,1
1603067606,1,1
1603111481,0,19
1603155396,7,3
1603199300,1,2
1603221157,0,1
1603243207,0,1
1603265050,0,1
1603286893,6,0
1603308777,2,3
1603330814,0,1
1603374736,1,1
1603396595,0,1
1603418443,0,1
