DateTime,Entries,UniqueIPs
1603321296,11015,11015
1603323160,11012,11012
1603325065,11015,11015
1603326974,11030,11030
1603328920,11043,11043
1603330815,11043,11043
1603332736,11039,11039
1603334681,10968,10968
1603336571,10967,10967
1603338491,10962,10962
1603340448,10962,10962
1603342334,10961,10961
1603344256,10954,10954
1603346198,10951,10951
1603348095,10965,10965
1603350048,10964,10964
1603351975,10970,10970
1603353854,10969,10969
1603355769,10968,10968
1603357720,11033,11033
1603359613,11035,11035
1603361528,11083,11083
1603363483,11043,11043
1603365676,11040,11040
1603367541,11047,11047
1603369462,11050,11050
1603371432,10719,10719
1603373292,10842,10842
1603375254,10837,10837
1603377158,10836,10836
1603379053,9532,9532
1603380969,7040,7040
1603382922,5200,5200
1603384813,3227,3227
1603386729,1536,1536
1603388682,1528,1528
1603390570,1527,1527
1603392491,1523,1523
1603394435,1518,1518
1603396340,1524,1524
1603398248,1527,1527
1603400202,1516,1516
1603402088,1526,1526
1603404979,1519,1519
1603406903,1562,1562
1603408861,1571,1571
1603410740,1574,1574
1603412664,1583,1583
1603414628,1591,1591
1603416531,1592,1592
1603418453,1599,1599
1603420404,1613,1613
1603422263,1618,1618
1603424213,1605,1605
1603426114,1607,1607
1603428068,1606,1606
1603429974,1614,1614
1603431862,1614,1614
1603433819,1621,1621
1603435734,1608,1608
1603437621,1609,1609
1603439532,1619,1619
1603441502,1603,1603
1603443378,1533,1533
1603445546,1541,1541
1603447477,1511,1511
1603449411,1527,1527
1603451307,1524,1524
1603453227,1523,1523
1603455180,1521,1521
1603457079,1517,1517
1603458991,1336,1336
1603460937,1335,1335
1603462840,1337,1337
1603464763,1334,1334
1603466680,1329,1329
1603468567,1330,1330
1603470518,1323,1323
1603472441,1328,1328
1603474335,1461,1461
1603476524,1455,1455
1603478411,1447,1447
1603480334,1449,1449
1603482281,1430,1430
1603484170,1427,1427
1603486120,1456,1456
1603488007,1452,1452
1603489978,1455,1455
1603491855,1455,1455
1603493770,1414,1414
1603850938,313,313
1603852817,333,333
1603854728,350,350
1603856680,371,371
1603858685,388,388
1603860491,418,418
1603862452,438,438
1603864330,457,457
1603866255,490,490
1603868201,846,846
1603870087,876,876
1603872079,896,896
1603873961,916,916
1603875885,940,940
1603877769,961,961
1603879719,979,979
1603881634,997,997
1603883547,1008,1008
1603885491,1119,1119
1603887431,1128,1128
1603889321,1141,1141
1603891245,1163,1163
1603893132,1614,1614
1603895053,4657,4657
1603896998,8015,8015
1603899142,11383,11383
1603901078,14329,14329
1603902968,14561,14561
1603904892,14577,14577
1603906852,14591,14591
1603908730,14600,14600
1603910656,11811,11811
1603912638,14627,14627
1603914520,11265,11265
1603916413,14641,14641
1603918360,14646,14646
1603920252,14642,14642
1603922168,12408,12408
1603924119,18143,18143
1603926078,20052,20052
1603927934,20311,20311
1603929902,12399,12399
1603931793,20304,20304
1603933954,20299,20299
1603935874,20294,20294
1603937810,20534,20534
1603939697,21593,21593
1603941614,22496,22496
1603943560,23450,23450
1603945460,24466,24466
1603947372,24648,24648
1603949325,24648,24648
1603952177,24633,24633
1603954093,24614,24614
1603956046,24522,24522
1603957935,24517,24517
1603959871,24507,24507
1603961814,24502,24502
1603963706,24500,24500
1603965637,24512,24512
1603967577,24512,24512
1603969489,24512,24512
1603971401,24522,24522
1603973345,11607,11607
1603975228,24523,24523
1603977135,24524,24524
1603979085,24516,24516
1603980977,24518,24518
1603982905,24521,24521
1603984844,24519,24519
1603986742,24519,24519
1603988659,24520,24520
1603990604,24513,24513
1603992493,24518,24518
1603994489,12218,12218
1603996366,12001,12001
1606465239,10083,10083
1606467132,10097,10097
1606469055,10092,10092
1606470998,10094,10094
1606472894,10105,10105
1606474829,10098,10098
1606476760,10091,10091
1606478660,10096,10096
1606480572,10093,10093
1606482526,10093,10093
1606484425,10097,10097
1606486332,10095,10095
1606488278,10093,10093
1606490178,10093,10093
1606492123,10097,10097
1606494044,10097,10097
1606495939,10091,10091
1606497885,10088,10088
1606499790,10090,10090
1606501693,8840,8840
1606503642,5970,5970
1606505535,5534,5534
1606507460,5528,5528
1606509402,3949,3949
1606511297,1835,1835
1606513244,849,849
1606515139,847,847
1606517057,847,847
1606518999,843,843
1606520890,850,850
