DateTime,AddedIPs,RemovedIPs
1532498019,13,33
1532585075,4,13
1532672207,5,166
1532759304,3,23
1532846440,2,23
1532933802,5,79
1533021274,1,12
1533108765,5,52
1533196124,9,67
1533283232,10,6
1533370337,3,52
1533457480,8,13
1533544609,3,9
1533631711,9,17
1533718976,11,6
1533806201,2,30
1533893302,1,7
1533980415,16,3
1534067534,1,8
1534154664,9,3
1534241776,6,7
1534329165,8,8
1534416277,0,3
1534503807,3,1
1534590983,3,5
1534678394,2,2
1534765556,2,6
1534852602,7,2
1534939715,6,10
1535026842,11,4
1535113963,5,10
1535201194,5,0
1535288560,5,10
1535375724,2,3
1535463172,2,10
1535550257,5,3
1535637440,2,4
1535724765,7,7
1535811888,4,1
1535899250,2,8
1535986356,6,4
1536073730,1,4
1536160831,1,3
1536248213,2,7
1536335299,0,12
1536422497,3,1
1536509802,0,5
1536596939,1,10
1536684013,0,14
1536771159,0,3
1536858319,2,3
1536945390,0,7
1537032749,3,15
1537119878,1,3
1537206971,1,5
1537294359,1,2
1537381461,1,4
1537468839,1,2
1537555963,1,7
1537643056,1,16
1537730206,0,4
1537817303,1,8
1537904424,1,4
1537991811,3,2
1538078935,1,3
1538166277,0,3
1538253399,1,4
1538340507,1,11
1538427885,6,6
1538514998,6,1508
1538602092,2,6
1538689236,2,2
1538776608,0,2
1538863729,2,3
1538950825,3,0
1539037956,2,7
1539125088,2,0
1539212181,0,4
1539299308,1,6
1539386442,1,2
1539473578,1,1
1539560690,0,1
1539647782,2,4
1539734937,2,4
1539822035,2,6
1539909148,0,3
1539996523,2,1
1540083885,1,0
1540170993,0,1
1540258366,1,5
1540345511,0,3
1540432896,1,5
1540520202,3,4
1540607298,1,7
1540694426,0,4
1540781558,2,2
1540868697,1,1
1540956041,3,3
1541043393,1524,6
1541130502,4,1
1541305005,1,0
1541392379,1,2
1541479711,2,3
1541567122,0,3
1541654201,2,2
1541741323,2,1
1541828657,2,0
1542003172,1,0
1542090277,2,0
1542177409,0,1
1542264738,3,1
1542352215,1,4
1542439225,6,2
1542526347,9,0
1542613475,10,2
1542700597,0,2
1543049069,0,1
1543136181,0,3
1543223325,1,1
1543310695,1,1
1543397815,0,1
1543484895,1,2
1543572297,1,2
1543659642,1,3
1543746756,2,5
1543833880,1,9
1544008130,2,1
1544095498,1,0
1544182824,1,1
1544270226,0,2
1544357318,1,0
1544444455,2,1
1544706284,0,1
1544793408,1,1
1544967862,0,1
1545055011,5,7
1545142119,0,8
1545229289,0,9
1545316372,3,1
1545664833,1,2
1545751972,1,1
1545926448,1,1
1546013788,1,1
1546101141,0,1
1546275409,0,2
1546362524,0,1
1546449614,2,0
1546536762,1,0
1546623860,2,1
1546711259,1,1
1546798332,1,1528
1546885455,1,1
1546972624,3,2
1547059940,1,1
