DateTime,AddedIPs,RemovedIPs
1601780501,4,3
1601782362,8,6
1601784275,2,4
1601786230,2,6
1601788118,4,3
1601790035,7,7
1601791980,4,3
1601793885,7,10
1601795812,12,6
1601797737,2,5
1601799625,0,5
1601801559,2,2
1601803520,0,4
1601805406,3,4
1601807300,3,1
1601810407,3,4
1601814276,0,3
1601816167,2,3
1601818088,0,2
1601820052,0,2
1601821931,0,3
1601823851,1,0
1601825796,3,1
1601827697,1,0
1601829616,3,1
1601831560,5,3
1601833450,0,3
1601835615,0,2
1601837533,2,1
1601839480,3,5
1601841373,4,7
1601843290,4,7
1601845312,3,2
1601847134,2,4
1601849053,1,3
1601851001,1,4
1601852893,5,3
1601854808,3,5
1601856760,4,2
1601858653,8,3
1601860571,7,0
1601862517,3,14
1601864414,3,4
1601866333,4,5
1601868280,8,5
1601870169,4,4
1601872091,3,2
1601874094,2,4
1601875934,3,3
1601878100,4,9
1601880009,1,7
1601881958,4,10
1601883852,4,5
1601885770,4,0
1601887718,5,2
1601889647,2,0
1601891530,2,3
1601893482,0,2
1601895370,0,1
1601897288,1,3
1601899294,1,0
1601903053,0,2
1601905003,1,1
1601906891,6,0
1601908810,1,0
1601910764,0,4
1601912651,0,1
1601914571,1,0
1601916516,3,6
1601918409,5,2
1601920328,5,0
1601922280,5,1
1601924171,4,1
1601926088,2,4
1601928088,3,4
1601929930,0,5
1601931852,4,2
1601933795,3,0
1601935689,7,0
1601937609,4,2
1601939559,2,4
1601941453,1,4
1601943616,4,3
1601945531,2,9
1601947479,1,7
1601949372,0,3
1601951539,0,5
1601953458,0,4
1601955400,1,9
1601957293,1,0
1601959219,2,5
1601961162,1,0
1601963053,0,4
1601964972,1,4
1601966917,1,1
1601968816,0,4
1601970732,0,4
1601972681,1,4
1601974573,0,5
1601976498,0,2
1601978533,1,2
1601984199,0,1
1601986092,0,2
1601988015,0,1
1601989962,0,1
1601991857,0,1
1601993777,0,6
1601995715,1,0
1601999533,4,0
1602001481,2,2
1602003372,3,2
1602005291,0,5
1602007281,0,5
1602009136,0,6
1602011054,2,3
1602012997,4,4
1602014894,0,2
1602017059,0,3
1602018979,1,1
1602020894,0,11
1602022811,1,2
1602024755,0,4
1602026655,3,1
1602028574,2,2
1602030514,4,2
1602032530,0,2
1602034358,0,1
1602038177,1,0
1602042018,1,1
1602043971,0,1
1602045962,1,2
1602047771,2,1
1602049693,2,0
1602051638,1,1
1602053532,4,1
1602055454,1,0
1602059290,1,1
1602061277,1,0
1602063158,3,0
1602065054,0,1
1602066972,2,0
1602076571,1,0
1602082331,0,1
1602084277,1,0
1602086175,1,4
1602088116,0,1
1602090993,0,2
1602092888,2,0
1602094810,1,0
1602096757,0,2
1602098652,1,2
1602100571,0,2
1602102517,2,0
1602104458,1,1
1602108257,1,0
1602110170,1,1
1602112122,0,2
1602114290,1,2
1602116175,1,4
1602121940,3,0
1602123897,0,1
1602125785,4,0
1602127705,2,1
1602129744,2,0
1602131804,4,1
1602133689,3,2
1602135608,0,2
1602137558,0,1
1602139449,0,4
1602141367,4,1
1602143314,2,0
1602145206,2,1
1602147128,0,1
1602149084,1,0
1602151006,3,0
1602152890,4,1
1602154865,0,2
1602158659,2,0
1602160616,2,0
1602162504,1,2
1602164432,1,0
1602170177,0,1
1602172125,0,1
1602175938,1,0
1602177886,1,0
1602179783,1,2
1602181724,1,1
1602183676,1,0
1602185545,2,1
1602187489,3,0
1602189377,3,2
1602191299,0,1
1602195145,1,1
1602197068,1,1
1602198983,1,1
1602200895,1,0
1602202845,0,2
1602204736,2,0
1602206661,1,0
1602208614,1,3
1602210497,2,0
1602212558,2,4
1602214363,4,2
1602216258,5,3
1602218138,2,4
1602220123,3,3
1602222015,2,0
1602225882,1,0
1602227772,2,4
1602229938,1,2
1602231860,0,2
1602233815,2,0
1602235695,1,2
1602237659,0,3
1602239571,1,4
1602241457,1,0
1602245331,0,2
1602247216,0,2
1602249140,0,2
1602252977,1,0
1602260659,2,0
1602262604,3,1
1602264496,2,1
1602266435,3,1
1602268367,2,1
1602270270,0,1
1602272176,1,3
1602274129,2,2
1602276018,2,3
1602277938,3,0
1602279887,1,0
1602281773,2,1
1602283697,1,1
1602285644,1,2
1602287535,6,0
1602289458,7,0
1602291408,7,2
1602293303,1,1
1602295295,3,1
1602297164,2,2
1602299067,0,2
1602300978,0,4
1602302930,1,4
1602304817,1,2
1602306744,1,3
1602308685,0,2
1602310577,3,0
1602312493,2,1
1602314447,0,1
1602316336,2,1
1602318261,2,0
1602320214,0,2
1602322096,0,1
1602324114,1,1
1602325969,0,1
1602327856,0,1
1602333620,2,0
1602335539,1,0
1602339375,0,1
1602347055,1,2
1602349003,0,3
1602350894,3,2
1602352853,0,3
1602354748,0,2
1602358612,1,1
1602360498,0,2
1602362419,1,2
1602364368,0,3
1602366253,0,1
1602368417,0,2
1602370344,0,1
1602372288,1,3
1602374178,0,4
1602376345,1,8
1602378258,1,6
1602380205,1,2
1602382098,2,1
1602384019,1,2
1602385969,3,2
1602387867,2,1
1602391725,1,2
1602397481,0,4
1602399375,0,1
1602401294,0,1
1602403268,0,3
1602408999,0,1
1602418577,0,1
1602420520,0,1
1602422416,0,1
1602424339,1,0
1602432153,0,1
1602438014,0,3
1602443776,0,1
1602447608,0,1
1602453367,3,0
1602458452,0,2
1602462306,0,1
1602464201,0,1
1602466149,0,1
1602468085,0,1
1602469955,0,2
1602473833,0,3
1602477642,1,0
1602479688,0,1
1602487698,0,2
1602507166,3,0
1602511008,0,1
1602512896,3,0
1602520578,1,0
1602534045,1,0
1602539803,0,3
1602543691,1,0
1602545569,2,0
1602551332,1,0
1602553221,1,0
1602564737,0,1
1602589693,3,0
1602593567,0,3
1602599323,0,3
1602606978,0,1
1602609144,1,0
1602611060,1,0
1602620660,0,1
1602632177,0,2
1602634136,0,1
1602637940,0,1
1602639888,0,1
1602645646,3,0
1602676340,0,3
1602678287,2,0
1602684048,1,0
1602695784,1,1
1602697697,0,1
1602699652,1,0
1602701537,1,0
1602711169,1,0
1602731091,0,3
1602759864,3,0
1602763702,0,2
1602765619,3,0
1602771619,0,1
1602777383,1,0
1602781366,2,1
1602785291,0,1
1602789144,0,1
1602798776,0,1
1602804529,3,0
1602852740,0,1
1602868132,0,2
1602877701,0,6
1602881552,1,0
1602885406,1,0
1602891176,0,3
1602924024,3,0
1602937459,3,0
1602968180,0,1
1603006577,2,0
1603010447,0,4
1603020016,2,0
1603022001,1,0
1603023859,0,3
1603087274,1,0
1603094941,0,2
1603106445,0,3
1603171939,0,1
1603218497,3,0
1603259062,2,0
1603262907,1,0
1603305374,0,3
1603341158,1,0
1603344973,3,0
1603346920,0,2
1603350730,0,1
1603397776,1,0
1603430416,0,3
1603446015,0,1
1603473134,1,0
1603476976,1,0
1603484685,0,1
1603488496,1,0
1603492341,2,0
1603850955,3,5
1603868205,3,0
1603889811,1,0
1603916658,0,1
1603924339,2,0
1603930101,0,2
1603947385,1,0
1603955075,0,3
1603976197,0,1
1606465249,10,1
1606469060,0,1
1606471003,0,1
1606472900,0,2
1606474839,0,1
1606476764,0,1
1606480577,1,0
1606494049,3,0
1606505540,1,1
1606528576,0,2
1607022292,1,8
1607093293,1,0
1607099050,1,0
1607104845,1,0
1607108670,3,1
1607110572,2,0
1607510694,7,8
1607512578,1,0
1607526059,1,0
1607545243,1,0
1607547138,0,1
1607588236,5,6
1607594204,4,0
1607596108,5,0
1607599957,0,1
1607611696,0,1
1607615543,1,0
1607623306,2,0
1607629009,2,0
1607630907,2,1
1607638579,1,0
1607655887,1,0
1607657780,3,0
1607659938,2,0
1607661858,1,0
1607667620,3,0
1607673377,0,1
1607675325,1,2
1607679138,2,1
1607681087,0,1
1607686845,3,0
1607702176,0,1
1607704128,1,0
1607706035,1,0
1607709894,5,0
1607713861,0,1
1607715862,2,2
1607717802,1,0
1607725459,0,1
1607727375,2,0
1607729326,1,0
1607733137,1,0
1607735086,2,0
1607737322,1,0
1607739238,1,0
1607741099,2,0
1607745140,1,15
1607747081,0,3
1607749002,0,1
1607752874,1,0
1607754759,0,3
1607758598,1,0
1607762460,0,1
1607764372,0,2
1607768201,3,0
1607770098,2,0
1607772022,1,0
1607773997,0,3
1607789313,0,1
1607795082,0,4
1607797037,0,1
1607800846,1,0
1607802738,0,3
1607806596,5,0
1607808503,15,0
1607810463,1,0
1607814268,0,2
1607816175,0,1
1607820017,0,1
1607821936,0,2
1607823885,0,1
1607825779,0,1
1607827693,0,2
1607829620,1,0
1607831538,0,1
1607837296,3,0
1607841141,4,0
1607844996,0,1
1607848816,3,0
1607854575,0,3
1607856516,0,2
1607858417,0,2
1607873795,0,1
1607877614,5,0
1607887230,0,1
1607889160,1,0
1607892975,1,4
1607895166,0,16
1607897066,0,1
1607898974,1,0
1607900919,4,0
1607902820,1,0
1607904732,5,0
1607906684,2,0
1607916281,0,1
1607923967,0,1
1607927777,0,4
1607935486,0,3
1607946997,0,2
1607950829,7,0
