DateTime,AddedIPs,RemovedIPs
1594771263,0,1
1594775098,0,1
1594792361,1,0
1594802209,1,0
1594811777,1,0
1594819555,0,1
1594834857,0,2
1594840589,0,1
1594879485,0,1
1594889058,0,1
1594894837,0,1
1594897725,1,0
1594909669,1,0
1594985831,1,1
1594997321,0,1
1595083001,1,0
1595105298,1,0
1595142763,0,1
1595146571,1,0
1595168037,0,1
1595181821,1,0
1595191729,0,1
1595209457,1,0
1595233005,0,1
1595269720,1,1
1595295855,0,1
1595307383,2,0
1595356603,0,1
1595364260,1,0
1595395221,0,2
1595397143,1,0
1595449703,0,1
1595464119,1,0
1595483775,0,1
1595508973,1,0
1595549780,0,1
1595555789,1,0
1595594927,0,1
1595641454,0,1
1595786934,1,0
1595796498,1,0
1595855323,1,0
1595861085,1,0
1595875044,0,1
1595882652,1,1
1595942200,0,1
1595946514,0,1
1595958277,1,0
1595969778,0,1
1595987289,1,0
1595989250,1,0
1595995002,1,0
1596045168,0,1
1596060535,2,0
1596073938,0,1
1596075899,0,1
1596077778,1,0
1596081828,0,1
1596120747,1,0
1596133220,1,0
1596146895,0,2
1596154572,1,0
1596164176,0,1
1596193004,1,0
1596196849,3,0
1596198769,3,0
1596200638,2,0
1596202452,3,0
1596206196,0,1
1596217728,1,0
1596219641,0,1
1596241213,0,1
1596248936,1,0
1596278202,0,1
1596283964,0,5
1596285856,0,1
1596287778,0,2
1596289726,0,3
1596303176,0,1
1596316813,1,0
1596335332,0,1
1596376098,1,0
1596407293,1,0
1596421001,1,0
1596436588,0,1
1596461774,0,1
1596486972,1,0
1596492976,0,1
1596500668,1,0
1596506496,0,1
1596570021,1,0
1596572039,0,1
1596585411,1,0
1596587307,0,1
1596626484,1,0
1596628366,1,0
1596656423,0,1
1596662179,1,0
1596671801,0,1
1596698893,1,0
1596712772,0,1
1596714768,0,1
1596748336,1,1
1596785080,0,1
1596830201,1,0
1596834109,0,1
1596843862,1,0
1596893918,1,0
1596911299,1,0
1596917301,0,1
1596921186,1,0
1596930746,0,1
1596952122,1,0
1596981034,0,1
1596996251,1,0
1596998197,0,1
1597007773,0,1
1597036815,0,1
1597052428,1,0
1597056256,1,0
1597062024,1,0
1597083161,0,1
1597088900,1,0
1597138100,0,1
1597142170,0,1
1597147937,0,1
1597166959,2,0
1597174827,0,1
1597186330,1,0
1597192089,1,0
1597209376,1,0
1597218981,1,0
1597246118,1,0
1597277536,1,0
1597283289,0,4
1597296037,0,1
1597303688,0,1
1597309465,1,0
1597315211,1,0
1597332502,0,1
1597342122,1,0
1597361578,1,0
1597363459,0,1
1597367376,1,0
1597373092,1,0
1597376922,2,0
1597395371,0,1
1597403313,0,1
1597426608,1,0
1597428765,0,1
1597447933,0,1
1597453696,0,1
1597459454,0,1
1597463290,0,2
1597511297,0,1
1597562172,1,0
1597569876,1,0
1597650012,0,1
1597653876,0,1
1597664415,1,0
1597693449,1,0
1597697318,1,0
1597751293,0,1
1597757050,1,0
1597772443,1,0
1597780124,0,1
1597783948,1,1
1597801454,1,0
1597842517,0,1
1597857882,0,1
1597872176,0,1
1597885933,0,1
1597936574,1,0
1598021784,0,1
1598056815,1,0
1598104943,1,0
1598106761,1,0
1598114414,1,0
1598135861,1,0
1598143452,0,1
1598158909,1,0
1598176359,1,0
1598191970,1,2
1598199614,2,1
1598222926,0,1
1598246173,0,1
1598261530,1,0
1598263370,0,1
1598269213,1,0
1598278812,0,1
1598285011,0,2
1598287006,1,0
1598298503,1,0
1598306205,1,0
1598315138,1,0
1598344609,1,0
1598348413,0,1
1598356145,0,1
1598358014,3,0
1598361894,1,0
1598368099,1,0
1598371977,0,1
1598385767,0,1
1598393574,0,1
1598401227,0,1
1598403133,2,0
1598405109,2,0
1598430313,0,1
1598432195,1,0
1598440367,1,0
1598444177,0,3
1598446124,1,0
1598449932,0,1
1598455782,0,1
1598459775,1,0
1598481695,1,0
1598485482,1,0
1598489323,0,1
1598491240,1,2
1598493131,0,1
1598506399,1,0
1598514018,1,0
1598517915,0,1
1598525538,0,1
1598531803,1,0
1598533695,0,1
1598545470,0,1
1598547394,1,0
1598553169,1,0
1598555067,1,0
1598566603,1,0
1598568500,0,1
1598570443,1,0
1598572353,0,1
1598576206,1,0
1598578092,0,1
1598592763,0,1
1598600430,0,1
1598602334,1,0
1598606175,1,0
1598617966,0,1
1598625613,1,0
1598634323,0,1
1598640045,0,1
1598641978,0,1
1598651681,1,0
1598653916,0,1
1598656321,0,1
1598658705,2,0
1598665627,0,1
1598672181,1,0
1598683798,1,0
1598689718,0,1
1598692155,0,1
1598697958,1,0
1598711327,0,1
1598736278,0,1
1598740168,1,0
1598744229,0,1
1598746118,0,1
1598749932,1,0
1598757856,0,1
1598769374,0,1
1598782846,0,1
1598798412,1,0
1598800333,1,0
1598827462,0,1
1598833218,2,0
1598835131,0,1
1598850755,1,0
1598874686,1,0
1598884639,0,1
1598886492,0,1
1598918243,0,1
1598920096,0,1
1598935958,0,1
1598959966,0,1
1599003614,1,0
1599090931,1,1
1599109984,1,0
1599162977,1,0
1599172601,1,0
1599176412,0,1
1599184330,1,0
1599197569,0,1
1599222832,1,0
1599228512,2,0
1599240129,1,0
1599249764,0,1
1599259457,0,1
1599263326,1,0
1599269297,0,1
1599281056,1,0
1599308443,1,0
1599310344,0,1
1599314178,0,2
1599325704,0,1
1599335298,1,0
1599350944,0,1
1599354999,1,0
1599368519,0,1
1599393413,0,1
1599395316,1,0
1599423381,0,1
1599425296,1,0
1599436985,1,0
1599440864,0,1
1599481490,0,1
1599512750,0,1
1599514631,1,0
1599524208,0,1
1599561170,1,0
1599582494,1,0
1599590416,1,0
1599607041,1,0
1599618538,1,0
1599624432,1,0
1599675440,0,4
1599685030,1,0
1599692655,0,1
1599704416,0,1
1599706361,1,0
1599710178,0,1
1599771400,0,1
1599790581,0,1
1599813403,1,0
1599815320,1,0
1599817222,1,0
1599901465,0,2
1599927620,1,1
1599947399,1,0
1599962933,1,0
1600014042,0,1
1600033484,0,1
1600046892,0,1
1600097798,1,0
1600163065,2,0
1600172684,1,0
1600184414,0,1
1600188255,1,0
1600248522,0,1
1600250681,0,1
1600260517,0,1
1600272111,0,1
1600302520,1,0
1600326145,1,0
1600327995,1,0
1600398531,1,0
1600408107,0,1
1600413873,0,2
1600439078,1,0
1600485395,0,1
1600508654,1,0
1600512520,2,0
1600520209,1,0
1600525250,1,1
1600595532,0,1
1600599370,0,2
1600635181,1,0
1600685788,0,2
1600720619,0,1
1600891020,1,0
1600896968,1,0
1600934192,1,0
1600954597,2,0
1600978119,0,1
1600981981,0,1
1600983867,1,0
1600991789,1,0
1601021178,0,1
1601040281,0,2
1601071435,0,1
1601075295,0,1
1601109890,1,0
1601174734,1,0
1601196268,0,1
1601259376,0,1
1601394565,1,0
1601419935,1,0
1601454124,1,0
1601482047,0,1
1601507558,0,1
1601509450,1,0
1601541237,0,1
1601579006,1,0
1601592519,1,0
1601596366,0,1
1601616042,1,0
1601664740,0,1
1601679161,0,1
1601681094,1,0
1601697373,1,0
1601703401,0,1
1601712972,1,0
1601764819,1,0
