DateTime,AddedIPs,RemovedIPs
1588409824,5,1
1588431750,1,3
1588453708,5,3
1588475555,3,1
1588497616,6,1
1588519580,2,4
1588541537,2,2
1588563626,1,2
1588585468,4,0
1588607545,5,3
1588640934,3,4
1588662776,1,4
1588684815,1,3
1588706940,4,3
1588728976,3,3
1588750850,2,4
1588772892,1,5
1588794739,2,3
1588816590,1,2
1588849714,0,5
1588871772,1,4
1588893626,2,5
1588915694,0,5
1588937551,2,2
1588959616,1,4
1588981706,3,4
1589003777,1,3
1589025855,1,2
1589047700,5,3
1589069775,6,3
1589091622,5,4
1589113465,1,2
1589135543,4,7
1589157387,4,3
1589179463,1,3
1589201325,1,5
1589223410,0,5
1589245503,0,6
1589267546,2,1
1589289627,2,4
1589311690,1,6
1589333548,0,5
1589355425,3,8
1589388746,1,3
1589410594,2,5
1589454544,5,0
1589476590,7,1
1589498677,10,2
1589520752,9,0
1589542826,3,3
1589564681,2,1
1589586751,1,2
1589608601,2,1
1589641395,1,3
1589663866,9,4
1589685852,1,8
1589707706,0,3
1589729664,1,1
1589751615,2,2
1589773474,1,4
1589828687,1,0
1589872615,1,1
1589894690,1,2
1589916745,2,2
1589938832,3,1
1589960688,5,1
1589983192,5,2
1590016838,8,2
1590038764,5,0
1590060749,3,2
1590082888,3,5
1590104903,6,7
1590126748,5,11
1590148915,4,6
1590170905,1,3
1590192749,1,1
1590214814,1,2
1590236657,5,1
1590258584,1,4
1590280458,1,8
1590302421,2,0
1590324521,1,0
1590346590,2,2
1590379507,1,1
1590401539,2,1
1590423387,3,0
1590445286,5,0
1590467290,1,0
1590489160,8,2
1590511210,6,2
1590533056,4,3
1590555137,5,4
1590577077,0,1
1590598991,3,5
1590620946,4,8
1590642973,2,5
1590665139,8,3
1590687147,6,2
1590708989,4,5
1590731068,6,4
1590753141,6,8
1590775000,4,1
1590797024,9,0
1590819137,6,1
1590841229,9,4
1590863297,2,3
1590885197,2,3
1590907216,2,2
1590929307,2,1
1590951380,4,2
1590984299,2,1
1591006349,0,3
1591028428,3,2
1591050511,1,3
1591072574,1,2
1591094417,3,2
1591116268,3,2
1591138337,3,2
1591171712,3,4
1591193771,17,1
1591215621,4,6
1591237700,1,5
1591259783,2,2
1591281883,1,1
1591303935,3,2
1591325793,2,3
1591358921,5,7
1591380972,3,3
1591402829,3,10
1591424886,0,5
1591446738,8,8
1591468586,4,8
1591490656,3,13
1591512508,1,3
1591534569,2,2
1591556617,3,5
1591578509,3,3
1591600572,1,1
1591622426,3,1
1591644488,4,2
1591666337,4,1
1591688418,3,1
1591710510,5,3
1591732574,7,4
1591754504,10,4
1591776517,3,2
1591798651,9,19
1591820652,5,6
1591842498,6,2
1591864345,2,1
1591886188,5,1
1591908268,2,2
1591930121,3,3
1591952217,4,4
1591974176,5,3
1591996117,1,3
