DateTime,AddedIPs,RemovedIPs
1601482048,0,1
1601486013,1,0
1601487899,0,1
1601493859,0,2
1601507558,1,0
1601509451,0,1
1601519295,0,1
1601521370,3,1
1601523392,2,0
1601525569,0,1
1601535796,0,1
1601545501,1,1
1601549437,1,0
1601551505,1,1
1601553417,1,2
1601555293,1,0
1601561097,1,0
1601562974,1,1
1601564916,1,0
1601568986,2,0
1601570920,1,0
1601572837,0,1
1601586492,0,2
1601594195,0,1
1601603852,1,0
1601607833,0,3
1601609826,1,3
1601633150,0,1
1601634985,0,1
1601636930,0,1
1601638821,0,1
1601640741,0,1
1601644580,0,1
1601652294,0,1
1601654227,0,1
1601656119,0,1
1601658373,1,0
1601670093,1,0
1601671969,1,0
1601685855,0,1
1601687802,1,0
1601693658,1,0
1601695482,0,1
1601701417,1,0
1601711071,2,0
1601716815,1,0
1601718737,1,0
1601743712,0,1
1601749476,1,1
1601751377,0,1
1601764821,2,0
1601766757,1,0
1601774410,0,1
1601778280,1,0
1601780177,1,1
1601782000,2,0
1601785939,1,1
1601797454,0,1
1601803212,0,1
1601805135,0,1
1601808981,1,1
1601818604,1,0
1601835881,0,1
1601843536,0,1
1601845375,1,0
1601851211,1,1
1601855051,0,1
1601860810,1,0
1601864683,0,1
1601866585,0,1
1601868497,0,2
1601878362,0,1
1601889881,1,0
1601895717,0,1
1601905215,3,0
1601912924,1,0
1601916731,1,0
1601918684,1,0
1601922491,2,1
1601932359,2,0
1601934253,1,1
1601938119,0,1
1601940012,3,1
1601941930,1,0
1601943886,1,0
1601945779,2,0
1601947689,1,0
1601949709,1,0
1601968820,0,1
1601972685,1,0
1601976502,0,1
1601978585,1,0
1601995935,0,1
1601997879,0,1
1601999778,0,1
1602001692,2,1
1602003765,1,3
1602005798,0,1
1602007694,1,1
1602009610,0,1
1602011556,0,1
1602017315,0,1
1602019257,0,1
1602021173,1,0
1602023090,1,1
1602024991,1,0
1602026916,0,3
1602028852,0,1
1602030750,1,0
1602032606,0,1
1602036519,0,1
1602038418,0,1
1602040333,1,0
1602048258,2,0
1602057865,0,1
1602065544,1,1
1602067497,1,0
1602069416,1,0
1602080926,0,1
1602089053,1,1
1602092890,0,1
1602094813,0,1
1602100575,0,1
1602102519,2,0
1602108262,0,2
1602110173,0,1
1602116178,0,1
1602121943,0,1
1602135611,0,2
1602151010,1,1
1602154927,0,1
1602158662,1,0
1602160618,1,0
1602174022,0,1
1602179786,1,0
1602183706,1,0
1602189379,0,2
1602216521,0,1
1602231862,2,0
1602233819,0,2
1602235697,0,1
1602237668,0,1
1602254897,1,0
1602262610,1,0
1602266438,0,1
1602268369,1,0
1602270277,0,1
1602283700,1,0
1602285646,1,0
1602310580,1,0
1602318265,0,1
1602335541,1,0
1602341304,0,1
1602349006,0,1
1602370346,0,1
1602372291,1,1
1602374183,1,0
1602384024,1,0
1602385971,2,0
1602389778,1,0
1602397484,0,1
1602407068,0,1
1602412821,3,0
1602414770,1,0
1602418581,2,0
1602420523,1,0
1602422419,0,1
1602434199,0,1
1602447611,1,0
1602451484,1,1
1602453372,0,1
1602457372,0,1
1602461292,0,1
1602470922,0,1
1602472811,0,1
1602476681,0,1
1602492012,1,0
1602493964,2,0
1602501615,0,2
1602507722,0,1
1602513380,1,0
1602524924,1,0
1602534520,0,1
1602536519,1,0
1602538428,2,1
1602540283,1,0
1602547950,1,1
1602553709,0,1
1602573158,1,0
1602580847,0,2
1602582783,1,0
1602586640,1,0
1602594286,0,3
1602596189,1,0
1602600045,1,1
1602605800,0,1
1602607690,0,1
1602609609,1,0
1602611583,1,0
1602619297,1,0
1602621165,1,0
1602626911,1,1
1602630773,1,0
1602634590,1,1
1602636502,2,0
1602638463,1,0
1602644259,1,0
1602651862,0,1
1602653779,0,1
1602657631,1,0
1602659549,0,1
1602661500,0,1
1602667501,1,0
1602669405,2,1
1602673360,1,0
1602681159,0,1
1602683050,1,0
1602687162,0,1
1602692919,2,0
1602694908,0,1
1602696764,0,1
1602698661,0,2
1602702524,1,0
1602704422,0,1
1602710175,2,0
1602712091,1,1
1602717864,1,0
1602722063,1,0
1602724198,0,3
1602732114,0,1
1602745463,0,1
1602747372,0,1
1602753134,0,1
1602755094,0,1
1602757216,1,0
1602759134,1,1
1602761088,1,0
1602762974,1,0
1602770658,0,1
1602778369,0,1
1602782173,0,1
1602791774,1,0
1602795715,0,1
1602797533,0,1
1602803303,1,0
1602809087,0,1
1602810970,1,0
1602824586,1,0
1602826569,0,1
1602828626,0,1
1602844090,0,1
1602847996,1,0
1602849856,0,1
1602863291,0,1
1602876764,0,1
1602878654,0,1
1602888279,1,0
1602890177,0,1
1602897852,1,1
1602905565,1,0
1602911332,0,1
1602924735,0,1
1602926652,5,0
1602934361,0,1
1602936253,2,0
1602957660,1,0
1602961485,0,1
1602965295,3,0
1602967245,2,0
1602980654,2,0
1602984521,0,1
1602992174,0,1
1603009721,0,1
1603021240,2,0
1603023133,0,1
1603030817,0,1
1603040492,2,0
1603042361,1,1
1603046169,1,0
1603048123,1,1
1603051931,0,1
1603053882,0,1
1603055774,2,0
1603057695,1,0
1603084571,0,1
1603096366,0,4
1603102139,1,0
1603104045,0,1
1603110058,1,0
1603115836,1,0
1603119743,1,0
