DateTime,AddedIPs,RemovedIPs
1536160837,130,2
1536248239,1,0
1536335306,5,3
1536422517,7,1
1536509808,2,2
1536596949,4,2
1536684033,1,2
1536771171,3,3
1536858334,3,3
1536945421,5,1
1537032769,2,2
1537119901,1,0
1537206986,2,3
1537294366,1,1
1537381468,1,2
1537468854,2,1
1537555984,1,0
1537643062,3,1
1537730235,1,4
1537817312,5,1
1537904431,1,3
1537991848,2,0
1538078941,2,1
1538166297,116,235
1538253406,2,1
1538340523,0,2
1538427969,2,0
1538515018,1,2
1538602098,3,2
1538689260,3,2
1538776615,1,392
1538863750,2,4
1538950858,4,6
1539037962,1,2
1539125109,2,1
1539212187,3,3
1539299315,4,2
1539386462,1,0
1539473598,0,4
1539560721,1,4
1539647788,3,1
1539734944,2,4
1539822042,2,2
1539909156,1,4
1539996530,5,3
1540083893,0,3
1540171001,3,2
1540258383,1,2
1540345532,1,6
1540432918,2,2
1540520209,1,2
1540607306,2,3
1540694437,1,84
1540781565,3,120
1540868704,4,3
1540956053,3,3
1541043413,206,1
1541130508,7,0
1541217729,1,2
1541305014,1,0
1541392386,3,2
1541479747,0,4
1541567164,3,2
1541654207,5,2
1541741335,0,3
1541828677,2,4
1541915828,2,4
1542003192,1,1
1542090297,2,2
1542177421,2,0
1542264744,1,1
1542352229,4,2
1542439236,1,1
1542526353,1,3
1542613481,3,3
1542700628,1,0
1542787733,0,2
1542874832,1,1
1542961961,1,2
1543049075,1,2
1543136188,0,5
1543223332,2,3
1543310717,1,1
1543397827,4,3
1543484901,0,2
1543572346,0,2
1543659651,2,213
1543746774,3,3
1543833895,3,1
1543921054,0,2
1544008137,1,2
1544095506,0,2
1544182845,2,5
1544270255,3,2
1544357325,1,1
1544444462,2,4
1544531819,0,2
1544619296,3,3
1544706309,3,3
1544793416,1,1
1544880755,1,4
1544967894,2,0
1545055028,0,1
1545142126,1,5
1545229296,2,4
1545316382,0,1
1545403501,0,1
1545490626,3,2
1545577744,2,4
1545664878,0,1
1545751995,3,0
1545839091,4,2
1545970412,4,3
1546057483,2,3
1546144591,2,0
1546231953,1,2
1546319079,2,0
1546406220,3,5
1546493321,4,1
1546580697,0,4
1546667798,4,0
1546754940,2,1
1546842087,2,4
1546929186,3,2
1547016285,1,2
1547103429,2,0
1547191053,3,3
1547278137,1,2
1547365249,0,3
1547452663,2,2
1547539736,2,1
1547627118,1,1
1547801610,0,3
1547888738,4,0
1547975806,1,1
1548062911,2,1
1548150025,0,1
1548237330,1,1
1548324791,2,4
1548411895,1,2
1548499256,4,5
1548586385,0,2
1548673750,0,2
1548760848,1,2
1548847973,1,4
1548935064,1,2
1549022208,1,3
1549109558,0,1
1549196692,3,2
1549283810,1,0
1549370944,0,1
1549458110,1,2
1549545162,1,4
1549632292,4,2
1549806553,3,1
1549893707,0,2
1549980748,0,1
1550067916,1,1
1550155026,0,2
1550242118,0,1
1550329314,628,1
1550416354,2,2
1550503491,1,0
1550590617,1,1
1550677743,1,0
1550764900,1,0
1550851978,1,0
1550939096,1,0
1551026208,0,1
1551200726,2,0
1551287820,0,1
1551375185,0,1
1551462300,3,1
1551550430,1,2
1551637498,1,1
1551724620,5,0
1551811729,1,2
1551898980,1,2
1551986213,0,1
1552073301,1,1
1552247582,1,5
1552334939,0,1
1552422057,2,2
1552596296,1,0
1552683404,2,0
1552857643,1,557
1552945017,1,88
1553032116,2,4
1553119349,1,1
1553206608,1,1
1553293700,0,2
1553380812,1,1
1553467962,0,1
1553555344,1,1
1553729536,2,1
1553816665,1,2
1553903804,1,0
1554078270,0,3
1554165403,0,4
1554252508,0,2
1554339694,0,4
1554427022,0,2
1554514112,1,1
1554601236,0,1
1554688353,1,2
1554775483,1,1
1554862588,2,0
1554949696,1,0
1555036852,1,1
1555123938,1,0
1555210998,1,1
1555298185,1,1
1555385323,1,0
1555559551,652,1
1555821167,0,1
1555995369,0,1
1556169633,1,0
1556256754,1,0
1556431034,0,1
1556518119,1,1
1556605231,1,1
1556866579,2,0
1557040827,0,1
1557127948,1,0
1557302210,0,1
1557389336,1,0
1557476452,3,1
1557563550,1,1
1557650698,0,1
1558086506,3,2
1558609415,1,0
1558783713,2,1
1558870843,2,0
1559045078,0,1
1559219290,0,1
1559480653,0,3
1559567780,0,1
1559654916,1,0
1559742069,1,1
1559916226,0,1
1560090738,0,4
1560439223,1,0
1560526361,1,0
1560613469,0,2
1560700611,0,1
1561223548,0,1
1561310667,0,2
1561398055,2,2
1561485157,1,0
1561659411,1,234
1561746523,1,330
1561833901,1,0
1561920988,0,85
1562008137,1,0
1562182345,3,0
1562269511,1,12
1562356921,0,1
1562531065,1,2
1562618431,1,0
1562705539,1,0
1562966923,1,1
1563054042,0,1
1563141149,0,1
1563228215,1,0
1563403083,1,0
1563490120,0,1
1563751987,0,1
1563839324,1,0
1563970184,1,1
1564057248,1,0
1564144366,0,1
1564231463,1,0
1564318597,0,2
1564405739,1,0
1564492847,1,0
1564667087,0,1
1564754182,0,2
1564841332,0,2
1564928450,1,0
1565015541,1,0
1565102684,0,1
1565189792,2,1
1565276909,1,0
1565364042,0,1
1565451167,1,0
1565538288,1,0
1565712543,1,0
1565799653,1,0
1565886765,0,1
1566060994,0,2
1566409473,1,0
1566496937,0,1
1566583960,0,1
1566671078,0,1
1566932672,1,0
1567019802,0,1
1567107249,0,1
1567194291,1,0
1567281906,1,0
1567586940,3,1
1567674113,1,0
1567761150,0,2
1567848270,2,2
1567935445,1,0
1568022526,1,2
1568196991,0,1
1568284126,0,1
1568371284,0,1
1568545405,1,0
1568719793,0,1
1568806823,1,0
1568981182,0,1
1569068208,1,0
1569329569,1,0
1569503799,0,1
1569765376,0,1
1569939873,1,0
1570026999,0,1
1570244917,1,4
1570332055,1,0
1570419171,3,1
1570506273,0,2
1570593892,0,1
1570680997,0,1
1571029505,1,0
1571116839,0,1
1571203947,1,0
1571378229,0,1
1571465341,0,1
1571726685,0,1
1571813787,1,0
1572075403,1,0
1572162759,1,0
1572424373,1,0
1572511537,1,0
1572598585,0,2
1572859948,1,1
1573034204,0,2
1573121330,2,1
1573295798,2,1
1573600858,0,1
1573775075,1,0
1573862191,0,1
1574036429,0,1
1574297807,1,0
1574472043,0,1
1574646283,0,1
1574733370,1,0
1574820503,1,0
1574994764,0,1
1575081884,0,2
1575168978,1,0
1575256110,2,0
1575517475,0,3
1575604584,2,0
1575691730,1,2
1575865959,2,2
1575953080,1,0
1576040205,1,0
1576301555,2,0
1576388688,0,1
1576562910,2,0
1576737139,523,0
1576998515,0,1
1577259885,1,0
1577782971,0,1
1578131538,2,0
1578393148,0,1
1578480289,0,2
1578567382,1,0
1578654596,0,1
1578915856,0,1
1579177226,0,1
1579264354,0,355
1579351517,0,173
1579874178,0,1
1579961318,1,0
1580048416,1,1
1580135553,1,0
1580222651,0,1
1580396798,1,0
1580484019,1,0
1580745379,0,3
1580919631,1,0
1581093856,3,0
1581180992,0,1
1581268134,1,1
1582052182,0,1
1582139330,1,0
1582226419,1,0
1582400668,1,0
1582487774,2,0
1582574894,0,1
1582662024,0,1
1582749145,0,1
1582836269,2,0
1583010524,0,1
1583533213,0,1
1583620338,1,1
1583707484,1,2
1583794594,0,1
1583925379,527,0
1584186738,1,0
1584360989,1,0
1584709357,0,1
1586190737,3,0
1586277869,2,0
1586364977,2,0
1586452107,0,533
1586539221,1,0
1586626340,2,0
1586713452,1,1
1586800703,3,1
1586974825,0,1
1587149112,1,0
1587236171,0,1
1587323305,1,0
1587410411,0,1
1587497787,1,0
1587584905,0,1
1587672279,0,1
1588020741,1,0
1588107893,1,0
1588456330,1,0
1588586952,1,0
1588761377,1,3
1588848501,0,1
1588935680,1,0
1589022749,0,1
1589109882,0,1
1589197003,0,1
1589284100,0,1
1589371379,0,2
1589458634,2,1
1589719934,1,1
1590417902,0,1
1591027709,0,1
1591201953,0,1
1591376189,0,1
1591463304,1,1
1591637572,1,0
1591811794,1,0
1592160260,0,1
1592247432,1,1
1592334745,0,1
1592509017,1,0
1592596092,1,0
1592683400,0,1
1592770582,1,0
1592857696,1,0
1593031952,2,0
1593119067,0,1
1593380413,1,1
1593642016,1,0
1593990498,1,0
1594077613,0,1
1594164788,1,1
1594600327,1,0
1594687450,1,0
1594861968,1,1
1595123300,1,1
1595297841,0,1
1595472264,1,1
1595559381,0,1
1595646513,0,1
1596169224,0,1
1596430612,0,1
1596691929,1,0
1596779051,0,1
1596866173,1,0
1597127666,2,0
1597214680,0,1
1597301803,0,1
1597476011,0,1
1597737389,0,2
1597824493,1,0
1598434335,0,1
1598782850,1,0
1599044201,0,1
1599392661,1,0
1599480151,1,1
1599741377,0,2
1599915701,1,0
1600438368,0,1
1600525451,1,0
1600743822,1,0
1600918092,1,0
1601005256,0,1
1601353713,0,1
1601615302,1,0
1601876657,1,0
1601963775,0,1
1602138009,1,1
1602312282,0,1
1602486490,0,1
1602747883,1,0
1603183465,0,1
1603270617,0,1
1606465261,0,7
1607013371,1,1
