DateTime,Entries,UniqueIPs
1536160837,817,817
1536248239,818,818
1536335306,820,820
1536422517,826,826
1536509808,826,826
1536596949,828,828
1536684033,827,827
1536771171,827,827
1536858334,827,827
1536945421,831,831
1537032769,831,831
1537119901,832,832
1537206986,831,831
1537294366,831,831
1537381468,830,830
1537468854,831,831
1537555984,832,832
1537643062,834,834
1537730235,831,831
1537817312,835,835
1537904431,833,833
1537991848,835,835
1538078941,836,836
1538166297,717,717
1538253406,718,718
1538340523,716,716
1538427969,718,718
1538515018,717,717
1538602098,718,718
1538689260,719,719
1538776615,328,328
1538863750,326,326
1538950858,324,324
1539037962,323,323
1539125109,324,324
1539212187,324,324
1539299315,326,326
1539386462,327,327
1539473598,323,323
1539560721,320,320
1539647788,322,322
1539734944,320,320
1539822042,320,320
1539909156,317,317
1539996530,319,319
1540083893,316,316
1540171001,317,317
1540258383,316,316
1540345532,311,311
1540432918,311,311
1540520209,310,310
1540607306,309,309
1540694437,226,226
1540781565,109,109
1540868704,110,110
1540956053,110,110
1541043413,315,315
1541130508,322,322
1541217729,321,321
1541305014,322,322
1541392386,323,323
1541479747,319,319
1541567164,320,320
1541654207,323,323
1541741335,320,320
1541828677,318,318
1541915828,316,316
1542003192,316,316
1542090297,316,316
1542177421,318,318
1542264744,318,318
1542352229,320,320
1542439236,320,320
1542526353,318,318
1542613481,318,318
1542700628,319,319
1542787733,317,317
1542874832,317,317
1542961961,316,316
1543049075,315,315
1543136188,310,310
1543223332,309,309
1543310717,309,309
1543397827,310,310
1543484901,308,308
1543572346,306,306
1543659651,95,95
1543746774,95,95
1543833895,97,97
1543921054,95,95
1544008137,94,94
1544095506,92,92
1544182845,89,89
1544270255,90,90
1544357325,90,90
1544444462,88,88
1544531819,86,86
1544619296,86,86
1544706309,86,86
1544793416,86,86
1544880755,83,83
1544967894,85,85
1545055028,84,84
1545142126,80,80
1545229296,78,78
1545316382,77,77
1545403501,76,76
1545490626,77,77
1545577744,75,75
1545664878,74,74
1545751995,77,77
1545839091,79,79
1545970412,80,80
1546057483,79,79
1546144591,81,81
1546231953,80,80
1546319079,82,82
1546406220,80,80
1546493321,83,83
1546580697,79,79
1546667798,83,83
1546754940,84,84
1546842087,82,82
1546929186,83,83
1547016285,82,82
1547103429,84,84
1547191053,84,84
