DateTime,AddedIPs,RemovedIPs
1560439225,12,4
1560526364,10,8
1560613471,3,6
1560700612,4,6
1560787982,5,44
1560875064,8,7
1560962200,5,10
1561049317,7,8
1561136518,6,16
1561223549,5,4207
1561310668,13,7
1561398056,11,263
1561485158,12,147
1561572278,8,6
1561659412,8,238
1561746525,8,3521
1561833903,24,17
1561920989,28,174
1562008138,11,10
1562095256,12,7
1562182346,9,25
1562269512,13,36
1562356926,14,9
1562443945,4,6
1562531066,8,7
1562618432,15,7
1562705540,7,11
1562792715,4314,8
1562879826,3,25
1562966924,10,11
1563054043,5,23
1563141151,9,4
1563228221,12,8
1563315339,11493,5
1563403085,6,6
1563490121,3,167
1563577427,3,4
1563664833,4,8
1563751990,3,5
1563839326,64,13
1563926498,160,4
1564013540,3108,7
1564100655,2,3
1564187781,6,2
1564274895,5,6
1564405740,8,79
1564492849,8,3
1564579967,9,6
1564667088,7,3
1564754183,11,6
1564841334,5,5
1564928451,5,5
1565015542,3,2
1565102685,4,5
1565189793,1,5
1565276910,2,5
1565364043,40,3437
1565451168,4,5
1565538290,12,6
1565625400,4,5
1565712545,9,4
1565799654,5,6
1565886767,5,8101
1565973862,2,2950
1566060995,12,5
1566148138,15,8
1566235273,4092,3
1566322383,7,2
1566409474,7,3
1566496947,26,7
1566583961,6,8
1566671079,6,53
1566758199,7,3
1566845314,2,5
1566932674,11,4
1567019804,7,4
1567107250,5,6
1567194292,13,5
1567281910,5,27
1567369007,6,4298
1567456124,4,7
1567543365,63,6
1567630569,5,6
1567717700,11516,5
1567804821,2,3
1567891976,5,0
1567979076,9,60
1568066210,10,2
1568153593,9,8
1568240696,5,7
1568327782,9,8
1568415193,9,5
1568502590,6,5
1568589664,8,10
1568676763,4,5
1568763862,5,13
1568850998,7,3616
1568938101,14,4
1569025303,7,5
1569112380,7,18
1569199479,625,3
1569286584,5,7
1569373739,7,5
1569460910,1,8
1569547959,6,1
1569635057,9,6
1569722190,4,116
1569809342,5,6
1569896438,6,6
1569983556,7,4
1570070668,3,7
1570157790,19,108
1570244918,2,6
1570332056,3,12453
1570419172,12,7
1570506274,10,10
1570593893,4,11
1570680998,3,10
1570768109,3,18
1570855220,4,27
1570942403,2,27
1571029507,1,8
1571116840,7,13
1571203948,9,11
1571291095,10,19
1571378229,12,8
1571465342,4,8
1571552457,1,19
1571639636,4,7
1571726686,11,15
1571813787,3,1102
1571900922,6,11
1571988282,2,6
1572075404,7,7
1572162760,5,13
1572249928,7,23
1572337232,9,4
1572424375,3,12
1572511539,7,11
1572598586,7,9
1572685713,7,15
1572772942,1399,5
1572859949,3484,8
