DateTime,AddedIPs,RemovedIPs
1603303945,6,3
1603305893,1,2
1603307779,6,2
1603309708,1,1
1603311653,4,4
1603313546,1,2
1603315466,1,4
1603317439,3,2
1603319344,3,2
1603321383,4,0
1603323371,6,4
1603325317,7,2
1603327211,10,3
1603329130,1,5
1603331081,4,1
1603332979,2,1
1603334898,4,1
1603336849,2,2
1603338729,2,0
1603340652,2,4
1603342608,6,3
1603344492,6,0
1603346449,3,1
1603348365,4,3
1603350258,2,4
1603352418,2,7
1603354334,0,2
1603356287,6,4
1603358170,4,3
1603360094,0,4
1603362047,2,3
1603363939,2,2
1603365852,3,2
1603367804,8,4
1603369694,3,1
1603371866,2,4
1603373779,3,2
1603375727,0,4
1603377619,2,3
1603379534,2,3
1603381490,1,3
1603383380,2,4
1603385298,3,1
1603387244,1,8
1603389136,4,7
1603391057,6,4
1603393009,4,3
1603394896,4,4
1603396841,2,2
1603398772,4,3
1603400663,2,1
1603402582,4,1
1603404529,4,4
1603406416,4,2
1603408335,3,6
1603410284,2,3
1603412174,5,10
1603414097,4,7
1603416053,3,1
1603417936,2,5
1603419858,4,1
1603421805,4,4
1603423694,3,2
1603425812,5,2
1603427814,1,2
1603429691,3,7
1603431615,2,6
1603433559,3,4
1603435456,2,3
1603437374,2,1
1603439320,1,2
1603441214,2,1
1603443134,3,7
1603445090,5,2
1603446979,2,1
1603449144,3,3
1603451057,3,1
1603453006,2,2
1603454894,6,8
1603456813,3,3
1603458761,3,2
1603460656,6,3
1603462575,2,0
1603464520,5,2
1603466413,3,2
1603468382,3,1
1603470263,3,3
1603472183,2,2
1603474125,4,1
1603476175,2,5
1603478170,1,7
1603480116,1,3
1603482010,3,4
1603483957,2,2
1603485851,1,4
1603487770,1,2
1603489984,6,4
1603491862,2,4
1603493776,4,5
1603850973,515,129
1603852839,5,0
1603854738,1,0
1603856690,6,0
1603858694,2,0
1603860501,1,0
1603862467,2,0
1603864339,4,0
1603866263,5,0
1603868211,2,0
1603870098,2,0
1603872214,2,0
1603874182,1,0
1603876124,6,0
1603878014,4,0
1603879933,3,0
1603881884,3,0
1603884052,2,0
1603885951,1,0
1603887860,3,0
1603889817,5,0
1603891703,2,0
1603893764,2,0
1603895571,2,0
1603897531,4,0
1603899476,1,0
1603901368,7,0
1603903335,14,0
1603905208,4,0
1603907129,5,0
1603909056,6,0
1603910909,6,0
1603912843,5,0
1603914766,6,0
1603916665,2,117
1603918583,9,162
1603920528,6,202
1603922447,10,1
1603924346,3,3
1603926315,8,4
1603928189,5,10
1603930109,3,4
1603932049,8,3
1603933965,4,1
1603935886,7,5
1603937821,5,6
1603939710,10,3
1603941627,7,2
1603943580,6,6
1603945472,6,1
1603947394,6,1
1603949337,12,2
1603951244,8,6
1603953173,3,4
1603955083,5,1
