DateTime,AddedIPs,RemovedIPs
1603299815,8,5
1603302023,4,7
1603303945,18,17
1603305893,13,13
1603307780,4,10
1603309709,9,12
1603311654,20,4
1603313546,5,8
1603315466,6,19
1603317439,9,8
1603319344,58,11
1603321390,6,11
1603323371,13,4
1603325318,16,2
1603327212,24,16
1603329131,14,3
1603331082,12,9
1603332980,9,18
1603334899,8,9
1603336850,8,11
1603338730,0,3
1603340653,3,30
1603342609,12,16
1603344493,5,13
1603346455,7,29
1603348365,2,11
1603350259,3,1
1603352419,12,18
1603354334,2,7
1603356288,21,3
1603358170,7,1
1603360094,4,14
1603362047,15,12
1603363939,9,6
1603365853,11,6
1603367804,14,8
1603369695,24,8
1603371868,10,10
1603373779,15,1
1603375728,7,12
1603377619,6,5
1603379534,11,8
1603381490,3,8
1603383380,2,2
1603385299,4,13
1603387245,6,3
1603389137,9,3
1603391057,7,23
1603393009,5,8
1603394897,8,4
1603396842,9,16
1603398773,18,13
1603400663,11,4
1603402583,13,9
1603404529,15,20
1603406417,10,43
1603408336,8,9
1603410285,2,13
1603412174,7,18
1603414098,16,24
1603416054,5,11
1603417936,5,11
1603419858,8,6
1603421806,6,8
1603423695,4,7
1603425813,16,2
1603427814,21,4
1603429692,13,12
1603431615,3,8
1603433559,16,3
1603435456,18,1
1603437374,3,7
1603439320,2,8
1603441214,8,8
1603443134,17,19
1603445091,8,4
1603446979,16,7
1603449144,11,18
1603451057,9,8
1603453006,6,17
1603454894,0,13
1603456814,13,20
1603458762,11,8
1603460657,9,12
1603462575,4,7
1603464520,2,9
1603466414,9,7
1603468382,7,3
1603470263,17,1
1603472184,0,5
1603474125,11,9
1603476182,13,9
1603478170,15,8
1603480117,10,4
1603482010,19,7
1603483958,9,11
1603485852,13,19
1603487771,4,10
1603489984,9,19
1603491863,14,8
1603493777,10,6
1603850975,123,429
1603852839,20,0
1603854739,7,0
1603856690,10,0
1603858694,28,0
1603860501,11,0
1603862467,15,0
1603864340,9,0
1603866264,16,0
1603868211,18,0
1603870098,21,0
1603872214,20,0
1603874182,6,0
1603876124,18,0
1603878015,10,0
1603879933,12,0
1603881884,8,0
1603884052,15,0
1603885951,25,0
1603887860,14,0
1603889817,27,0
1603891703,16,0
1603893765,19,0
1603895571,14,0
1603897532,5,0
1603899476,2,0
1603901369,6,0
1603903335,6,0
1603905208,20,0
1603907130,16,0
1603909057,10,0
1603910910,18,0
1603912843,13,0
1603914766,14,0
1603916665,10,4
1603918584,16,8
1603920528,8,4
1603922447,22,12
1603924346,17,9
1603926316,11,17
1603928189,4,11
1603930109,10,7
1603932049,14,14
1603933966,7,13
1603935886,19,16
1603937822,15,14
1603939710,13,19
1603941627,8,7
1603943580,11,10
1603945472,13,24
1603947395,13,14
1603949337,10,12
1603951244,8,12
1603953174,3,16
1603955083,10,18
1603956992,9,22
1603958940,13,15
1603960833,8,7
1603962850,7,18
1603964699,16,10
1603966588,15,13
1603968518,8,8
1603970456,12,11
1603972338,11,25
1603974259,8,14
1603976205,17,26
1603978096,10,15
1603980035,8,18
1603981969,9,14
1603983871,6,4
1603985781,8,2
1603987725,45,5
1603989625,243,6
1603991537,347,20
1603993487,70,17
1603995378,5,9
1606465264,269,1168
1606467147,7,4
1606469069,2,5
1606471011,10,9
1606472908,16,3
1606474850,8,6
1606476772,6,4
1606478672,2,2
1606480586,4,2
1606482539,5,4
1606484437,2,9
1606486345,6,10
1606488292,4,14
1606490191,5,8
1606492136,6,17
1606494056,4,9
1606495952,4,2
1606497898,5,3
1606499804,9,7
1606501705,9,10
1606503661,12,8
1606505548,5,6
1606507472,4,5
1606509420,2,2
1606511315,3,7
1606513258,7,10
1606515150,4,6
1606517070,9,5
1606519011,6,6
1606520904,0,3
1606522825,4,4
1606524769,10,4
1606526670,7,3
1606528583,5,5
1606987953,18,260
1606989866,3,0
1606992054,3,0
1606993950,4,0
1606997816,4,0
1606999697,1,0
1607001668,2,0
1607003538,1,0
1607007386,2,0
1607009543,3,0
1607013686,3,0
1607015679,2,0
1607017632,6,0
1607019650,1,0
1607021541,2,0
1607023488,5,0
1607025377,5,0
1607029265,2,0
1607033067,4,0
1607035008,2,0
1607036904,5,0
1607038821,2,0
1607040771,12,0
1607042665,5,0
1607044581,3,0
1607048425,2,0
1607050339,1,0
1607052289,5,0
1607054187,8,0
1607058063,3,0
1607059958,3,0
1607061870,7,0
1607063806,5,0
1607065703,5,0
1607067621,2,2
1607069568,2,3
1607071464,3,2
1607073385,12,5
1607075328,2,8
1607077225,7,5
1607081090,1,4
1607082979,5,0
1607084897,5,5
1607086867,2,1
1607088742,5,2
1607090698,5,0
1607092594,2,0
1607094501,5,3
1607096447,4,1
1607098359,3,0
1607100361,5,3
1607102203,9,2
1607104133,3,6
1607106093,8,1
1607107975,4,3
1607109895,3,4
1607111808,4,5
1607113702,4,0
1607115636,2,2
1607117602,2,0
1607119466,2,4
1607121382,1,2
1607123337,5,5
1607125222,5,2
1607127139,6,12
1607129092,7,5
1607130981,3,3
1607132900,10,0
1607134855,5,2
1607136739,5,1
1607138935,3,4
1607140834,3,8
1607142770,1,2
1607144686,1,2
1607146600,3,4
1607148567,2,6
1607150446,1,6
1607152370,4,4
1607154304,3,2
1607156199,5,2
1607510712,323,181
1607512588,5,0
1607514503,40,0
1607516454,3,0
1607518341,2,0
1607520266,16,0
1607522210,56,0
1607524102,50,0
1607526069,2,0
1607527973,4,0
1607529884,3,0
1607531842,21,0
1607533749,9,0
1607535695,6,0
1607537568,8,0
1607539425,3,0
1607541387,5,0
1607543304,5,0
1607545255,8,1
1607547150,1,1
1607549078,0,15
1607588247,41,242
1607590366,8,13
1607592271,4,9
1607594213,9,17
1607596118,7,17
1607598047,7,5
1607599967,6,38
1607601872,2,7
1607604031,2,2
1607605946,11,13
1607607897,26,29
1607609786,8,69
1607611704,3,13
1607613646,8,3
1607615550,3,3
1607617470,3,7
1607619417,7,22
1607621309,2,9
1607623318,1,1
1607625178,4,10
1607627076,4,3
1607629017,2,5
1607630918,4,8
1607632836,9,2
1607634773,1,2
1607636672,4,1
1607638589,3,0
1607640530,5,0
1607642435,10,0
1607646292,3,0
1607648187,5,0
1607650135,7,0
1607653948,3,0
1607655893,1,0
1607657787,21,0
1607659944,11,0
1607661865,10,0
1607663814,12,0
1607665700,11,0
1607667627,6,8
1607669568,10,12
1607671465,5,11
1607673384,9,4
1607675333,2,3
1607677247,4,9
1607679147,1,3
1607681094,12,12
1607682988,1,8
1607684925,1,3
1607686853,6,6
1607688749,0,7
1607690665,5,3
1607692612,3,11
1607694502,8,23
1607696428,4,9
1607698373,10,3
1607700269,2,7
1607702183,2,3
1607704134,4,4
1607706043,1,7
1607707952,9,2
1607709903,1,0
1607711795,3,5
1607713867,6,5
1607715869,6,1
1607717808,4,8
1607719701,1,4
1607721621,1,1
1607723565,11,4
1607725465,6,4
1607727381,11,2
1607729332,6,10
1607731299,5,0
1607733143,4,7
1607735094,3,2
1607737329,6,6
1607739245,11,0
1607741106,5,3
1607743233,10,18
1607745147,4,6
1607747088,10,14
1607749008,11,12
1607750946,6,16
1607752884,10,5
1607754766,11,11
1607756718,6,5
1607758605,7,11
1607760504,9,2
1607762467,11,1
1607764381,13,3
1607766267,15,8
1607768208,15,6
1607770105,6,0
1607772032,5,3
1607774003,4,4
1607775879,6,1
1607777826,3,8
1607779745,5,1
1607781684,1,9
1607783557,1,7
1607785510,3,5
1607787410,5,2
1607789320,7,1
1607791267,2,4
1607793176,1,6
1607795089,19,4
1607797044,2,1
1607798940,0,7
1607800855,9,2
1607802745,2,7
1607804690,3,4
1607806602,2,0
1607808510,8,7
1607810475,2,5
1607812372,0,8
1607814275,0,9
1607816181,1,6
1607818129,2,6
1607820024,2,5
1607821943,4,4
1607823892,1,3
1607825785,3,11
1607827699,4,8
1607829626,5,7
1607831544,8,4
1607833488,15,11
1607835381,4,11
1607837302,7,5
1607839271,7,9
1607841147,4,10
1607843069,1,6
1607845002,3,6
1607846903,2,8
1607848822,4,11
1607850762,1,13
1607852665,8,15
1607854581,9,14
1607856522,0,7
1607858426,2,6
1607860345,6,5
1607862286,2,6
1607864181,8,2
1607866106,1,6
1607868164,5,1
1607870395,4,2
1607872355,3,3
1607874263,11,6
1607876167,15,6
1607878109,17,3
1607880011,2,0
1607881928,2,20
1607883932,18,0
1607885809,25,6
1607887756,2,3
1607889645,4,2
1607891615,11,4
1607893511,15,2
1607895391,24,8
1607897357,17,1
1607899252,12,0
1607901145,9,0
1607903111,7,1
1607905010,6,2
1607906910,15,3
1607909084,16,4
1607910990,14,2
1607912917,1,6
1607914894,87,1
1607916791,248,8
1607918737,818,10
1607920656,910,8
1607922491,818,5
1607924409,846,4
1607926333,144,6
1607928281,7,0
1607930169,11,2
1607932126,5,2
1607934064,1,1
1607935955,4,2
1607937854,1,1
1607939796,2,6
1607941693,3,4
1607945556,0,3
1607947457,2,3
1607949367,1,4
1607951317,5,5
1607953243,5,3
1607955382,8,4
