DateTime,AddedIPs,RemovedIPs
1512691313,0,39
1513033834,25,0
1513121072,13,0
1513295328,1,0
1515258288,1,0
1519096127,0,39
1519183224,1,0
1519706900,0,1
1521276753,2,0
1521712902,0,1
1523764741,0,2
1526353318,40,0
1527225428,0,0
1527312710,0,0
1527400202,0,0
1527836210,0,0
1527923344,0,0
1528271783,0,0
1529578606,0,39
1530058130,39,0
1531539224,2456,0
1531888101,0,852
1531975510,0,4
1532062626,1,3
1532149741,0,1
1532237188,0,4
1532411303,0,2
1532585817,0,3
1532672914,0,2
1532760273,0,2
1533109227,1,1
1533196593,1,0
1533284070,0,1
1533371299,1,0
1533458753,0,11
1533545783,0,1
1533894294,0,1
1533981385,0,1
1534068529,0,1
1534155633,1,0
1534242763,0,1
1534678405,0,1
1534765574,4,0
1534852622,1,0
1535026865,1,0
1535113972,1,0
1535201204,3,0
1535375747,3,0
1535463185,1,0
1535550267,1,0
1535986366,0,1
1536160841,1,0
1536771176,0,1
1537119905,0,1
1537381471,0,1
1537468857,0,1
1537643064,0,1
1537817315,0,1
1537991853,0,1
1538427975,1,0
1538515021,0,1555
1538776618,0,1
1540258386,1,0
1540520212,1,0
1541043415,1556,0
1541305016,1,0
1542874835,0,1
1543397831,0,1
1543659654,0,1
1543921057,0,1
1544008141,1,0
1544357328,1,0
1544880770,1,0
1546842091,0,1556
1546929190,0,1
1547452667,0,2
1547627122,1,0
1550242122,0,1
1550329318,1558,0
1550939100,1,0
1551200734,1,0
1553991207,0,1557
1554514117,0,61
1554775487,61,0
1555211006,0,1
1555472446,0,1
1555559555,0,1
1557302214,0,61
1557450752,16,0
1557537918,1562,0
1560326517,43,0
1562417791,1,0
1564247320,0,1556
1564770494,1,0
1564944751,0,2
1565031938,0,1
1565467521,0,1
1565554617,1,0
1565815950,1,0
1565903107,0,1
1566425782,1,0
1567297239,1,0
1567384363,0,1
1567471485,1,0
1568168436,0,1
1568430193,0,1
1569040370,0,1
1569738280,132,0
1569912762,0,1
1570086947,0,1
1571045555,0,2
1572092450,0,58
1577405564,1,133
1579933222,0,1
1585188538,1,0
1585275622,1,0
1585711213,1,0
1586843819,1,0
1587367150,2,0
1587802830,0,1
1587889934,0,1
1587977090,1,0
1588238411,0,1
1589502509,1,1
1589676759,1,0
1589938165,0,1
1590199703,1,0
1590548174,0,1
1591680761,1,0
1591855025,1,0
1592029226,0,1
1592203481,0,1
1592377691,0,1
1593248896,1,0
1594207222,0,1
1595862788,0,1
1597126127,0,1
1598868768,0,1
