DateTime,AddedIPs,RemovedIPs
1502536569,40,0
1502537319,46,0
1502538028,39,0
1502539002,63,1
1502539960,32,0
1502540751,21,1
1502541641,41,0
1502542360,80,0
1502543082,36,0
1502543782,44,0
1502544502,40,0
1502545224,42,0
1502546204,23,0
1502547167,18,0
1502548121,14,0
1502548830,42,1
1502549555,8,0
1502563227,0,1
1502568766,0,1
1502574042,0,1
1502582195,0,1
1502592769,0,2
1502598033,0,1
1502607140,0,73
1502612650,0,1
1502613387,0,1
1502617242,0,2
1502618675,0,6
1502619647,0,2
1502621580,0,7
1502622505,0,4
1502623252,0,4
1502624209,0,2
1502624906,0,4
1502625676,0,3
1502627099,0,3
1502627769,0,1
1502628507,0,3
1502629297,0,7
1502629996,0,5
1502630922,0,6
1502631882,0,5
1502632880,0,12
1502634248,0,6
1502634969,0,6
1502635707,0,1
1502636479,0,16
1502637160,0,19
1502637900,0,9
1502638839,0,6
1502639805,0,7
1502640763,0,2
1502641739,0,3
1502642668,0,13
1502643713,0,7
1502644614,0,4
1502645577,0,12
1502646514,0,2
1502647496,0,4
1502648451,0,6
1502649150,0,1
1502649852,0,3
1502650883,0,2
1502651573,0,6
1502652248,0,11
1502653001,0,2
1502653966,0,3
1502654920,0,6
1502655876,0,12
1502657091,0,5
1502657785,0,4
1502658761,0,7
1502660195,0,4
1502660893,0,1350
1502664012,0,1
1502667153,0,1
1502670047,0,1
1502672185,0,1
1502673657,0,1
1502674345,0,2
1502675061,0,1
1502680357,0,2
1502682040,0,1
1502713702,0,1
1502726890,0,1
1502733428,0,1
1502741586,0,1
1502749007,0,1
1502752359,0,1
1502757151,0,1
1502769712,0,1
1502795072,0,1
1502796524,0,1
1502812587,0,1
1502815963,0,1
1502843568,0,1
1502871863,0,1
1502875704,0,1
1502884365,0,1
1502891065,0,1
1502905455,0,1
1502909570,0,1
1502910511,0,1
1502929491,0,1
1502937166,0,1
1502937846,0,1
1502942452,70,0
1502977727,2,0
1502979158,0,1
1502984667,4,0
1502990684,1,0
1502991387,1,0
1502999066,3,0
1503004845,6,0
1503007288,1,0
1503011071,2,0
1503014185,4,0
1503019729,1,1
1503020417,2,0
1503028107,0,3
1503030269,0,1
1503033384,1,1
1503041798,1,0
1503042765,2,0
1503043728,1,0
1503044682,4,0
1503048245,0,1
1503048999,1,0
1503049718,0,1
1503051853,0,1
1503052590,9,0
1503063628,0,1
1503065311,1,0
1503066765,1,0
1503068496,136,0
1503069163,4,0
1503069853,2,1
1503071575,27,0
1503072528,119,0
1503073478,8,1
1503074442,7,2
1503075408,260,0
1503076614,163,0
1503078252,91,0
1503079005,8,29
1503079816,1,0
1503080683,12,0
1503081646,28,0
1503082343,52,0
1503083081,36,0
1503083770,54,0
1503084510,8,0
1503085491,26,0
1503086171,37,0
1503086910,50,0
1503087615,5,0
1503088351,15,0
1503089333,66,0
1503090282,57,0
1503091256,24,6
1503091935,31,0
1503092663,33,0
1503093681,17,0
1503094330,21,0
1503095026,3,0
1503101338,0,1
1503112833,1,0
1503113531,2,0
1503117645,1,0
1503119571,1,0
1503120525,1,0
1503121945,1,0
1503123416,1,0
1503126488,2,0
1503130830,2,0
1503131552,0,1
1503133382,1,0
1503134184,0,1
1503135195,2,0
1503135851,7,0
1503136582,7,0
1503138750,0,2
1503140923,0,1
1503143049,1,2
1503144777,3,1
1503148089,1,0
1503151732,1,0
1503152685,1,1
1503153387,1,0
1503154124,0,86
1503158497,2,0
1503160817,1,0
1503162514,0,1
1503163485,2,4
1503165145,0,7
1503165873,0,3
1503166473,0,5
1503167323,0,7
1503168751,0,10
1503169728,0,4
1503170675,1,6
1503171372,0,3
1503172111,0,1
1503173075,1,8
1503174045,0,14
1503175003,2,8
1503176533,0,1
1503177149,0,4
1503177859,0,5
1503178569,0,10
1503179300,0,11
1503180090,2,6
1503180764,0,5
1503181447,0,6
1503182213,0,1044
1503183714,1,0
1503185063,1,2
1503185786,2,0
1503186506,0,1
1503187968,0,2
1503189369,3,4
1503190108,2,0
1503190872,0,1
1503191563,0,1
1503192253,1,0
1503194470,0,1
1503195866,1,0
1503196854,2,0
1503198973,2,0
1503199706,4,2
