DateTime,AddedIPs,RemovedIPs
1625840287,5,0
1625841368,5,5
1625841727,5,0
1625843887,6,3
1625846047,10,25
1625846418,0,7
1625847128,3,1
1625847847,1,0
1625848568,57,5
1625849288,2,5
1625850367,7,15
1625851089,1,10
1625851448,0,2
1625852530,0,12
1625853247,3,0
1625853967,44,2
1625854688,1,12
1625855768,5,17
1625856128,0,3
1625858287,7,17
1625860087,5,5
1625861887,4,3
1625862610,3,4
1625862967,2,3
1625863687,2,0
1625865487,5,3
1625866209,2,4
1625866929,0,3
1625868127,2,8
1625869815,6,4
1625870528,3,0
1625871247,48,0
1625871967,2,7
1625874127,4,30
1625875319,3,10
1625876288,5,1
1625877012,32,2
1625877728,1,10
1625878446,0,6
1625879527,1,7
1625879887,1,0
1625880612,0,7
1625880968,0,2
1625882047,4,4
1625883488,4,1
1625884210,2,7
1625884928,1,0
1625887090,9,3
1625888528,3,9
1625889249,1,0
1625889967,1,6
1625890687,3,0
1625892487,5,9
1625893566,7,6
1625893928,4,0
1625895727,18,9
1625896448,4,0
1625897168,3,6
1625897888,7,0
1625898611,7,5
1625898968,3,0
1625899687,5,0
1625900048,1,0
1625901848,4,2
1625902567,4,6
1625903287,3,1
1625903648,5,0
1625904366,2,6
1625905088,4,0
1625905450,2,0
1625906167,3,13
1625906528,1,0
1625908327,11,11
1625908686,4,0
1625909410,4,22
1625910548,6,0
1625911567,3,3
1625912289,3,0
1625913427,54,11
1625913729,3,9
1625914928,4,27
1625915527,1,4
1625916247,5,4
1625916969,4,16
1625918052,3,2
1625919847,4,10
1625920567,3,16
1625920929,3,2
1625921650,1,0
1625922367,4,7
1625923088,6,0
1625923816,7,6
1625924167,1,1
1625925967,5,9
1625926687,3,0
1625927048,1,0
1625928848,4,4
1625929568,2,4
1625929927,1,0
1625931010,6,7
1625932447,26,3
1625933167,17,6
1625933887,20,1
1625934609,33,11
1625935328,7,3
1625937126,7,5
1625937850,3,0
1625938568,4,3
1625939287,5,0
1625941089,3,2
1625941813,0,3
1625942527,1,29
1625943247,1,1
1625943971,0,44
1625945768,5,3
1625946488,1,0
1625947930,42,4
1625949729,13,19
1625950089,1,5
1625951528,4,10
1625952609,4,5
1625953328,2,1
1625953688,0,1
1625954767,2,7
1625956212,8,3
1625958367,6,9
1625959089,4,0
1625960167,1,40
1625961246,1,1
1625961967,1,2
1625963411,3,2
1625964129,2,2
1625965569,2,1
1625966289,3,0
1625967009,0,4
1625967730,1,0
1625968086,1,0
1625969169,1,7
1625970967,47,12
1625972108,5,9
1625973491,4,11
1625973852,0,2
1625974986,4,9
1625976128,3,10
1625977810,2,12
1625978527,2,0
1625979247,1,2
1625979968,1,4
1625981467,5,14
1625982848,2,0
1625983216,1,6
1625985010,1,15
1625985728,0,1
1625986446,0,1
1625987169,1,5
1625988608,0,5
1625990768,0,6
1625991911,0,1
1625993647,0,9
1625995447,4,3
1625997247,7,46
1625997966,0,6
1625999767,56,9
1626001569,3,34
1626003368,4,12
1626005170,7,17
1626006968,8,15
1626007327,1,2
1626008048,5,2
1626008765,2,5
1626009489,4,1
1626010213,4,6
1626010567,2,0
1626011287,6,0
1626012019,7,6
1626012727,2,0
1626013447,2,1
1626015246,4,13
1626015968,1,6
1626016686,3,0
1626017048,1,0
1626018847,4,13
1626019568,0,10
1626020287,4,1
1626021010,3,2
1626021729,2,0
1626022446,45,0
1626024608,10,37
1626025327,0,4
1626027127,4,10
1626028214,2,3
1626028927,5,4
1626029648,1,0
1626030726,3,7
1626031812,2,3
1626032948,3,4
1626033967,1,6
1626034687,2,2
1626035769,1,3
1626036487,2,1
1626037568,2,4
1626039010,1,4
1626039728,2,0
1626041529,3,9
1626042611,2,10
1626044766,5,5
1626045908,2,0
1626047287,2,15
1626048726,4,2
1626050169,6,6
1626050887,0,1
1626053057,3,4
1626055567,6,12
1626057011,2,7
1626057727,3,1
1626058446,1,0
1626059888,7,5
1626061688,4,5
1626062046,1,0
1626063128,1,6
1626064267,6,13
1626064567,1,3
1626065649,6,2
1626067446,8,7
1626068527,3,18
1626069247,2,0
1626069966,0,11
1626070689,1,1
1626071409,2,12
1626072127,2,4
1626073927,56,8
1626074647,17,0
1626075368,36,13
1626076090,45,0
1626076819,31,11
1626077167,11,0
1626077888,14,0
1626078248,2,0
1626079327,6,16
1626080828,2,10
1626081848,5,0
1626082567,8,8
1626084370,11,10
1626085089,4,1
1626086169,6,10
1626086887,2,0
1626088688,5,12
1626089410,3,7
1626090487,3,1
1626091569,4,7
1626092286,1,0
1626093368,0,9
1626094087,1,0
1626095890,98,8
1626097328,4,23
1626099489,3,17
1626100211,1,7
1626100569,1,4
1626101289,1,0
1626103090,3,30
1626103808,0,59
1626105620,3,10
1626106329,3,0
1626107411,3,10
1626108127,1,3
1626108847,1,1
1626110648,4,8
1626111369,1,5
1626113528,7,5
1626114251,1,1
1626116048,4,5
1626117488,5,3
1626118209,1,10
1626118926,0,1
1626119648,1,1
1626120368,0,4
1626121812,2,6
1626122529,1,3
1626124327,4,4
1626125047,2,0
1626125408,1,9
1626126546,2,1
1626127567,0,4
1626128649,3,0
1626129368,0,5
1626130448,1,0
1626131168,1,2
1626132667,74,6
1626134766,3,25
1626136568,5,3
1626137288,0,3
1626139089,0,12
1626139810,0,13
1626140887,1,4
1626141967,1,5
1626142687,1,0
1626143410,1,2
1626144128,5,1
1626145928,5,6
1626147012,0,9
1626148088,2,0
1626149168,4,5
1626149889,5,0
1626150608,3,3
1626151328,5,2
1626152046,2,0
1626152767,1,3
1626153127,2,1
1626153847,1,0
1626154568,2,2
1626155288,2,1
1626156020,1,3
1626157808,6,1
1626159307,6,0
1626161047,7,0
1626161409,0,1
1626162130,6,0
1626163328,5,1
1626164286,4,0
1626165010,3,6
1626165728,2,0
1626167167,5,3
1626169329,6,14
1626171128,3,7
1626172929,56,7
