DateTime,AddedIPs,RemovedIPs
1527159161,65,24
1527181315,75,22
1527203331,41,20
1527225431,33,17
1527247484,47,31
1527269336,44,47
1527291380,77,58
1527314189,36,55
1527359849,50,60
1527382728,48,21
1527404664,37,39
1527426738,25,26
1527448592,34,42
1527470433,43,18
1527492498,48,32
1527514377,58,16
1527536414,26,42
1527558527,38,48
1527580597,32,37
1527602483,42,22
1527624515,65,29
1527646573,129,43
1527668430,71,26
1527690503,40,39
1527712592,55,46
1527734442,79,78
1527756502,56,50
1527778586,39,53
1527800502,40,13
1527822494,49,14
1527844378,45,19
1527866421,76,39
1527888278,55,42
1527910363,53,35
1527933101,42,61
1527955072,79,54
1527977314,55,104
1527999896,44,56
1528021955,65,41
1528044041,35,39
1528066245,16,38
1528088170,33,49
1528110086,47,56
1528132146,37,38
1528154190,63,34
1528176292,54,22
1528198360,52,38
1528220441,45,45
1528242509,48,35
1528264695,26,28
1528286670,29,33
1528311968,39,27
1528335453,22,40
1528357461,23,14
1528379563,26,17
1528401725,33,46
1528423702,38,46
1528445567,23,40
1528467628,23,37
1528489733,49,37
1528511778,40,50
1528533624,28,40
1528555472,27,32
1528577319,38,30
1528599268,20,37
1528621304,31,27
1528643305,25,43
1528666391,26,35
1528688432,44,50
1528710508,33,35
1528733971,52,36
1528755860,62,35
1528777710,31,22
1528799569,43,47
1528821620,45,33
1528843700,52,34
1528865559,69,23
1528887696,32,38
1528909710,61,47
1528931681,38,41
1528953612,33,46
1528975481,70,39
1528997552,25,55
1529019638,25,38
1529041711,15,41
1529063794,39,36
1529085695,43,36
1529107709,36,40
1529129775,17,16
1529151635,30,19
1529173690,39,44
1529195642,53,38
1529217617,34,43
1529239474,32,34
1529261539,33,40
1529283636,38,41
1529305702,18,65
1529327564,43,34
1529349634,43,51
1529371699,31,32
1529393569,39,46
1529415613,69,24
1529437474,48,44
1529459544,59,34
1529481710,37,32
1529503708,56,43
1529525563,36,34
1529547643,47,19
1529569717,39,34
1529591560,44,54
1529613888,58,64
1529635968,61,78
1529658069,29,59
1529679979,30,72
1529701949,65,49
1529723809,58,63
1529745862,11,53
1529767962,30,71
1529790036,36,68
1529811878,43,41
1529833955,37,31
1529856103,24,44
1529878360,25,48
1529900426,19,0
1529922269,20,75
