DateTime,AddedIPs,RemovedIPs
1625305937,14,16
1625307849,21,20
1625309766,21,13
1625311941,12,24
1625313852,15,15
1625315779,16,11
1625317698,15,13
1625319619,7,18
1625321532,9,19
1625323462,9,9
1625325368,8,9
1625329222,6,23
1625331131,10,15
1625333060,18,19
1625334980,7,0
1625336898,12,14
1625338884,10,10
1625340728,16,12
1625342668,3,17
1625344567,13,17
1625346744,9,14
1625348652,10,0
1625352499,14,14
1625354648,11,13
1625356598,10,13
1625358743,5,17
1625360654,4,13
1625364488,6,18
1625366407,8,9
1625368340,6,9
1625370246,6,13
1625372410,5,12
1625374337,12,11
1625376259,7,16
1625378171,12,17
1625380100,14,23
1625382030,11,16
1625383938,12,5
1625385855,13,0
1625387780,10,16
1625389943,12,27
1625391848,9,0
1625393779,8,42
1625395685,13,0
1625399540,18,45
1625401447,14,18
1625403365,16,17
1625405287,16,0
1625407232,12,12
1625409141,14,14
1625411055,13,14
1625412981,10,13
1625414886,10,14
1625417049,13,15
1625418980,9,16
1625420886,12,14
1625422809,7,14
1625424738,15,11
1625426648,6,13
1625428565,10,16
1625430499,7,13
1625432425,4,10
1625434331,10,11
1625436267,20,0
1625438169,10,10
1625440092,9,12
1625442022,23,12
1625443932,3,19
1625445848,11,4
1625447777,8,13
1625449928,11,11
1625453764,11,21
1625455931,19,16
1625457866,8,13
1625459770,10,11
1625461698,6,12
1625463612,15,10
1625465526,18,13
1625467460,10,0
1625469607,12,13
1625471528,17,13
1625473459,9,0
1625477286,15,20
1625479227,16,28
1625481125,14,0
1625483055,14,19
1625484981,13,18
1625486897,11,16
1625488805,19,15
1625490737,12,13
1625492647,11,18
1625494582,11,21
1625496731,7,13
1625498650,19,7
1625500580,11,12
1625502486,6,0
1625504483,10,14
1625506335,21,11
1625508255,15,0
1625510179,16,17
1625512341,12,15
1625514246,8,15
1625516166,12,14
1625518099,7,18
1625520005,14,17
1625521925,15,9
1625523860,17,11
1625525768,13,12
1625527688,14,8
1625529622,8,13
1625531524,12,9
1625533699,14,7
1625535617,13,8
1625537529,16,5
1625539448,5,0
1625543543,13,20
1625545445,11,12
1625547381,11,10
1625549538,16,8
1625551696,14,23
1625553618,20,16
1625555530,21,20
1625557457,19,14
1625559367,16,15
1625561530,9,0
1625563456,17,18
1625565367,15,19
1625567295,16,0
1625569215,13,0
1625571125,14,21
1625573066,14,18
1625574967,13,29
1625577151,16,11
1625579059,14,9
1625580969,7,16
1625583127,12,9
1625585049,14,19
1625586976,8,23
1625588887,16,0
1625590818,6,10
1625592729,14,16
1625594667,10,10
1625596570,17,15
1625598733,13,14
1625600649,8,15
1625602579,8,12
1625604488,8,13
1625606650,15,3
1625608566,8,0
1625610501,4,9
1625612422,4,7
1625614337,11,11
1625618180,14,22
1625620092,9,11
1625622010,14,8
1625623938,12,0
1625626090,11,6
1625628017,9,12
1625629943,12,8
1625631848,8,10
1625633768,8,8
1625635698,15,13
1625637626,13,13
1625639542,14,8
1625641459,12,0
1625643382,4,16
1625645296,11,13
1625647207,12,24
1625649143,26,21
1625651049,14,16
1625653208,18,11
1625655125,12,10
1625657058,16,13
1625658969,17,17
1625661133,13,17
1625663072,10,14
1625664970,9,11
1625667131,9,14
1625669064,17,11
1625670968,16,12
1625673131,17,0
1625675061,21,12
1625676970,20,6
1625678886,10,5
1625680823,17,11
1625682970,19,12
1625685145,14,16
1625687049,18,11
1625690888,13,23
1625692807,18,15
1625694740,13,12
1625696650,20,0
1625698580,20,17
1625700727,11,7
1625702903,7,13
1625704823,14,9
1625706737,8,0
1625708661,16,7
1625710576,12,10
1625712499,11,12
1625714654,9,4
1625716578,8,24
1625718738,9,11
1625720672,7,21
1625722576,13,14
1625724506,6,14
1625726416,11,0
1625728328,7,0
1625730274,17,0
1625732167,16,17
1625734334,12,0
1625736256,10,12
1625738181,14,9
1625740331,15,11
1625742269,14,12
1625744169,19,16
1625746331,14,20
1625748249,13,16
1625750177,17,18
1625752085,10,17
1625754009,11,14
1625755941,19,11
1625757847,22,0
1625759765,11,14
1625761689,11,18
1625763619,19,0
1625765539,14,10
1625767455,7,10
1625771294,11,28
1625773452,18,12
1625775378,8,15
1625777289,14,6
1625779448,13,16
1625781620,9,13
1625783526,14,19
1625785467,7,17
1625787372,14,5
1625789534,10,10
1625791461,10,13
1625793372,4,8
1625795297,5,11
1625797208,5,7
1625799370,12,11
1625803700,6,40
1625805608,12,0
1625807787,22,35
1625809691,13,11
1625811635,15,19
1625813540,8,21
1625815452,12,0
1625817365,20,16
1625819307,15,19
1625821218,20,12
1625823373,14,16
1625825532,18,18
1625827461,12,13
1625829609,14,26
1625831541,9,20
1625833449,15,14
1625835379,16,19
1625837529,15,18
1625839452,11,17
1625841622,14,10
1625843531,14,12
1625845460,9,16
1625847369,12,13
1625849530,14,14
1625851462,12,12
1625853366,14,11
1625855532,13,11
1625857466,12,19
1625859370,12,16
1625861539,22,14
1625863457,19,7
1625865367,19,4
1625867530,7,14
1625869446,11,4
1625871378,9,5
1625873530,12,9
1625875457,3,5
1625877382,8,9
1625879292,4,0
1625881219,9,9
1625883132,7,3
1625885064,5,6
1625886970,8,9
1625888902,9,10
1625891051,1,10
1625895125,15,21
1625897066,7,4
1625898970,9,13
1625901132,18,19
1625903058,13,10
1625904967,20,6
1625907131,19,7
1625909049,16,18
1625910987,14,8
1625912886,16,12
1625915058,22,11
1625916980,16,16
1625918891,7,22
1625920810,18,3
1625924648,10,32
1625926584,9,21
1625928490,11,19
1625930407,12,13
1625932339,14,27
1625934248,10,12
1625936167,6,0
1625938100,8,16
1625940013,8,14
1625941925,16,13
1625943864,13,8
1625945769,12,14
1625947931,14,9
1625949862,10,16
1625951769,7,0
1625953702,7,15
1625955609,8,13
1625957527,8,20
1625959448,13,11
1625961366,6,14
1625963303,9,9
1625965231,11,6
1625967125,14,4
1625969068,2,11
1625970967,7,6
1625973133,12,8
1625976966,7,25
1625978900,10,17
1625980805,9,0
1625982970,3,34
1625984897,7,17
1625986826,9,16
1625988725,8,11
1625990665,17,10
1625992567,14,10
1625994731,13,14
1625996647,9,7
1625998577,16,22
1626000485,14,0
1626002648,14,7
1626004571,11,18
1626006498,22,18
1626008430,6,14
1626010325,11,14
1626012273,6,6
1626014167,13,0
1626016333,21,15
1626018261,11,14
1626022333,15,30
1626024248,4,16
1626026181,19,25
1626028344,16,19
1626032259,15,27
1626034089,2,10
1626036020,12,8
1626037931,8,10
1626039858,12,11
1626041770,14,21
1626043698,16,7
1626045604,10,7
1626047540,21,8
1626049445,12,13
1626051365,8,6
1626053301,17,6
1626055288,4,10
1626057126,15,0
1626059065,4,15
1626060969,12,0
1626062899,8,2
1626064806,8,7
1626066739,13,8
1626068650,17,11
1626074406,13,22
1626076329,20,8
1626078258,15,4
1626080165,13,4
1626082097,11,10
1626084015,16,7
1626085923,17,14
1626087867,19,8
1626089770,13,8
1626091931,13,7
1626093858,8,0
1626096263,8,5
1626098166,11,18
1626100328,10,13
1626102254,11,12
1626104183,13,18
1626106341,12,9
1626108246,16,18
1626110178,14,13
1626112086,12,9
1626114258,10,15
1626116170,7,14
1626120018,14,25
1626121926,19,9
1626123867,19,15
1626127934,21,21
1626129858,13,15
1626131768,8,8
1626133704,9,8
1626135605,9,12
1626139701,9,20
1626141607,14,11
1626143525,13,6
1626145463,8,6
1626149530,13,27
1626151447,8,6
1626153380,10,10
1626157446,11,10
1626159370,22,9
1626161299,17,19
1626163220,13,8
1626165126,11,8
1626167070,14,12
1626168970,10,10
1626171130,20,9
1626174991,19,26
1626176884,11,12
1626178826,18,13
1626182663,8,27
1626184567,11,0
1626186731,5,28
1626188893,12,0
1626190817,16,16
1626192727,10,12
1626194647,17,8
1626196580,13,12
1626198486,15,20
1626200408,14,14
1626204246,18,11
1626206165,14,7
1626208099,15,10
1626210018,10,13
1626211928,14,0
1626213866,6,11
1626215769,12,0
1626217688,10,18
1626219619,15,9
1626221535,15,12
1626225386,10,10
1626227287,13,7
1626229212,11,14
1626233054,14,19
1626234968,7,6
1626236904,8,14
1626238826,8,0
1626240974,20,24
1626243144,18,17
1626245047,32,21
1626246972,9,14
1626248900,13,13
1626250807,17,16
1626252728,17,0
1626254659,27,30
1626256575,25,0
1626258500,17,24
1626260487,19,0
1626262326,18,10
1626264271,14,11
1626266170,19,13
1626268345,15,11
1626270250,13,17
1626272427,16,11
1626274340,9,13
1626278168,19,19
1626280104,21,11
1626282021,16,8
1626283931,15,16
1626285869,14,11
1626287775,22,10
1626289932,13,11
1626291848,15,15
1626293782,17,13
1626295689,19,13
1626297848,20,16
1626299769,15,18
1626301701,18,21
1626303621,28,11
1626305527,11,8
1626307465,16,11
1626309381,10,10
1626311304,13,7
1626313209,16,3
1626315127,13,6
1626317060,10,12
1626318968,5,10
1626321132,13,15
1626323064,7,11
1626324972,11,16
1626328819,24,26
1626330727,16,18
1626332667,10,16
1626334569,21,19
1626336734,15,13
1626338661,25,6
1626340568,15,18
1626342728,16,10
