DateTime,AddedIPs,RemovedIPs
1446298106,352,441
1446375214,129,466
1446906435,477,130
1448112830,334,387
1448718076,397,347
1449323380,320,370
1449929164,340,343
1450533011,352,337
1451137599,107,451
1451210756,162,113
1451473132,238,161
1451559597,200,221
1451645958,171,207
1451818828,114,189
1451905161,136,119
1451991691,387,124
1452078036,390,314
1452164416,387,363
1452247525,365,388
1452596594,363,362
1452682901,377,349
1452769234,448,368
1452855690,417,463
1453028515,127,531
1453114886,129,139
1453201297,474,118
1453287693,438,375
1453374087,405,416
1453460530,396,405
1453633221,107,518
1453719630,139,114
1453806188,472,121
1453892467,421,386
1453978941,384,410
1454065248,377,381
1454237968,129,484
1454324445,126,134
1454410859,493,121
1454497248,384,388
1454583630,394,373
1454670036,410,395
1454842851,109,522
1454929239,116,118
1455015726,484,115
1455102070,410,389
1455188459,427,407
1455274821,452,424
1455447791,100,547
1455534006,115,107
1455620487,367,115
1455706975,471,293
1455793434,388,438
1455879855,431,377
1456052423,89,539
1456138844,125,103
1456225225,504,113
1456309820,425,399
1456397974,416,411
1456484552,422,422
1456657201,107,526
1456743629,122,119
1456830043,529,116
1456916795,426,423
1457002836,421,413
1457089266,405,430
1457262033,124,519
1457348534,118,123
1457434894,529,121
1457521265,483,406
1457607635,434,478
1457694024,415,449
1457863357,116,527
1457949697,106,117
1458036149,502,112
1458119175,397,394
1458208965,373,395
1458295388,418,353
1458468032,122,534
1458554440,112,131
1458640869,482,104
1458727271,377,377
1458813690,399,381
1458900146,423,395
1458992353,217,483
1459072942,124,259
1459159219,105,132
1459245649,255,111
1459328770,449,215
1459418609,373,367
1459505028,377,365
1459677617,89,497
1459764089,110,110
1459850393,469,100
1459936858,419,383
1460023265,370,401
1460109699,432,364
1460282347,100,534
1460368780,93,110
1460455193,485,91
1460541556,425,393
1460627964,379,401
1460714390,382,369
1460887192,106,488
1460973659,77,123
1461060024,458,81
1461146433,384,352
1461232753,431,389
1461319178,396,431
1461491996,104,493
1461578428,119,113
1461664923,473,101
1461751216,404,375
1461837624,394,401
1461924006,417,396
1462096819,97,521
1462183185,124,107
1462269622,505,114
1462355952,379,376
1462442698,401,383
1462529104,400,386
1462702054,113,544
1462788120,100,112
1462874688,537,101
1462961443,374,401
1463047173,382,388
1463133550,374,374
1463306447,116,510
1463392891,120,114
1463479285,479,117
1463565695,426,367
1463652161,415,414
1463738420,425,413
1463911259,104,545
1463997819,98,117
1464084118,172,90
1464170405,502,157
1464256807,379,404
1464343209,397,363
1464516063,99,528
1464602406,84,96
1464688799,462,88
1464775236,398,335
1464861637,408,383
1464948101,388,417
1465120847,84,512
1465207671,118,98
1465293666,452,107
1465380048,448,348
1465466336,387,441
1465552953,359,393
1465725707,92,468
1465812156,103,94
1465898443,522,103
1465984873,396,393
1466071388,390,407
1466157687,408,395
