DateTime,Entries,UniqueIPs
1585042809,2507,2825
1585053141,2753,3102
1585121772,2997,3321
1585162573,3307,3649
1585221864,3318,3645
1585263633,3306,3637
1585321727,3581,3952
1585413151,3396,3731
1585505317,3396,3728
1585563612,3738,4074
1585643536,3748,4087
1585677381,3556,3835
1585726808,3347,3636
1585740732,3671,3967
1585831928,3425,3669
1585923129,3422,3675
1586013850,3397,3666
1586105290,3366,3646
1586197685,3010,3283
1586255655,2979,3256
1586325126,2966,3248
1586326359,3194,3519
1586348662,2832,3134
1586417061,3075,3412
1586509017,3004,3373
1586522182,3254,3665
1586613369,3284,3697
1586705047,3308,3713
1586784732,3315,3733
1586876178,3151,3538
1586877130,3485,3887
1586936902,3312,3659
1586978178,3373,3706
1587036733,3439,3759
1587042502,3937,4258
1587111370,4227,4573
1587152891,4027,4321
1587187933,4297,4631
1587279366,4295,4623
1587371294,4336,4644
1587442570,4397,4696
1587456025,4710,5020
1587466575,5029,5361
1587483863,4744,5055
1587489158,4985,5340
1587507375,5255,5636
1587513630,5493,5906
1587514591,5742,6181
1587525620,6006,6473
1587534489,6244,6726
1587537641,6500,6996
1587538841,6747,7254
1587551538,6748,7260
1587553736,7013,7535
1587554657,7253,7782
1587560039,7527,8064
1587561144,7758,8310
1587630021,7771,8315
1587720739,6974,7525
1587812168,6748,7271
1587904335,6771,7263
1587995569,6783,7275
1588087226,6367,6819
1588178652,2831,2962
1588270109,2902,3011
1588361590,2944,3051
1588452501,2922,3040
1588543940,2989,3096
1588635608,2969,3069
1588727302,2845,2962
1588818491,2847,2963
1588909686,2758,2893
1589001140,2705,2842
1589092810,2655,2810
1589183530,2779,2915
1589276421,2932,3053
1589367862,3058,3161
1589459070,3139,3223
1589550737,3189,3261
1589642179,3304,3361
1589734567,3360,3373
1589825315,3283,3311
1589916735,3200,3239
1590009153,3159,3200
1590102255,3128,3179
1590193469,3097,3150
1590284904,2922,2986
1590377353,2880,2941
1590468490,2827,2874
1590559706,2891,2932
1590651145,2955,2993
1590744021,3045,3078
1590835692,3038,3073
1590925693,3108,3139
1591017130,3107,3136
1591108333,3119,3151
1591199290,3079,3116
1591290731,2976,3016
1591382169,2891,2933
1591473370,2894,2940
1591564575,2947,2989
1591655532,3015,3057
1591746985,3070,3104
1591837928,3001,3036
1591928886,3006,3033
1591969933,3414,3447
1592061387,3498,3532
1592152338,3506,3537
1592244511,3434,3470
1592335450,3401,3441
1592427131,3335,3374
1592518448,3427,3471
1592609546,3095,3135
1592699770,3013,3055
1592790511,3054,3095
1592881964,3072,3114
1592973873,3101,3142
1593064335,3128,3166
1593155526,3102,3132
1593246488,3025,3057
1593337450,3032,3064
1593428167,3069,3099
1593519370,3088,3126
1593610114,3185,3221
1593689556,3225,3263
1593711611,3628,3670
1593761053,3622,3666
1593802120,4007,4057
1593893777,4070,4117
1593985210,4048,4095
1594013051,4465,4521
1594104492,4403,4458
1594196174,4497,4545
1594287616,4364,4418
1594356727,3862,3928
1594373538,3834,3898
1594376918,4160,4229
1594468565,4116,4187
1594560256,3979,4053
1594651718,3527,3590
1594743615,3520,3588
1594824251,3443,3519
1594916443,3537,3611
1595008330,2949,3001
1595099536,2961,3015
1595191222,3054,3103
1595282648,3112,3163
1595373854,3114,3167
1595423556,3115,3168
1595481163,3074,3126
1595572601,3034,3088
1595664038,3145,3189
1595755930,3146,3196
1595848102,3080,3134
1595939801,3015,3063
1596032171,2618,2658
1596033137,3023,3075
1596120742,3036,3081
1596211965,3058,3109
1596298841,2945,3009
1596389770,2993,3063
1596480490,2995,3070
1596572005,2970,3045
1596659292,2973,3045
1596750011,2907,2985
1596844327,2963,3036
1596935051,2927,2993
1597032760,2855,2907
1597126123,2870,2913
1597217290,2900,2939
1597308492,3017,3055
1597405452,3148,3181
1597492599,3063,3103
1597580199,3058,3100
1597669240,3078,3115
1597760176,3062,3103
1597770039,3414,3463
1597857606,3357,3409
1597950038,3219,3280
1598041933,3172,3239
1598133366,3198,3269
1598192172,3290,3358
1598283611,3327,3390
1598375300,3012,3070
1598467710,3017,3068
1598559634,3058,3112
1598651666,2981,3035
1598672161,2982,3036
1598744409,2998,3050
1598760729,3346,3414
1598773473,3718,3796
1598790967,4090,4181
1598812807,4086,4187
1598905003,4081,4182
1598997887,4057,4149
1599089077,4200,4280
1599181453,4143,4220
1599249613,4640,4720
1599271724,4303,4364
1599282758,4757,4823
1599374196,4581,4615
1599465618,3817,3835
1599479530,4265,4291
1599548170,4228,4261
1599575797,4608,4649
1599655480,4689,4730
1599656427,5098,5144
1599669421,5536,5586
1599761357,5470,5519
1599802808,5517,5561
1599894755,4986,5028
1599985935,4985,5028
1600077642,4867,4915
1600168811,4581,4611
1600260967,4219,4251
1600352201,3757,3789
1600442889,3299,3331
1600534350,3185,3221
1600625834,3072,3113
1600717689,3063,3110
1600808446,2893,2954
1600899612,2959,3019
1600991315,3019,3074
1601082491,3002,3057
1601174197,3034,3094
1601266114,3097,3150
