DateTime,Entries,UniqueIPs
1433333787,101,381192
1433333787,101,381192
1433333787,101,381192
1433333787,101,381192
1433333787,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1441246525,103,382232
1444359278,112,383252
1446592594,114,385300
1452023189,115,386324
1456986150,107,386328
1459872962,108,386584
1460478568,109,387608
1462498435,118,387604
1465305233,119,387860
1467904696,122,389972
1470167278,134,405918
1473169220,119,388457
1473283131,117,392014
1475589293,132,397598
1478173292,134,399646
1481145897,139,403486
1483495873,138,403742
1486522156,140,405790
1488923495,139,399630
1491334704,144,409886
1493762773,146,411934
1496897415,148,413982
1501721110,153,424227
1507153338,154,425251
1509995749,157,427555
1512589748,159,427557
1515164180,147,428765
1518032614,171,429601
1520471040,159,429789
1522154355,175,431654
1522795262,145,431670
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1528406399,149,433207
1530653065,149,433975
1533687433,156,434514
1536699944,161,439634
1537980063,164,439676
1538514491,152,441652
1539705759,164,443796
1541544109,163,444810
1543969309,165,446858
1545164497,166,447882
1545940965,164,449136
1546994469,158,450192
1547567008,160,451217
1549377440,163,453521
1551197551,166,456593
1551712630,167,457617
1552324178,167,458385
1552938720,168,459409
1554135151,169,459665
1555338704,170,460689
1555968380,171,460945
1556546929,172,462993
1557160265,174,463250
1557762685,173,463249
1558383157,171,462222
1559561419,172,463246
1560284630,173,464270
1560783495,173,463758
1561993120,174,464782
1562609752,177,467854
1563213182,177,468878
1563887394,179,469390
1564431545,179,471182
1566244947,180,470671
1568725301,182,467088
1569317064,182,467088
1569953217,183,468112
1571158874,186,470160
1572299005,188,470432
1573041421,189,471200
1574190781,194,472480
1574775685,200,473248
1575393006,203,474274
1575992219,204,474275
1576612823,203,474274
