DateTime,Entries,UniqueIPs
1433333787,965,18952705
1433333787,965,18952705
1433333787,965,18952705
1433333787,965,18952705
1433333787,965,18952705
1436356244,980,18975233
1438796967,992,18986753
1438796967,992,18986753
1438796967,992,18986753
1438796967,992,18986753
1438796967,992,18986753
1438796967,992,18986753
1438796967,992,18986753
1438796967,992,18986753
1441246525,1007,19003409
1444359278,1018,19018000
1446592594,1028,19038904
1449013155,1031,19041208
1452023189,1048,19055544
1454432278,1059,19068088
1456986150,1070,19079336
1459872962,1080,19087528
1460478568,1086,19093672
1462498435,1067,19100712
1465305233,1080,19116328
1467904696,1104,19151804
1470167278,1580,18973213
1473169220,1595,18982125
1473283131,1675,18991532
1475589293,1721,19007465
1478173292,1733,19008488
1481145897,1748,19034200
1483495873,1756,19041112
1486522156,1784,19094132
1488923495,1774,19093776
1491334704,1563,19195923
1493762773,1563,19198024
1496897415,1582,19215071
1499195950,1487,19237961
1501721110,1644,19222361
1504740224,1640,19234303
1507153338,1661,19245947
1509995749,1708,19271551
1512589748,1755,19290731
1515164180,1771,19306859
1518032614,1802,19319603
1520471040,1753,19305971
1522154355,1765,19317235
1522795262,1775,19319403
1522795262,1800,19319751
1525193298,1808,19332935
1525193298,1808,19332935
1525193298,1808,19332935
1525193298,1808,19332935
1525193298,1808,19332935
1525193298,1808,19332935
1528406399,1809,19331303
1530653065,1818,19342823
1533687433,1809,19360424
1536699944,1797,19378678
1537980063,1805,19384348
1538514491,1812,19388716
1539705759,1855,19392731
1540341359,1817,19392308
1541544109,1832,19383340
1542138080,1833,19384364
1543327033,1828,19382956
1543969309,1839,19389116
1545164497,1845,19394354
1545940965,1872,19387150
1546994469,1873,19389966
1547567008,1884,19392146
1548200662,1881,19393306
1549377440,1921,19398484
1550009324,1923,19402324
1551197551,1937,19407321
1551712630,1942,19411161
1552324178,1945,19410633
1552938720,1950,19412937
1554135151,1958,19422153
1554724511,1951,19424509
1555338704,1958,19429117
1555968380,1939,19429127
1556546929,1943,19431911
1557160265,1952,19444816
1557762685,1956,19453619
1558383157,1987,19444798
1559561419,1990,19481041
1560284630,1995,19492274
1560783495,2003,19503539
1561400548,2009,19502771
1561993120,2014,19506547
1562609752,2067,19544423
1563213182,2076,19534623
1563887394,2081,19537183
1564431545,1802,19537739
1565119565,1802,19538763
1566244947,1829,19548740
1566940593,1835,19555140
1567596881,1838,19556676
1568725301,1897,19553380
1569317064,1893,19553653
1569953217,1894,19555190
1571158874,1903,19567222
1572299005,1914,19570033
1573041421,1914,19570801
1573595881,1914,19575158
1574190781,1919,19579290
1574775685,1923,19580306
1575393006,1937,19584652
1575992219,1936,19584652
1576612823,1937,19586700
1577209241,1940,19591820
