DateTime,Entries,UniqueIPs
1433333787,1073,9176471
1433333787,1073,9176471
1433333787,1073,9176471
1433333787,1073,9176471
1433333787,1073,9176471
1436356244,1093,9175947
1438796967,1118,9181579
1438796967,1118,9181579
1438796967,1118,9181579
1438796967,1118,9181579
1438796967,1118,9181579
1438796967,1118,9181579
1438796967,1118,9181579
1438796967,1118,9181579
1441246525,1124,9186700
1444359278,1144,9194655
1446592594,1147,9198495
1449013155,1164,9200540
1452023189,1173,9211804
1454432278,1194,9228238
1456986150,1246,9240275
1459872962,1237,9243859
1460478568,1240,9247959
1462498435,1250,9255175
1465305233,1268,9262792
1467904696,1277,9268904
1470167278,1452,8531763
1473169220,1217,8744872
1473283131,1291,8654910
1475589293,1434,8472531
1478173292,1458,8479813
1481145897,1477,8476696
1483495873,1494,8482063
1486522156,1516,8506688
1488923495,1541,8575840
1491334704,1541,8529147
1493762773,1553,8532515
1496897415,1557,8526891
1499195950,1646,8537620
1501721110,1677,8751423
1504740224,1693,8742659
1507153338,1725,8750469
1509995749,1724,8755913
1512589748,1747,8760831
1515164180,1802,8935425
1518032614,1771,8786595
1520471040,1857,8953559
1522154355,1798,8781269
1522795262,1697,8785089
1522795262,1806,8784693
1525193298,1764,8794229
1525193298,1764,8794229
1525193298,1764,8794229
1525193298,1764,8794229
1525193298,1764,8794229
1525193298,1764,8794229
1528406399,1780,8775413
1530653065,1786,8777210
1533687433,1814,8761428
1536699944,1916,8829022
1537980063,1909,8833654
1538514491,1958,8993077
1539705759,2029,9002943
1540341359,1931,8840246
1541544109,1940,8833899
1542138080,1951,8837739
1543327033,1958,8844155
1543969309,1972,8856188
1545164497,1975,8859136
1545940965,1943,8860040
1546994469,1955,8872232
1547567008,1967,8874788
1548200662,1968,8875412
1549377440,2005,8879260
1550009324,2013,8885168
1551197551,2031,8889580
1551712630,2035,8899832
1552324178,2037,8901916
1552938720,2053,8994780
1554135151,2052,8912101
1554724511,2059,8922722
1555338704,2064,8928110
1555968380,2068,8928634
1556546929,2070,8923142
1557160265,2074,8921479
1557762685,2077,8922882
1558383157,2073,8917188
1559561419,2086,8927173
1560284630,2100,8932296
1560783495,2103,8936663
1561400548,2104,8944600
1561993120,2109,8947164
1562609752,2120,8951516
1563213182,2121,8955612
1563887394,2124,8962340
1564431545,2114,8942092
1565119565,2116,8945708
1566244947,2134,8879216
1566940593,2135,8887919
1567596881,2146,8895377
1568725301,2157,8900713
1569317064,2152,8901865
1569953217,2170,8912604
1571158874,2217,8928524
1572299005,2252,8939048
1573041421,2251,8938984
1573595881,2260,8940647
1574190781,2277,8944999
1574775685,2276,8951576
1575393006,2281,8952874
1575992219,2297,8969559
1576612823,2300,8969023
1577209241,2303,8969555
