DateTime,Entries,UniqueIPs
1433333787,55,3746073
1433333787,55,3746073
1433333787,55,3746073
1433333787,55,3746073
1433333787,55,3746073
1436356244,57,3746361
1438796967,59,3754553
1438796967,59,3754553
1438796967,59,3754553
1438796967,59,3754553
1438796967,59,3754553
1438796967,59,3754553
1438796967,59,3754553
1438796967,59,3754553
1441246525,60,3755577
1444359278,61,3788345
1460478568,59,3786426
1462498435,61,3788345
1465305233,63,4836929
1470167278,61,4836545
1473169220,54,4831880
1473283131,59,4835912
1475589293,63,4837057
1483495873,65,4837569
1493762773,63,4834497
1499195950,60,4800961
1501721110,64,4801513
1512589748,66,4801515
1518032614,69,4801539
1520471040,70,4801543
1522795262,72,4801551
1525193298,72,4801551
1525193298,72,4801551
1525193298,72,4801551
1525193298,72,4801551
1525193298,72,4801551
1528406399,72,4800783
1533687433,71,4800527
1536699944,66,4799967
1539705759,68,4799983
1540341359,66,4799967
1545164497,67,4800223
1545940965,63,4798423
1554135151,64,4798439
1557160265,65,4798440
1557762685,64,4798439
1558383157,63,4798183
1559561419,65,4798199
1560284630,66,4798207
1560783495,67,4798463
1561993120,68,4798719
1562609752,67,4798463
1564431545,76,4797695
1566244947,78,4797952
1566940593,79,4798208
1567596881,80,4797954
1568725301,79,4797698
1574775685,77,4796674
1575393006,79,4796676
