DateTime,Entries,UniqueIPs
1433333787,105,597258
1433333787,105,597258
1433333787,105,597258
1433333787,105,597258
1433333787,105,597258
1436356244,106,598282
1438796967,107,599306
1438796967,107,599306
1438796967,107,599306
1438796967,107,599306
1438796967,107,599306
1438796967,107,599306
1438796967,107,599306
1438796967,107,599306
1444359278,103,599300
1452023189,109,620548
1456986150,110,621572
1459872962,111,622596
1460478568,112,626692
1462498435,115,633860
1465305233,116,634884
1470167278,125,640804
1473169220,109,612640
1473283131,123,620032
1475589293,128,620548
1478173292,135,642304
1481145897,125,643332
1483495873,126,644356
1486522156,130,652292
1488923495,129,652036
1491334704,130,652292
1496897415,131,660484
1499195950,132,665348
1501721110,133,669444
1507153338,131,669448
1509995749,132,670472
1515164180,131,670984
1518032614,131,670216
1520471040,134,679692
1522154355,134,678924
1522795262,135,678988
1522795262,136,678992
1525193298,202,688714
1525193298,202,688714
1525193298,202,688714
1525193298,202,688714
1525193298,202,688714
1525193298,202,688714
1528406399,144,688720
1533687433,141,691280
1536699944,142,691536
1537980063,143,691792
1538514491,143,692560
1539705759,143,691792
1540341359,144,692816
1545164497,145,693840
1545940965,146,694864
1548200662,147,695888
1549377440,149,697936
1550009324,150,698960
1551197551,151,699472
1554135151,152,700496
1556546929,154,712784
1557160265,154,711761
1557762685,153,711760
1558383157,155,709456
1560783495,156,713552
1561400548,157,714576
1561993120,158,715600
1563213182,159,717648
1563887394,166,720482
1564431545,172,724606
1565119565,173,725630
1566244947,174,742014
1567596881,175,743038
1568725301,172,742770
1571158874,178,746866
1572299005,179,747122
1573041421,181,748146
1574775685,178,746866
