DateTime,Entries,UniqueIPs
1433333787,453,8884295
1433333787,453,8884295
1433333787,453,8884295
1433333787,453,8884295
1433333787,453,8884295
1436356244,457,8887495
1438796967,461,8889032
1438796967,461,8889032
1438796967,461,8889032
1438796967,461,8889032
1438796967,461,8889032
1438796967,461,8889032
1438796967,461,8889032
1438796967,461,8889032
1441246525,469,9023816
1444359278,472,9027650
1446592594,475,9030722
1449013155,482,9031484
1452023189,515,8993084
1454432278,518,8995132
1456986150,494,9032300
1459872962,514,9036168
1460478568,515,9037192
1462498435,516,9038438
1465305233,528,9058406
1467904696,530,9062014
1470167278,545,9055405
1473169220,488,9049952
1473283131,518,9054339
1475589293,580,9061016
1478173292,581,9063784
1481145897,575,9070550
1483495873,577,9071062
1486522156,587,9074769
1488923495,591,9078353
1491334704,595,9080145
1493762773,597,9081425
1496897415,602,9085777
1499195950,604,9087825
1501721110,600,9092107
1504740224,602,9095435
1507153338,609,9105547
1509995749,611,9106059
1512589748,619,9107597
1515164180,618,9100685
1518032614,624,9104279
1520471040,615,9092449
1522154355,620,9094138
1522795262,621,9094202
1522795262,622,9094266
1525193298,638,9105660
1525193298,638,9105660
1525193298,638,9105660
1525193298,638,9105660
1525193298,638,9105660
1525193298,638,9105660
1528406399,641,9122548
1530653065,647,9125120
1533687433,658,9217216
1536699944,651,9225860
1537980063,652,9227396
1539705759,710,9262730
1540341359,660,9232260
1541544109,663,9232900
1542138080,664,9241092
1543327033,666,9227524
1543969309,667,9227780
1545164497,669,9233028
1545940965,671,9234668
1546994469,669,9235692
1548200662,670,9237994
1549377440,690,9246991
1550009324,688,9246479
1551197551,692,9248016
1551712630,694,9249048
1552324178,695,9250072
1552938720,690,9182232
1554135151,701,9184023
1554724511,712,9184813
1555338704,704,9186327
1556546929,706,9187351
1557160265,705,9189400
1557762685,704,9189399
1558383157,700,9189583
1559561419,702,9190095
1560284630,706,9189583
1560783495,706,9190095
1561400548,707,9222863
1563213182,711,9227727
1563887394,714,9229007
1564431545,718,9227727
1565119565,719,9227728
1566244947,721,9227728
1566940593,721,9227984
1567596881,717,9228752
1568725301,720,9229266
1569953217,723,9230034
1571158874,723,9230034
1572299005,721,9228240
1573041421,719,9229266
1573595881,722,9230290
1574190781,726,9229778
1574775685,725,9225426
1575393006,730,9226708
1575992219,735,9228500
1576612823,735,9229012
1577209241,737,9235668
