DateTime,AddedIPs,RemovedIPs
1552170242,2,9
1552257362,523,0
1552344482,12,5
1552431612,12,260
1552518722,19,264
1552605843,9,0
1552692962,14,0
1552780083,21,0
1552867202,16,0
1552954324,263,0
1553041684,38,9
1553128804,34,269
1553216164,45,1
1553303284,563,1
1553390402,5,259
1553477523,16,0
1553564643,4,1
1553651763,7,0
1553738886,262,11
1553826027,3,2
1553913126,8,0
1554000242,524,17
1554087363,12,12
1554174484,268,14
1554261602,12,0
1554348722,14,15
1554435845,270,13
1554522963,0,13
1554610085,553,1
1554697202,6,21
1554784324,9,14
1554871443,10,278
1554958563,6,3
1555045683,10,7
1555132803,5,261
1555219923,7,1
1555307042,12,6
1555394163,11,5
1555481283,4,12
1555568402,262,13
1555655523,4,0
1555829762,0,22
1555916885,14,6
1556004002,0,258
1556091124,19,527
1556178245,9,6
1556265364,285,6
1556439604,0,13
1556526727,0,7
1556613846,291,8
1556700962,253,6
1556788323,11,5
1556875442,7,6
1556962562,3,3
1557049683,0,4
1557136810,0,4
1557223923,1591,3
1557311042,0,1
1557398162,0,8
1557485282,271,1
1557659523,17,0
1557746643,13,3
1557833763,13,2
1557920883,18,10
1558008244,267,1
1558095362,0,19
1558269604,0,271
1558356722,44,258
1558444084,17,12
1558531202,15,593
1558618323,6,576
1558705442,14,76
1558792563,267,96
1558879682,0,77
1558967044,730,80
1559054165,93,89
1559141283,72,138
1559228406,0,125
1559315524,291,48
1559402642,0,125
1559489762,120,65
1559576883,788,266
1559664024,139,36
1559751125,387,40
1559838243,310,297
1559925363,383,1
1560012482,700,0
1560099619,105,0
1560186723,15,0
1560273842,447,1
1560360972,417,530
1560448082,80,5
1560535225,138,15
1560622323,5,9
1560709442,8,35
1560796563,48,27
1560883682,154,38
1560970812,214,26
1561057923,43,4
1561145043,413,5
1561232163,13,3
1561319284,0,1
1561406427,89,2
1561493523,396,3
1561580643,10,3
1561667762,9,0
1561754882,1975,1
1561842012,4,2
1561929125,258,0
1562016242,3,7
1562103603,266,1
1562190723,11,12
1562278083,266,2
1562365202,6,274
1562452325,6,7
1562539442,259,23
1562626830,515,20
1562713924,5,19
1562801043,258,38
1562888162,2,272
1562975283,0,54
1563062410,0,324
1563149522,297,38
1563236643,0,48
1563323763,624,51
1563411124,43,9
1563498242,531,3
1563585364,546,5
1563672484,301,1
1563759602,316,4
1563846723,36,24
1563933842,21,311
1564020964,21,38
1564108082,39,337
1564195203,39,103
1564282322,79,44
1564369444,135,370
1564456563,108,112
1564543924,82,376
1564631042,358,321
1564718163,84,0
1564805284,73,784
1564892403,596,50
1564979523,326,557
1565066643,56,3
1565153763,334,10
1565240883,53,3
1565328005,0,6
1565415122,401,39
1565502243,109,177
1565589618,80,459
1565676723,82,839
1565763842,768,106
1565851203,5104,65965
1565938323,2365,424
1566025685,1995,64
1566112803,65371,180
1566200163,1380,144
1566287283,66218,235
1566374414,1773,678
1566461763,173,131
1566548883,704,6
1566636243,470,8
1566723364,704,2
1566810484,599,6
1566897614,1025,10
1566984723,0,31
1567071843,913,31
1567159214,81,3
1567333444,65786,793
1567420562,66743,28
1567507732,936,108
1567594812,2072,33
1567681923,364,26
1567769043,77,258
1567856163,65745,525
1567943283,862,10
1568030644,65,11
1568117762,611,18
1568204884,841,9
1568292004,0,13
1568379123,625,16
1568466485,0,13
1568553845,0,263
1568641204,0,34
1568728563,1020,32
1568815686,581,39
1568902803,0,307
1568989923,1190,8
1569077061,0,15
1569164408,0,4
1569251524,0,7
1569338643,2862,265
1569425772,1599,7
1569512887,0,7
1569600009,1022,526
1569687126,0,11
1569774244,0,269
1569861610,696,14
1569948726,65507,10
1570036088,580,266
1570210326,0,549
1570297446,0,5
1570384809,0,7
1570471927,0,9
1570559048,0,5
1570646165,0,5
1570733309,0,3
1570820657,971,7
1570907765,0,5
1570995126,0,11
1571082246,0,9
1571169367,133125,15102
1571256488,2033,14
1571343604,1125,533
1571430726,77,550
1571517845,631,44
1571605215,297,311
