DateTime,AddedIPs,RemovedIPs
1631074106,0,1
1631077728,3,4
1631081321,4,0
1631084912,3,2
1631088516,2,5
1631092128,5,7
1631095720,2,3
1631099322,3,2
1631102919,3,4
1631106505,2,5
1631110094,2,4
1631113701,3,4
1631117305,1,0
1631120920,5,2
1631124502,5,2
1631128106,1,4
1631131736,1,0
1631135310,1,5
1631138923,5,6
1631142310,1,5
1631145857,5,4
1631153326,3,3
1631156922,6,1
1631160556,2,4
1631164127,5,3
1631167724,3,2
1631171323,6,5
1631174728,2,4
1631182143,14,11
1631185749,2,6
1631189134,6,6
1631192935,4,3
1631196538,3,4
1631200146,3,7
1631203746,1,1
1631207330,3,4
1631210923,5,5
1631214249,5,4
1631221526,10,3
1631225329,3,3
1631228931,1,3
1631236133,4,9
1631239639,2,3
1631243370,5,4
1631246973,3,2
1631250582,4,2
1631254181,8,4
1631257777,3,4
1631261388,11,8
1631264826,7,8
1631268455,5,7
1631272187,3,1
1631275789,2,6
1631279395,4,3
1631282984,3,7
1631286585,3,5
1631290186,3,2
1631293792,1,4
1631297394,2,4
1631301020,1,10
1631304463,32,2
1631308224,6,2
1631311804,2,4
1631315404,2,3
1631319231,4,2
1631322598,2,4
1631326206,2,1
1631329811,1,5
1631333408,3,1
1631337013,6,2
1631340491,3,2
1631344212,2,1
1631347826,2,3
1631351423,1,5
1631355019,3,4
1631358620,3,2
1631362225,2,2
1631365817,4,0
1631369423,6,1
1631373015,4,0
1631376617,4,1
1631380222,1,2
1631383693,1,3
1631387433,3,1
1631390893,5,3
1631394643,4,6
1631398231,17,0
1631401675,3,2
1631409040,10,1
1631412633,0,3
1631416232,12,4
1631419837,4,0
1631423421,3,0
1631426897,2,0
1631430625,3,0
1631434238,2,3
1631437840,8,1
1631441441,3,0
1631445054,1,0
1631448641,2,0
1631452115,0,5
1631455843,3,4
1631459445,1,1
1631463037,1,2
1631466634,19,6
1631470256,30,3
1631473858,3,7
1631477458,2,2
1631481064,2,6
1631484645,5,5
1631488241,6,8
1631492041,3,12
1631495443,0,2
1631502638,7,3
1631506237,5,2
1631509683,1,4
1631513271,3,2
1631517041,1,6
1631520663,4,6
1631524253,3,5
1631527848,4,2
1631531452,1,3
1631535051,2,4
1631538663,7,3
1631542260,1,3
1631545862,6,3
1631549468,2,1
1631553060,7,4
1631556678,5,2
1631560278,5,0
1631563710,3,1
1631574648,4,7
1631578200,4,1
1631581724,21,2
1631585453,2,3
1631589068,31,2
1631592656,1,2
1631596290,6,3
1631599706,14,2
1631603466,2,2
1631606914,4,15
1631610667,5,3
1631614273,2,3
1631617871,7,4
1631621472,3,2
1631625085,2,5
1631628695,4,0
1631632265,1,2
1631635850,34,4
1631639328,30,4
1631643063,1,4
1631646659,3,3
1631650258,10,2
1631653724,61,4
1631657313,4,1
1631660929,3,1
1631668273,3,44
1631671875,0,4
1631675468,3,3
1631678949,1,0
1631682682,2,3
1631686269,4,5
1631689876,0,5
1631693471,2,2
1631696909,13,2
1631700531,6,2
1631704273,4,1
1631707880,3,4
1631711470,4,2
1631715064,8,0
1631718677,13,2
1631722278,13,2
1631725882,11,3
1631729471,3,4
1631733067,7,1
1631736692,10,3
1631740118,8,2
1631743881,302,1
1631747469,3,2
1631751330,9,3
1631754683,10,3
1631758288,12,3
1631761879,11,2
1631765337,6,1
1631769079,4,4
1631772690,2,3
1631776096,5,6
1631779891,6,0
1631783493,3,3
1631787092,2,9
1631790688,3,5
1631794290,1,6
1631797731,4,3
1631801515,61,1
1631805104,1,4
1631808719,8,1
1631812287,6,3
1631815884,5,7
1631819486,4,5
1631823099,30,2
1631826686,2,4
1631830285,5,2
1631833737,11,2
1631841091,13,4
1631844694,5,1
1631848299,2,5
1631851906,3,2
1631855510,6,4
1631859101,2,4
1631862562,3,3
1631866301,1,14
1631869753,2,3
1631873524,1,7
1631877105,2,4
1631880704,2,4
1631884309,21,4
1631887897,5,6
1631891503,0,4
1631895093,0,5
1631898547,4,5
1631905936,5,7
1631909505,3,32
1631913134,7,7
1631916722,2,1
1631920329,12,5
1631923870,5,6
1631927522,5,2
1631931133,5,1
1631934721,3,1
1631938261,3,2
1631941850,7,10
1631945458,5,3
1631948712,11,1
1631952660,2,2
1631955914,6,2
1631959603,3,1
1631963463,2,0
1631966710,1,1
1631970462,6,7
1631974280,1,6
1631977885,57,5
1631981206,82,7
1631988706,144,5
1631992016,63,2
1631995684,67,4
1632003119,110,17
1632006711,94,1
1632013917,153,5
1632017516,83,0
1632021117,74,11
1632024721,47,4
1632028319,62,4
1632031924,45,3
1632035517,57,3
1632038829,49,5
1632042730,125,7
1632046135,328,4
1632049927,220,2
1632053529,169,2
1632057133,162,1
1632060734,75,2
1632064074,70,4
1632067873,45,8
1632071477,2,18
1632075085,10,18
1632078312,2,8
1632082283,5,0
1632085878,1,3
1632089506,2,4
1632093063,1,2
1632096545,1,1
1632100291,0,2
1632103890,1,1
1632107489,2,6
1632111082,1,2
1632114669,1,3
1632118302,4,4
1632121923,4,1
1632125557,202,3
1632129133,216,3
1632132749,230,1
1632136335,140,4
1632139934,106,2
1632150731,205,10
1632154338,23,19
1632157972,18,23
1632161545,22,32
1632165144,27,12
1632168747,25,0
1632172361,33,2
1632175697,29,3
1632179346,34,1
1632186742,90,14
1632190330,34,1
1632193925,45,9
1632197544,41,2
1632201143,33,3
1632204512,75,8
1632208349,84,8
1632211949,52,1
1632215552,30,4
1632219167,23,0
1632222754,33,4
1632226350,44,7
1632229761,27,5
1632233534,1,1
1632237127,2,1
1632240728,1,7
1632244320,1,5
1632247931,1,2
1632251331,0,1
1632255153,0,3
1632258742,3,24
1632262344,3,1
1632265936,2,6
1632269812,1,3
1632273137,5,1
1632276738,1,0
1632280343,1,1
1632283942,3,0
1632287542,1,4
1632291142,1,5
1632294752,4,4
1632298352,4,4
1632301945,4,8
1632305546,4,6
1632309148,7,4
1632312754,2,4
1632316348,9,3
1632319947,1,4
1632323380,3,15
1632330788,44,11
1632334390,2,5
1632337945,1,5
1632341551,2,10
1632345150,3,3
1632348809,0,55
1632352349,2,5
1632356224,5,7
1632359383,1,3
1632363029,1,7
1632370226,11,12
1632373973,5,6
1632377566,5,4
1632381165,4,4
1632384763,1,4
1632388369,2,3
1632391970,3,0
1632395564,3,3
1632399040,1,1
1632402758,3,2
1632406353,5,61
1632409959,4,2
1632413560,1,6
1632417154,35,4
1632420760,1,3
1632424371,1,0
1632427829,4,9
1632435177,5,2
1632438630,57,7
1632445978,104,8
1632449576,65,3
1632453171,57,3
1632456764,56,0
1632460370,40,5
1632463981,31,2
1632467574,46,4
1632471176,31,4
1632474775,41,8
1632478378,42,6
1632481976,24,4
1632485575,33,2
1632489177,33,5
1632492773,8,4
1632499966,2,4
1632503579,0,3
1632507198,2,4
1632510782,57,2
1632514403,16,3
1632517982,6,4
1632521594,3,3
1632525201,0,6
1632529062,0,6
1632532406,0,3
1632535994,8,6
1632546842,11,12
1632550419,3,3
1632553821,2,12
1632561224,6,7
1632564804,5,4
1632568418,3,3
1632571995,1,0
1632575561,2,6
1632579149,1,0
1632582747,2,11
1632586339,18,14
1632589944,26,10
1632593549,38,15
1632597140,20,14
1632600746,24,15
1632604356,16,13
1632607944,23,15
1632611548,11,13
1632615427,0,11
1632618773,0,14
1632622343,0,25
1632625946,4,21
1632629546,4,13
1632633150,3,9
1632636504,1,7
1632643696,3,24
1632651145,4,124
1632654741,2,84
1632658341,0,59
1632661940,5,77
1632665538,5,45
1632669155,5,40
1632672736,1,22
1632676335,0,2
1632679945,1,4
1632683189,2,2
1632690848,3,6
1632694482,1,1
1632697975,0,1
1632701325,3,0
1632704940,1,2
1632712411,3,2
1632716004,2,0
1632719245,3,1
1632723207,0,4
1632726812,4,4
1632730401,1,95
1632733654,5,146
1632737600,2,200
1632740828,3,134
1632744790,3,125
1632748150,5,226
1632755611,10,91
1632758947,7,30
1632766399,3,53
1632770035,3,34
1632773589,1,36
1632777210,3,42
1632780820,5,36
1632784045,1,42
1632791358,5,130
1632798809,6,130
1632802428,3,72
1632805639,2,83
1632813200,2,314
1632816805,0,134
1632820407,2,68
1632824008,5,76
1632827621,1,86
1632831214,5,94
1632834800,3,82
1632838401,63,3
1632842001,24,2
1632845636,1,1
1632849295,5,2
1632852804,43,2
1632856417,28,0
1632860012,20,0
1632863611,28,4
1632867225,27,2
1632870817,40,2
1632874191,22,0
1632881634,8,7
1632885263,1,1
1632888802,0,3
1632892395,1,2
1632895744,5,2
1632903200,10,12
1632906814,2,2
1632910400,3,6
1632914003,1,11
1632917597,5,3
1632921214,1,7
1632924803,3,4
1632928395,3,0
1632932006,2,5
1632935604,8,64
1632939193,3,0
1632942532,3,0
1632949990,2,6
1632953593,5,0
1632956833,0,2
1632964402,3,8
1632968000,2,1
1632971333,1,4
1632975208,2,12
1632978811,0,6
1632982409,3,5
1632986000,1,1
1632989607,2,1
1632993218,2,1
1632996850,4,1
1633000414,1,1
1633004016,4,3
1633007347,0,4
