DateTime,AddedIPs,RemovedIPs
1677483126,54,26
1677490296,44,72
1677495707,34,38
1677499305,31,32
1677501226,35,41
1677508311,56,56
1677513730,40,38
1677515513,30,40
1677517299,31,38
1677522698,39,35
1677526300,25,20
1677531672,32,30
1677537075,41,40
1677538896,16,29
1677540698,29,16
1677542493,16,29
1677544280,36,22
1677549677,76,32
1677551475,33,35
1677555083,36,39
1677558733,60,66
1677564076,33,42
1677571271,52,53
1677576869,34,23
1677582103,27,31
1677585680,29,32
1677587479,27,35
1677591189,27,27
1677596560,46,48
1677601882,36,74
1677605472,22,20
1677609080,23,47
1677612675,23,36
1677618102,20,13
1677621706,26,25
1677623503,27,31
1677628906,24,26
1677630733,85,41
1677634278,118,30
1677637881,39,32
1677641539,73,31
1677645068,46,61
1677650480,43,42
1677652276,48,85
1677657680,28,18
1677659477,26,27
1677664915,44,46
1677672081,20,33
1677675692,59,83
1677681068,47,36
1677684679,29,38
1677688274,40,40
1677691869,34,26
1677697359,33,50
1677699151,28,44
1677700875,47,33
1677706405,30,41
1677708076,90,68
1677709870,79,108
1677715338,24,32
1677718939,100,59
1677726093,44,29
1677727878,25,56
1677729715,56,25
1677731495,74,108
1677735154,42,42
1677740551,40,41
1677742342,37,23
1677745906,34,37
1677751355,23,38
1677753078,32,20
1677760319,40,55
1677763913,24,30
1677765868,41,26
1677771157,24,25
1677776514,26,32
1677778662,30,30
1677781972,31,32
1677787285,23,42
1677790907,47,61
1677794476,36,29
1677801718,40,31
1677805340,41,43
1677807155,79,60
1677812558,40,34
1677814287,33,33
1677817895,44,59
1677821487,36,47
1677825230,52,41
1677828691,42,31
1677834122,29,32
1677835924,24,25
1677839477,31,25
1677843139,14,39
1677846687,26,31
1677852133,53,42
1677857543,28,26
1677862914,41,32
1677866484,37,58
1677870101,31,30
1677877311,20,26
1677880926,46,54
1677884552,27,23
1677889879,45,32
1677893475,74,36
1677895358,34,31
1677902477,42,37
1677904279,36,51
1677908081,43,55
1677913297,40,36
1677915083,32,27
1677920481,32,26
1677924072,40,57
1677931312,25,31
1677934910,38,22
1677938517,36,34
1677942116,31,30
1677945719,25,24
1677947491,30,22
1677949294,18,29
1677954791,29,30
1677958316,24,37
1677961917,27,54
1677965465,31,34
1677969117,22,35
1677970900,24,25
1677976283,42,39
1677978140,74,29
1677983515,30,32
1677987210,28,34
1677988875,48,57
1677990677,57,48
1677992474,76,97
1677999672,57,53
1678006935,21,26
1678008733,25,24
1678012336,20,33
1678014082,39,29
1678019478,52,34
1678024875,33,23
1678026673,35,33
1678032110,18,24
1678035722,30,18
1678039325,19,34
1678042915,46,47
1678048276,29,26
1678053715,19,28
1678057269,24,29
1678060873,21,22
1678064529,30,27
1678066289,66,34
1678069889,34,36
1678073492,43,42
1678075354,38,58
1678080704,42,52
1678084297,41,31
1678087978,36,22
1678091588,27,30
1678095073,22,27
1678104078,47,35
1678105907,18,29
1678111308,24,29
1678113096,31,27
1678118471,44,37
1678125731,22,25
1678127512,28,20
1678131119,25,25
1678132875,21,33
1678138306,23,22
1678140084,21,30
1678143718,17,26
1678145511,26,17
1678170779,162,147
1678174270,29,18
1678208485,72,97
1678212196,14,23
1678217470,22,16
1678221072,18,24
1678224677,17,27
1678231903,34,27
1678237325,31,27
1678239127,61,22
1678242725,22,22
1678246325,28,33
1678249925,33,45
1678253596,34,48
1678257069,32,29
1678260681,30,10
1678262486,12,21
1678269732,16,21
1678271532,24,16
1678275127,14,18
1678278729,12,15
1678282325,16,15
1678285870,18,13
1678291315,13,12
1678293071,17,37
1678296688,34,27
1678300296,25,20
1678302112,20,25
1678303884,36,25
1678307486,14,17
1678312874,9,19
1678314670,20,17
1678320170,21,22
1678321872,23,13
1678325474,56,29
1678330906,22,23
1678334511,25,29
1678338122,38,45
1678339928,31,37
1678345277,43,30
1678352477,21,27
1678354287,23,13
1678357872,10,16
1678363317,26,27
1678368674,17,22
1678372269,14,20
1678375875,26,12
1678381277,8,17
1678383074,16,28
1678386673,11,10
1678390331,23,16
1678397509,19,33
1678402906,19,17
1678406503,18,18
1678410109,20,19
1678413708,50,14
1678417304,24,24
1678420879,20,29
1678422677,38,42
1678426283,34,41
1678431731,21,15
1678433506,18,14
1678435404,24,34
1678437112,48,30
1678439011,30,48
1678440712,52,36
1678447926,27,26
1678449720,20,20
1678453308,32,31
1678455070,18,21
1678456876,19,13
1678464129,11,28
1678465926,24,12
1678471303,18,21
1678474900,14,30
1678478504,28,17
1678482121,26,30
1678489311,22,20
1678492877,17,24
1678494681,26,16
1678496481,50,21
1678503719,27,20
1678507320,54,75
1678514504,27,35
1678518110,20,13
1678521713,17,11
1678525319,17,13
1678528920,17,20
1678532478,25,31
1678539729,19,20
1678541527,19,18
1678545088,16,9
1678548764,11,12
1678550482,19,15
1678555875,14,18
1678561276,29,29
1678564881,16,16
1678568479,12,25
1678572078,9,16
1678579326,24,17
1678581075,25,15
1678586508,50,27
1678590106,17,30
1678593672,33,28
1678595470,36,51
1678599077,29,43
1678602672,20,13
1678606385,16,13
1678615315,27,27
1678618883,38,32
1678624325,16,21
1678629709,22,21
1678633280,31,27
1678636875,17,15
1678644123,10,17
1678645922,14,17
1678647674,17,14
1678654866,15,18
1678660266,24,45
1678662075,24,20
1678665722,24,25
1678671070,59,29
1678678312,46,55
1678696383,102,105
1678699918,16,17
1678705380,16,24
1678707180,22,26
1678710788,28,30
1678714300,27,19
1678717894,15,24
1678721582,30,17
1678726881,27,31
1678732275,28,25
1678735879,18,21
1678739553,23,16
1678744907,15,26
1678748508,15,21
1678752124,33,48
1678757477,64,20
1678762923,23,20
1678764723,28,44
1678768369,53,52
1678771984,32,58
1678773715,58,32
1678777315,53,73
1678780985,25,29
1678784586,28,11
1678788113,18,27
1678791732,14,14
1678795321,24,31
1678798988,22,20
1678800783,20,10
1678802477,11,25
1678807878,20,22
1678811478,19,44
1678815124,20,21
1678818674,24,25
1678829562,84,44
1678834906,25,35
1678840334,24,17
1678845721,58,14
1678849323,43,62
1678856508,39,56
1678860107,42,39
1678863708,26,22
1678867277,21,21
1678869077,21,30
1678874488,34,35
1678879934,15,22
1678883474,20,27
1678887112,25,19
1678892518,26,21
1678896092,24,12
1678899711,9,21
1678903298,44,35
1678910512,20,21
1678914122,15,27
1678915915,22,27
1678919478,23,30
1678921344,30,23
1678923072,42,42
1678926704,27,26
1678932111,60,30
1678935712,25,24
1678939315,32,32
1678942906,38,56
1678946508,38,35
1678950110,44,41
