DateTime,AddedIPs,RemovedIPs
1459139402,7,8
1459225801,11,10
1459312201,9,7
1459398601,13,9
1459485001,15,12
1459657801,10,8
1459744201,12,9
1459830601,10,9
1459917002,10,9
1460003402,6,9
1460089801,9,9
1460435402,21,16
1460521801,11,13
1460608201,14,12
1460694601,26,14
1460953801,20,24
1461040201,21,24
1463545801,77,58
1463632201,29,13
1463718601,12,23
1463977801,9,12
1464064201,11,14
1464150601,18,9
1464237001,15,10
1464323401,9,11
1464669001,11,21
1464755402,19,7
1464841801,12,13
1464928202,12,7
1465187401,14,18
1465273801,5,9
1465360201,14,12
1465446601,9,32
1465533001,11,39
1465619401,42,37
1465705801,42,12
1465792202,12,16
1465878601,16,157
1465965001,137,33
1466051401,49,19
1466137801,19,20
1466397001,19,21
1466483401,17,47
1466569801,48,33
1466656201,26,109
1466742601,34,83
1466915402,164,11
1467001801,11,4
1467088201,6,10
1467174601,13,6
1467261001,16,15
1467347401,8,15
1467693001,16,17
1467779401,17,8
1467865801,15,12
1467952201,14,14
1468211401,19,25
1468297801,14,8
1468384201,15,14
1468470601,11,6
1468557001,9,15
1468816202,13,197
1468902601,75,50
1468989001,172,5
1469075401,28,22
1469161801,11,15
1469421001,28,11
1469507401,10,12
1469593801,15,25
1469680202,10,181
1469766601,193,10
1470112201,13,222
1470198601,216,9
1470285001,13,116
1470371401,108,12
1470630601,9,221
1470717001,221,7
1470803401,18,21
1470889801,20,22
1470976201,17,14
1471235402,25,24
1471321801,17,13
1471408201,8,219
1471494601,67,64
1471581001,220,10
1471840201,27,30
1471926601,18,21
1472013001,18,19
1472099401,15,85
1472185801,83,15
1472445001,25,27
1472531401,28,23
1472617801,19,20
1472704201,23,34
1472790601,43,20
1473136201,17,41
1473222601,22,18
1473309002,11,204
1473395402,195,11
1473654601,18,183
1473741002,188,8
1473827401,17,25
1473913801,5,297
1474000201,70,76
1474259401,255,26
1474345801,20,247
1474432201,72,76
1474518601,105,78
1474605001,290,9
1474777802,24,24
1474864201,22,62
1474950601,58,18
1475037001,20,17
1475209801,24,24
1475469002,22,25
1475641801,18,22
1479360601,102,67
1479447001,9,8
1479706201,14,19
