DateTime,AddedIPs,RemovedIPs
1506198082,834,799
1506261102,907,878
1506345083,841,824
1506424736,933,928
1506505585,1025,975
1506551417,1029,995
1506637423,608,567
1506719945,950,1002
1506806702,886,858
1506886672,840,825
1506969656,824,833
1507049943,952,869
1507132246,836,886
1507217319,936,901
1507302544,618,598
1507463966,983,969
1507540634,780,802
1507627247,898,833
1507709741,904,875
1507757870,836,882
1507843194,855,857
1507920045,886,887
1507985531,804,750
1508069114,476,444
1508140707,1034,809
1508226098,1107,1035
1508310958,745,954
1508394187,898,871
1508480634,926,908
1508525837,986,816
1508606592,468,489
1508668311,793,807
1508750941,822,800
1508784321,580,542
1508861089,566,461
1508945089,850,915
1509027449,895,885
1509056530,860,843
1509142054,792,812
1509224564,856,872
1509309453,501,481
1509395585,892,915
1509472376,957,910
1509558274,912,912
1509637224,1010,987
1509723601,948,864
1509739161,913,927
1509889725,858,867
1510042241,1001,902
1510095839,857,834
1510168783,875,877
1510255699,794,808
1510335725,1136,879
1510510032,763,817
1510591615,872,975
1510678972,953,827
1510763328,897,919
1510848191,966,978
1510933082,942,879
1510938055,848,875
1511081181,859,850
1511113259,806,792
1511194666,860,859
1511279095,877,873
1511287978,1212,947
1511372524,785,987
1511450677,1014,873
1511519052,980,968
1511628990,925,1047
1511700397,776,781
1511773469,866,843
1511824436,888,856
1511891226,926,903
1511970029,877,915
1512054874,1056,881
1512061805,931,1094
1512235359,662,606
1512309205,784,820
1512396506,828,869
1512478921,974,883
1512550956,933,957
1512611704,883,876
1512687341,874,952
1512766545,635,592
1512778938,851,860
1512927516,882,878
1513010366,927,879
1513094641,1002,947
1513178993,975,977
1513266079,939,911
1513331136,936,912
1513378991,905,918
1513457489,825,828
1513508655,870,860
1513592268,845,911
1513672329,1040,947
1513733112,952,932
1513788144,955,932
1513851772,919,924
1513926543,819,863
1513992824,912,892
1514079738,824,839
1514114016,1083,916
1514195671,800,1031
1514279456,874,856
1514305557,816,842
1514381370,960,814
1514538545,1004,977
1514580808,977,920
1514634666,852,810
1514715372,937,799
1514885937,971,1119
1514971578,975,915
1515020375,734,630
1515106366,872,1004
1515190319,987,899
1515286471,956,970
1515444372,872,889
1515527893,856,862
1515605727,960,895
1515677241,829,888
1515756260,916,846
1515791107,820,879
1515963809,909,850
1516048461,839,851
1516132824,952,894
1516211192,884,880
1516269220,914,923
1516438286,944,957
1516493825,909,956
1516550746,932,854
1516635564,893,935
1516697994,1061,1008
1516736189,836,1392
1516823337,1436,855
1516905336,923,914
1516974325,870,953
1517061087,890,843
1517136498,926,931
1517222316,907,902
1517308742,1185,894
1517395387,934,1128
1517477119,1096,1016
1517503217,907,1083
1517585399,895,814
1517613814,854,953
1517773388,1119,921
1517828727,898,963
1517909035,1025,897
1517994073,938,949
1518032055,960,923
1518113549,860,729
1518193801,1040,961
1518275726,613,832
1518352831,578,528
1518435071,901,904
1518517118,952,891
1518599506,914,880
1518649518,1084,873
1518734049,529,550
1518814192,701,570
1518884458,495,543
1518955613,497,482
1519037944,570,564
1519119055,995,879
1519176313,899,960
1519252826,973,902
1519329432,1093,930
1519407593,977,901
1519580450,995,964
1519663105,900,893
1519748173,1001,913
1519832442,1185,939
1519912559,951,1164
1519938606,910,970
1520009693,853,866
1520086459,922,935
1520172708,661,561
1520245312,583,576
1520328951,915,947
1520349786,943,932
1520436738,888,776
1520522589,1059,906
1520608939,960,980
1520613721,586,599
1520776024,1393,889
1520862393,929,909
1520935439,1098,933
1521019823,940,903
1521068557,928,945
1521153710,896,968
1521236835,1017,947
1521322409,534,596
1521402567,948,857
1521488002,989,939
1521574488,1037,926
1521660066,960,901
1521744603,984,953
1521827916,956,969
1521910589,550,617
1521992113,664,549
1522078624,709,671
1522164673,1049,912
1522246295,1212,921
1522327076,660,711
1522413525,985,956
1522495423,943,894
1522667347,1429,1047
1522690632,933,974
1522777245,898,864
1522862689,1163,1000
1522946292,642,773
1523026128,855,741
1523195020,1197,1054
1523267864,1319,1025
1523352691,953,929
1523437647,1225,1110
1523472139,761,731
1523552496,573,542
1523638212,799,614
1523650197,566,634
1523808221,687,632
1523888568,602,587
1523973529,1079,1020
1524052389,1053,1042
1524127620,689,730
1524213567,967,1020
1524242184,1006,1126
1524304072,786,847
1524383547,859,803
1524419589,684,658
1524500514,803,562
1524585746,1005,937
1524670115,1257,1026
1524754962,866,786
1524779698,1041,1039
1524862799,881,824
1525006884,1369,1105
1525085151,641,2754
1525169786,2619,678
1525256785,950,1020
1525288473,803,663
1525361914,756,781
1525438510,897,745
1525544725,1188,1063
1525624398,537,539
1525698077,818,745
1525778609,698,744
1525847313,817,674
1525883847,868,724
1525968961,904,886
1526052654,997,1011
1526075321,694,704
1526221275,878,696
1526307036,654,643
1526334920,734,671
1526416531,664,589
1526477886,1047,911
1526559698,784,710
1526640032,864,811
1526664494,943,968
1526747611,857,818
1526935117,1054,924
1527006580,803,776
1527074292,1069,1033
1527153421,968,1004
1527238536,1064,947
1527282787,930,1017
1527430467,1064,864
1527534020,801,768
1527612758,983,939
1527698355,1208,1014
1527784986,766,798
1527869921,766,733
1527946082,679,742
1528103908,1195,918
1528141813,955,763
1528219090,689,695
1528294301,956,797
1528377761,1200,1079
1528404504,1088,1023
1528479301,604,694
1528548985,876,760
1528577467,711,764
1528643283,1107,604
1528728384,961,839
1528814091,1300,1079
1528898084,1196,1108
1528977388,1061,1032
1529053590,814,830
1529090803,1147,983
1529333024,1575,1217
1529484727,1430,1383
1529588409,1457,1110
1529700184,1215,1229
1529827091,1092,1065
1529960127,1485,1363
1530037144,1086,842
1530124070,1152,916
1530190265,1160,860
1530359492,1256,1282
1530527707,1346,1222
1530613901,1437,1223
1530698422,1252,862
1530734549,1185,937
1530809097,1087,990
1530887771,1049,1114
1530922523,1042,1132
1531057910,2239,1137
1531170625,1362,1248
1531255954,660,677
1531317960,1298,1188
1531411714,1247,1317
1531513156,1085,1145
1531668149,1484,1095
1531744332,913,831
1531779882,931,853
1531860562,999,755
1531940245,1354,1192
1532026920,1347,1244
1532107070,1057,856
1532183201,774,923
1532202320,1420,1053
1532374132,1346,1165
1532454425,1170,1283
1532537524,1311,1259
1532615701,1146,1160
1532699144,1247,920
1532716774,927,879
1532965345,1212,1023
1533047729,882,878
1533076231,1192,1152
1533235631,1439,1285
1533293429,1030,1137
1533344356,1005,1027
1533408953,822,921
1533574525,1414,1045
1533660667,1441,924
1533743682,1089,884
1533756543,856,973
1533850472,1651,1274
1534016736,1595,1190
1534189781,1243,1087
1534259546,930,959
1534336227,1203,875
1534382850,1028,962
1534452670,1076,846
1534529726,981,897
1534546319,934,894
1534705222,1017,939
1534786618,852,854
1534872632,1230,926
1534950382,982,1015
1535031559,1206,870
1535095265,850,920
1535334729,1355,1171
1535393830,947,1013
1535469121,1222,1091
1535554541,1149,1267
1535641501,1146,1032
1535726199,873,899
1535842317,965,1212
1536009023,1376,1287
1536082475,1099,1047
1536162981,1043,944
1536249139,1180,1002
1536336198,1128,984
1536420274,979,881
1536520899,948,1129
1536600912,818,811
1536679143,1378,1172
1536763983,1019,898
1536903469,1536,1354
1536961408,838,726
1537200168,1680,1572
1537258293,1107,887
1537340213,1204,1004
1537463076,1454,1474
1537546659,1246,1141
1537800936,1289,1430
1537875674,1108,2296
1537944657,2441,921
1538029930,1181,2258
1538109699,1219,1048
1538544971,3109,1618
1538582853,1302,1289
1538745724,1610,1516
1538809695,1175,930
1539044020,1697,1680
1539100718,881,959
1539186057,1396,1277
1539251427,1423,1406
1539877383,2149,2425
1540075825,1500,1413
1540226278,1286,1140
1540257552,1068,1261
1540338283,883,850
1540409977,1390,1368
1540515279,1561,1574
1540768962,1137,1109
1540827349,1278,1304
1540874941,1355,1193
1540949698,1370,1340
1541117699,1684,2783
1541350552,2891,1811
1541467012,1694,1589
1541531753,1179,1237
1541595458,1411,1060
1541644865,1312,1443
1541790311,1894,1627
1541833769,1496,1461
1542149518,1978,1715
1542215250,1118,1140
1542272156,1533,1321
1542325078,1358,1426
1542412132,1324,1037
1542658190,1601,1666
1542697684,1109,1162
1542812139,1352,1284
1542890810,919,1019
1543012136,1470,1259
1543068901,987,920
1543158915,1321,1311
1543244321,749,725
1543330822,1674,1402
1543417874,1672,1497
1543504194,1593,1532
1543540158,1657,1586
1543606322,1453,1272
1543837779,1820,1811
1543922751,1594,1416
1543962005,1654,1581
1544096262,1877,1851
1544177383,1388,1396
1544208040,1371,1209
1544444065,1933,1749
1544492658,1363,1409
1544652707,1966,1700
1545088048,2392,2103
1545255967,1751,1698
1545331667,1756,1599
1545438844,1941,1813
1545580166,1518,1439
1545665759,1260,1431
1545722146,1457,1403
1545847375,1470,1319
1546001127,1700,1451
1546161199,1184,1335
1546197810,1331,1180
1546282859,1474,1276
1546450327,1663,1571
1546702144,2027,1860
1546711399,1325,1525
1548023315,2948,3140
1548282297,1959,1650
1548628231,2071,1871
1548703748,1834,1555
1548775285,1484,1491
1549019885,1836,1567
1549210201,1990,1880
1549295214,1320,1268
1549479822,2001,1943
1549709664,1827,1336
1549902002,1710,1427
1550253245,2182,2064
1550506967,2112,1644
1550621537,1915,1979
1550771417,1958,1757
1551058150,2265,1732
1551371820,2071,1915
1551744289,1853,1678
1551954856,1688,1478
1552530127,2943,2035
1552854161,1755,1926
1552915349,1357,1435
1552989424,2279,1042
1553364458,1819,1825
1553974946,3495,2168
1554133454,1534,1061
1554397365,1970,1822
1554496432,1448,1011
1554751505,1556,1267
1554758408,1103,1078
1554912007,1797,1414
1555028817,1653,1535
1555243917,1819,1774
1555365290,1757,1536
1555892958,2526,2325
1556036257,1176,1044
1556663819,2520,2113
1557197412,2938,1848
1557347717,1786,1463
1557705643,2568,3017
1558001041,2737,1558
1558487999,2130,1850
1560349388,3243,4384
1568982849,8268,12746
1570787266,2814,3243
1575743224,5824,6793
1576665807,2581,2766
