DateTime,AddedIPs,RemovedIPs
1513948713,761,1466
1513983859,1051,910
1514114541,996,867
1514196297,757,776
1514248396,809,1063
1514309639,1134,829
1514387345,846,998
1514561530,1109,880
1514580781,676,757
1514830126,915,835
1514914414,814,771
1514998881,865,782
1515080720,795,864
1515106534,789,884
1515189977,752,665
1515362324,924,912
1515438184,734,780
1515493131,857,708
1515540327,819,752
1515624795,791,908
1515710325,824,913
1515796848,911,1120
1515873269,988,824
1515959207,1101,1026
1516032612,1120,971
1516119723,1020,1169
1516184542,1362,766
1516269853,1038,984
1516403443,1147,1103
1516488492,856,848
1516568451,1167,917
1516642666,1001,894
1516693959,1148,1051
1516747201,1057,715
1516833539,1081,704
1516920305,661,920
1516970652,896,905
1517046544,901,1039
1517132867,1229,932
1517218420,1006,733
1517240064,987,1092
1517320984,915,1254
1517398742,957,968
1517477419,1169,782
1517524063,774,907
1517593645,881,751
1517764749,857,880
1517828083,903,973
1517868940,937,1140
1518042890,1076,819
1518129913,824,970
1518346830,619,1056
1518381270,791,1281
1518438060,925,1022
1518489142,945,523
1518560464,510,635
1518630183,555,700
1518708319,574,907
1518793310,792,769
1518859483,781,1002
1518907153,1133,850
1518985766,878,1069
1519061027,1259,862
1519139159,679,771
1519212895,976,853
1519260476,940,1032
1519337929,1008,1040
1519424394,822,898
1519504025,698,1012
1519588234,1117,1022
1519666480,967,838
1519745683,984,1069
1519770085,1193,984
1519856548,648,908
1519903896,1032,860
1519943706,537,658
1520196623,1301,1203
1520277938,549,389
1520356694,759,1024
1520426792,1083,507
1520508743,824,1019
1520547328,941,746
1520600818,331,628
1520715527,465,720
1520799253,663,327
1520881196,622,454
1520944101,878,925
1521028256,694,621
1521068458,708,1205
1521153702,1342,678
1521238448,722,824
1521325325,749,1375
1521402558,965,746
1521481848,1018,901
1521551738,1204,888
1521636662,858,1135
1521711508,910,995
1521757364,924,829
1521835163,468,646
1521911680,771,601
1521972516,581,502
1522059351,724,620
1522144488,918,1209
1522189994,666,639
1522276622,730,585
1522362888,682,737
1522433598,919,760
1522601378,1055,1354
1522683769,1376,1242
1522768502,742,1008
1522802545,932,840
1522872376,478,748
1522968207,1159,635
1523140576,980,1009
1523219001,899,1103
1523268476,980,410
1523350606,712,969
1523399779,878,1159
1523486402,376,480
1523573065,935,556
1523737886,927,1303
1523824678,828,1005
1523909892,770,470
1523976666,838,659
1524062081,651,451
