DateTime,AddedIPs,RemovedIPs
1512851936,419,525
1512933293,595,420
1513012999,556,569
1513088308,573,467
1513170386,556,594
1513287730,788,594
1513374636,459,518
1513539876,686,486
1513618150,471,543
1513704985,608,491
1513783538,477,484
1513816583,402,580
1513903628,572,398
1513983838,524,465
1514062937,377,524
1514133801,425,266
1514210602,439,556
1514287804,573,406
1514370900,454,563
1514387799,616,505
1514468250,403,528
1514491151,559,449
1514573114,388,479
1514580510,540,402
1514721737,467,410
1514762329,335,493
1514840951,543,401
1514914726,465,559
1515000264,625,458
1515081865,520,627
1515136036,621,471
1515190382,410,541
1515450471,906,622
1515522564,491,595
1515602725,666,458
1515686474,627,635
1515767360,684,499
1515797547,489,584
1515937743,686,496
1516012800,415,533
1516095827,587,426
1516180007,525,647
1516240890,719,501
1516279764,496,636
1516362378,598,467
1516442882,493,569
1516526435,567,446
1516589909,549,579
1516669593,623,499
1516753630,517,610
1516823356,761,551
1516905352,486,605
1516971248,700,494
1517036447,433,648
1517109172,623,420
1517181009,529,556
1517262010,652,517
1517332323,542,588
1517415514,622,386
1517501912,390,475
1517583408,738,461
1517593694,386,583
1517767946,663,427
1517835558,481,586
1517910172,590,469
1517977159,543,654
1518015935,699,448
1518099069,426,534
1518179967,475,607
1518193642,266,434
1518362431,498,366
1518428096,417,438
1518488848,1000,469
1518571518,453,670
1518613764,570,298
1518692368,414,403
1518716551,543,328
1518802567,398,532
1518877839,626,445
1518923244,268,423
1519077300,555,359
1519144300,467,617
1519230063,693,471
1519254344,534,650
1519331191,567,484
1519400478,489,562
1519424638,562,441
1519576734,591,507
1519659287,553,540
1519744625,711,483
1519828546,537,687
1519905311,572,373
1520022381,570,656
1520186803,441,274
1520257511,324,478
1520288329,704,497
1520350426,455,602
1520432362,711,456
1520515886,676,653
1520600945,624,502
1520631682,339,450
1520699303,591,477
1520777121,434,538
1520854051,656,360
1520884408,587,627
1520970714,625,497
1521044602,772,524
1521126579,453,678
1521165922,787,565
1521224863,405,561
1521368834,511,396
1521455812,531,462
1521485788,670,517
1521563795,558,681
1521639578,733,557
1521711698,469,570
1521766117,721,599
1521814170,319,326
1521952958,442,369
1521993684,383,471
1522078643,494,408
1522144499,584,626
1522180602,617,629
1522266144,546,401
1522272202,448,408
1522357031,173,163
1522437200,343,469
1522444183,462,395
1522690217,904,667
1522768900,457,588
1522856738,695,542
1522900750,418,514
1522974661,542,439
1523052543,648,631
1523178991,695,650
1523347069,682,545
1523409637,579,675
1523472155,496,373
1523640364,501,496
1523662319,240,411
1523816978,541,343
1523891022,415,469
1523977862,713,495
1524062772,584,549
1524124260,350,518
1524170965,649,490
1524255726,417,749
1524419150,616,389
1524503021,447,409
1524584439,565,361
1524671108,464,519
1524755357,690,496
1524779967,479,632
1524861464,607,415
1525011717,627,633
1525097055,601,532
1525129020,659,505
1525271636,623,543
1525357613,479,586
1525365991,643,496
1525451834,375,333
1525626173,629,842
1525704192,453,381
1525786931,402,461
1525876117,722,575
1525961705,186,170
1525966464,422,430
1526222882,505,501
1526309157,285,384
1526327447,521,387
1526401289,243,317
1526567940,805,556
1526650417,425,606
1526908661,778,674
1526988025,411,461
1527006863,502,442
1527090157,447,571
1527244555,738,611
1527282764,386,567
1527425825,638,384
1527498250,353,351
1527609909,711,556
1527695634,309,383
1527785155,603,487
1528028106,465,447
1528107936,524,343
1528127052,577,349
1528211776,231,371
1528295902,595,385
1528379906,394,479
1528400478,558,463
1528482801,361,480
1528648876,734,540
1528732255,425,439
1528815480,490,366
1528909123,572,540
1528996900,467,414
1529152569,407,465
1529311394,487,515
1529371767,512,616
1529531608,784,737
1529588396,520,565
1529631918,469,338
1529828946,493,524
1529955421,486,471
1530030803,299,401
1530087898,662,413
1530129072,356,428
1530545194,937,798
1530574567,446,543
1530638534,589,299
1530802891,656,583
1530817108,429,518
1530899129,330,275
1530985451,515,604
1531151652,861,528
1531169773,408,549
1531239236,486,330
1531319542,529,586
1531479687,704,591
1531582788,504,519
1531750791,402,428
1531783156,412,491
1531858837,437,338
1531923843,586,645
1531994094,620,457
1532012147,438,517
1532167843,548,398
1532254480,512,485
1532314870,600,454
1532377251,437,675
1532442692,566,327
1532528451,581,690
1532533200,641,542
1532620273,251,194
1532788590,544,495
1532801456,398,558
1532971041,817,531
1533043977,401,444
1533071332,410,367
1533138097,365,437
1533223146,545,410
1533258220,485,562
1533599177,900,749
1533659577,304,442
1533747653,559,459
1533922793,704,335
1534085993,713,625
1534170524,391,490
1534240639,743,513
1534315604,549,583
1534352629,459,356
1534434726,359,469
1534508226,743,478
1534529335,396,526
1534616066,489,347
1534677676,411,312
1534825311,604,503
1534964131,677,561
1535040242,355,455
1535150546,668,513
1535404576,656,545
1535538888,664,637
1535670383,594,642
1535831617,412,402
1536002448,556,579
1536071536,488,597
1536163756,733,689
1536252798,372,372
1536427224,118,30774
1536478170,30752,104
1536543580,541,387
1536610450,503,378
1536697211,462,474
1536839187,668,521
1536916055,326,459
1537019545,704,519
1537182124,482,445
1537200977,508,633
1537275409,596,447
1537292045,634,716
1537375856,595,404
1537457506,487,610
1537464193,525,440
1537548535,234,202
1537558281,486,457
1537707891,461,512
1537845238,623,2467
1537908473,319,964
1537974431,2890,504
1538061365,682,1326
1538112073,639,1249
1538194643,235,936
1538276258,421,2798
1538438833,5077,439
1538584671,516,504
1538890714,1268,963
1539044677,693,603
1539197844,782,2389
1539261638,428,4568
1539366035,706,578
1539618657,604,533
1539650878,606,525
1539794786,536,490
1539833784,424,497
1539912440,512,384
1540102376,640,628
1540308274,584,554
1540393461,291,381
1540480416,739,441
1540564023,451,481
1540569384,340,488
1540827094,656,568
1540864394,395,524
1540924584,647,450
1541007861,460,463
1541088940,581,353
1541187905,433,464
1541432428,393,440
1541522863,544,433
1541696855,972,489
1541760352,456,447
1541789590,373,451
1542137128,786,755
1542209524,768,528
1542270382,538,464
1542297982,596,526
1542367109,425,282
1542662107,656,796
1542731532,405,481
1542815236,665,473
1542849780,494,613
1543239475,900,846
1543347174,570,441
1543598095,750,674
1543610762,404,541
1543690642,433,281
1543849340,617,591
1543972072,674,557
1544035105,322,480
1544121807,569,350
1544205124,366,321
1544265496,434,503
1544465031,877,577
1544545066,310,422
1544620440,835,638
1544674773,599,566
1544741920,577,534
1545071672,900,795
1545340238,839,806
1545581195,475,435
1545648348,275,427
1545848797,794,683
1545993059,528,485
1546284258,676,681
1546440220,530,494
1546486752,467,599
1546560677,520,359
1546616164,377,494
1546688938,675,470
1546949921,685,615
1547051289,680,662
1547137234,327,399
1547242728,723,632
1547480652,633,553
1547744241,732,825
1547835856,515,409
1548087774,605,493
1548260401,575,581
1548288708,695,690
1548596233,968,705
1548720198,659,434
1548806309,420,470
1548958393,708,568
