DateTime,AddedIPs,RemovedIPs
1440790808,0,1
1441051808,0,2
1441138807,1,0
1441225807,1,1
1441312807,1,1
1441399808,1,0
1441486811,0,1
1441573807,2,1
1442443808,0,1
1442530811,0,1
1442617808,1,0
1443226808,0,2
1443313808,2,0
1443748808,1,1
1443835805,1,1
1444096816,0,1
1444270808,1,0
1444531802,0,1
1444618805,1,0
1444966802,0,1
1445053802,1,0
1445227802,0,1
1445401802,2,1
1445488808,1,1
1445575802,1,1
1445662803,1,2
1445749808,1,1
1445836802,1,0
1445923804,1,2
1448770802,4,3
1448857805,2,1
1448944803,1,1
1449031803,1,1
1449118820,1,1
1449205804,3,1
1449292803,1,3
1449379803,3,1
1449466808,1,1
1449727803,1,1
1449814802,2,1
1449901805,1,2
1450075809,2,1
1450162804,1,2
1450249809,2,1
1450336808,1,1
1450423804,1,2
1450597802,0,1
1450684805,0,1
1450771802,2,2
1450858807,2,0
1451467802,0,2
1451554802,2,1
1451641802,1,0
1451815802,0,4
1451902802,2,0
1452511802,1,2
1452772803,2,1
1453120802,1,0
1453207808,1,1
1453294807,1,0
1453381802,0,1
1453468802,1,3
1453555804,3,2
1453903802,1,0
1454338805,0,2
1454425802,2,1
1454512802,0,2
1454599802,1,0
1454686802,2,2
1454773802,2,1
1454860804,1,2
1454947802,2,2
1455034803,2,3
1455121802,3,1
1455208802,1,0
1455643802,0,1
1455817802,1,2
1455904804,1,3
1455991802,1,1
1456078802,2,1
1456165802,2,4
1456252802,2,0
1456513803,3,2
1456600802,1,0
1456781406,0,2
1456868402,2,0
1457651403,0,2
1457999402,3,1
1458086408,0,1
1458260402,1,0
1458347402,0,2
1458434402,0,1
1458521406,3,2
1458608403,2,1
1458695402,1,0
1458869402,0,3
1458956402,3,0
1459130405,0,1
1459217402,1,2
1459391402,2,0
1459565402,1,0
1459652405,0,6
1459739402,6,0
1459913403,0,2
1460000402,2,2
1460087403,2,2
1460174408,2,2
1460348402,0,2
1460522403,3,1
1460609402,1,2
1460696410,1,1
1460783403,1,0
1460870402,1,0
1460957402,0,2
1461044402,2,0
1501347675,0,0
1505415792,0,0
1524023633,0,0
1524110049,0,0
1526273242,0,0
1527224592,0,0
1527311048,0,0
1527397502,0,0
1527829924,0,0
1527916412,0,0
1528002902,0,0
1528262402,0,0
1534143003,0,0
