DateTime,AddedIPs,RemovedIPs
1580471779,4809,4809
1580558257,4901,4901
1580644697,5060,5060
1580731181,4547,4547
1580817604,4474,4474
1580904140,3986,3986
1580990633,3968,3968
1581077066,3954,3954
1581163622,3680,3680
1581250092,3824,3824
1581336584,4751,4751
1581423030,5393,5393
1581509691,5477,5477
1581596107,5790,5790
1581682682,6244,6244
1581769281,6872,6872
1581855879,7417,7417
1581942333,7650,7650
1582028776,7778,7778
1582115402,8157,8157
1582202020,8138,8138
1582288465,8182,8182
1582375116,6725,6725
1582634915,8278,8278
1582721494,8164,8164
1582808042,8463,8463
1582894520,8412,8412
1582981040,8233,8233
1583067573,8348,8348
1583154006,8444,8444
1583327239,8449,8449
1583413697,7372,7372
1583500420,7370,7370
1583586902,7491,7491
1583673492,7477,7477
1583760041,7471,7471
1583846587,7462,7462
1583933056,7567,7567
1584019517,7444,7444
1584105968,7593,7593
1584192506,7821,7821
1584279005,7630,7630
1584365575,7637,7637
1584452118,7692,7692
1584538893,7665,7665
1584625503,7536,7536
1584712053,7412,7412
1584798571,7272,7272
1584885177,5951,5951
1585144929,7188,7188
1585231406,6943,6943
1585317898,6875,6875
1585404386,6915,6915
1585490851,6805,6805
1585577314,6740,6740
1585663751,6842,6842
1585750491,5443,5443
1585836903,1591,1591
1585923577,1666,1666
1586010026,1683,1683
1586183320,2798,2798
1586269806,1947,1947
1586356285,1893,1893
1586443056,1847,1847
1586529541,1945,1945
1586616090,1999,1999
1586702599,2270,2270
1586789102,2836,2836
1586875593,2602,2602
1586962099,2493,2493
1587048678,2396,2396
1587135192,2235,2235
1587221735,2537,2537
1587308355,2593,2593
1587394804,3338,3338
1587481264,2914,2914
1587567737,3500,3500
1587654355,2994,2994
1587740809,2364,2364
1588260602,6826,6826
1588347088,3934,3934
1588433679,3539,3539
1588520328,3476,3476
1588606782,3629,3629
1588693422,3788,3788
1588779902,4184,4184
1588866399,4394,4394
1588953204,4392,4392
1589039674,4234,4234
1589126131,4182,4182
1589212570,4518,4518
1589299148,5344,5344
1589385607,6045,6045
1589472079,6689,6689
1589558914,7177,7177
1589645692,7457,7457
1589732110,7578,7578
1589818646,7847,7847
1589905775,7897,7897
1589992386,6755,6755
1590079134,6187,6187
1590165902,5973,5973
1590252405,4661,4661
1590339036,5668,5668
1590425508,6250,6250
1590512014,6161,6161
1590598539,6062,6062
1590685145,5918,5918
1590771606,5814,5814
1590858066,5814,5814
1590944525,5583,5583
1591031006,5753,5753
1591117480,5669,5669
1591203943,5443,5443
1591290515,5523,5523
1591377281,6050,6050
1591463707,6450,6450
1591550326,6644,6644
1591636891,6671,6671
1591723345,6902,6902
1591809839,6804,6804
1591896602,6996,6996
1591983101,7197,7197
1592070302,7038,7038
1592156895,6963,6963
1592243625,6814,6814
1592330170,6557,6557
1592416736,6359,6359
1592503193,6337,6337
1592589605,6303,6303
1592676072,6240,6240
1592762567,6029,6029
1592849315,6927,6927
1592935744,7366,7366
1593022297,7041,7041
1593108745,7250,7250
1593195226,6505,6505
1593281699,7026,7026
1593368105,6888,6888
1593454927,6711,6711
1593541802,6979,6979
1593628280,7045,7045
1593714835,6140,6140
1593801260,6254,6254
1593887917,6514,6514
1593974462,6695,6695
1594061019,7091,7091
1594147502,7302,7302
1594233994,7249,7249
1594320497,7441,7441
1594407240,7315,7315
1594493737,7194,7194
1594580307,7188,7188
1594666799,6918,6918
1594753204,6924,6924
1594839664,6956,6956
1595012858,6442,6442
1595099328,6384,6384
1595186102,6423,6423
1595272637,6369,6369
1595359113,6317,6317
1595445604,6176,6176
1595532229,5981,5981
1595618671,6139,6139
1595705112,6363,6363
1595791676,6565,6565
1595878168,6624,6624
1595964699,6846,6846
1596051437,6983,6983
1596138003,7115,7115
1596224488,7299,7299
1596311101,7115,7115
1596397611,7158,7158
1596484260,6919,6919
1596570681,7063,7063
1596657519,6910,6910
1596743990,6075,6075
1596830405,6566,6566
1596916878,6593,6593
1597003382,6558,6558
1597090121,6598,6598
1597176634,6673,6673
1597263237,6606,6606
1597349705,6486,6486
1597436462,6541,6541
1597522983,6396,6396
1597609546,6315,6315
1597695969,5800,5800
1597782432,6083,6083
1597868926,6099,6099
1597955401,5886,5886
1598041835,5668,5668
1598128303,5727,5727
1598215017,4602,4602
1598301428,1492,1492
1598387934,1958,1958
1598474378,1865,1865
1598561066,1574,1574
1598647503,1609,1609
1598734008,1937,1937
1598820585,1930,1930
1598907034,2667,2667
1598993476,2106,2106
1599080159,2051,2051
1599166570,1919,1919
1599253108,2050,2050
1599339590,2095,2095
1599426007,2149,2149
1599512467,1879,1879
1599598989,1871,1871
1599685453,2347,2347
1599771911,2134,2134
1599858407,2101,2101
1599945012,2221,2221
1600031521,2239,2239
1600118023,2266,2266
1600204503,2385,2385
1600291220,2633,2633
1600377759,3209,3209
1600464298,2771,2771
1600550834,3044,3044
1600637286,3121,3121
1600723801,2881,2881
1600810279,3150,3150
1600896726,3132,3132
1600983274,3512,3512
1601069802,3625,3625
1601156262,3536,3536
1601242704,3573,3573
1601329152,4001,4001
1601415604,4012,4012
1601502250,3942,3942
1601588702,4112,4112
1601675206,6020,6020
1601761693,4085,4085
1601848144,4454,4454
1601934661,4782,4782
1602021206,4638,4638
1602107692,4663,4663
1602194188,9649,9649
1602280668,9732,9732
1602367101,4562,4562
1602453590,4473,4473
1602540008,4171,4171
1602626464,4080,4080
1602712931,3761,3761
1602799391,3763,3763
1602885846,4080,4080
1602972360,4599,4599
1603058833,4666,4666
1603145319,4375,4375
1603231830,4429,4429
1603318285,4250,4250
1603404779,4521,4521
1603491256,4756,4756
1603577702,4653,4653
1603664587,4246,4246
1603751318,4227,4227
1603838089,4506,4506
1603924697,4944,4944
1604011147,4918,4918
1604097606,4947,4947
