DateTime,Entries,UniqueIPs
1572521413,2503,594434112
1572608196,2470,594420544
1572694638,2412,594390848
1572781149,2357,594361152
1573040705,2444,594485056
1573127499,2401,594465088
1573214067,2364,594446656
1573300518,2234,594409024
1573387101,2163,594390592
1573647907,6994,612951872
1573734448,1792,594295360
1573821014,1671,594262592
1573908491,1536,594228032
1574168117,1330,594175552
1574254695,1247,594152768
1574341217,6111,612243008
1574427678,6016,612217920
1574514195,5687,612127040
1574600956,5690,612124992
1574774900,5564,612038720
1574862183,5563,612027712
1574948789,5563,612008768
1575035353,5564,611481152
1575121853,5565,611455808
1575381493,5568,611381312
1575468007,5568,611378240
1575554487,5573,611366464
1575640926,5572,611363392
1575727576,5574,611360064
1575986979,5577,611356480
1576073601,5576,611349824
1576160058,5582,611356736
1576246518,5584,611353664
1576332978,5589,611348544
1576419439,5598,611347520
1576592359,5598,611339072
1576678818,5599,611334592
1576765322,5605,611311296
1576851919,5628,611284416
1576938618,5622,611257536
1577025433,5626,611252416
1577198531,5625,611248832
1577285717,5620,611234016
1577372272,5619,611233504
1577458750,5618,611231456
1577545205,5618,611219168
1577631922,5619,611203296
1577804895,5619,611196384
1577891702,5623,611256032
1577978296,5743,611604368
1578065301,5751,611610768
1578152191,5750,611604624
1578239189,5757,611584656
1578412665,5749,611269776
1578499142,5751,611250832
1578585616,5751,611242640
1578672087,5741,611231376
1578758591,5740,611664016
1578845238,5753,611652496
1579018306,5754,611641232
1579104915,5751,611631248
1579191416,5745,611621520
1579278734,5742,611610768
1579365442,5825,611866256
1579451965,5831,611796368
1579625373,5834,611782032
1579711921,5823,611767952
1579798516,5838,612120464
1579885032,5829,612103312
1579971500,5829,612085648
1580058017,5840,612074640
1580231225,5832,612062096
1580318312,5834,612275600
1580404815,5831,612267408
1580491813,5828,612257936
1580579296,5831,612248208
1580839055,5831,612234384
1581012021,5828,612248464
1581098574,5840,612243344
1581185086,5840,612223632
1581271622,5841,612174992
1581531293,5836,612137616
1581617718,5836,612119952
1581704275,5833,612115856
1581791055,5841,612102544
1581877570,5836,612091536
1581964362,5835,612091024
1582137737,5835,612077968
1582224564,5831,612063888
1582311036,5835,611982992
1582397493,5843,611965072
1582484119,5841,611954832
1582570647,5838,611952272
1582743769,5836,611948944
1582830339,5837,611945872
1582916788,5834,611941776
1583003239,5829,611918480
1583089702,5664,611401616
1583176195,5666,611400848
1583349186,5671,611391888
1583435732,5672,611383184
1583522210,5671,611375248
1583608695,5680,611367057
1583695519,5677,611344272
1583782061,5680,611342992
1583955212,5689,611337616
1584041670,5688,611325072
1584128493,5702,611399824
1584214967,5698,611385744
1584301399,5709,611369360
1584388107,5715,611368848
1584561174,5721,611363216
1584647597,5712,611351264
1584734093,5715,611342816
1584820518,5711,611325664
1584907011,5712,611307744
1584993833,5708,611303904
1585167122,5705,611296224
1585253759,5701,611284192
1585340353,5695,611277280
1585513826,5698,611230688
1585600308,5682,611211744
1585773423,5702,611224800
1585860730,5687,611258592
1585947352,5676,611178208
1586034009,5670,611171296
1586120704,5668,611154656
1586207444,5664,611151072
1586380794,5660,611141600
1586553801,5673,611171552
1586640304,5679,611167712
1586813486,5689,611163616
1586899930,5685,611160288
1586986478,5680,611152352
1587072953,5682,611139296
1587159468,5691,611134432
1587245986,5691,611120864
1587332518,5692,611122912
1587505612,5696,611122400
1587592167,5703,611121632
1587678701,5707,611110368
1587765491,5705,611107552
1587852029,5703,611094240
1587938478,5704,611095264
1588111389,5706,606886104
1588197871,5702,606877400
1588284427,5694,606865880
1588370926,5695,606849752
1588457724,5698,606849240
1588544297,5702,606848984
1588717395,5693,606841304
1588803971,5694,606832344
1588890618,5691,606836952
1588977091,5691,606826456
1589063658,5695,606814424
1589323349,5691,606813656
