DateTime,AddedIPs,RemovedIPs
1512013393,2,2
1512099901,0,1
1512186368,5,3
1512272828,9,3
1512359403,4,12
1512445866,6,16
1512532502,1,16
1512618986,14,8
1512705598,9,5
1512792005,6,3
1512878469,10,10
1512964924,5,12
1513051392,7,13
1513137962,3,1
1513224603,0,6
1513311304,3,4
1513397884,12,2
1513484402,9,6
1513570993,3,14
1513657485,1,6
1513743903,0,8
1513830601,3,9
1513917262,2,0
1514003704,8,3
1514090402,7,13
1514176992,1,6
1514263501,3,7
1514350021,0,8
1514436499,0,11
1514523003,3,3
1514609703,0,2
1514696221,2,2
1514782796,14,4
1514869203,3,11
1514955666,2,10
1515042122,2,1
1515128593,0,1
1515215064,8,25
1515301502,0,6
1515388201,6,10
1515474672,0,5
1515561303,0,3
1515647896,1,2
1515734403,0,2
1515820994,4,2
1515907503,11,9
1515993995,1,7
1516080601,0,8
1516167302,6,2
1516254004,4,0
1516340521,4,0
1516426992,0,4
1516513501,3,4
1516599904,1,8
1516686482,1,11
1516773004,1,2
1516859703,1,5
1516946385,1,0
1517032805,1,0
1517119272,4,2
1517205757,2,1
1517292241,0,4
1517378702,0,13
1517465182,0,1
1517551691,0,6
1517638195,0,2
1517724603,1,1
1517811304,0,2
1517897832,2,1
1517984348,1,2
1518070803,4,0
1518157394,0,2
1518243902,1,3
1518330604,11,0
1518417131,3,1
1518503648,0,4
1518590102,1,3
1518676645,3,3
1518763202,1,9
1518849796,2,0
1518936301,2,4
1519022761,1,2
1519109232,0,1
1519195759,3,0
1519282203,8,2
1519368875,10,1
1519455303,7,4
1519541873,7,1
1519628398,0,1
1519714803,0,1
1519801281,6,3
1519887732,8,0
1519974191,6,7
1520060702,4,2
1520147404,3,1
1520234013,1,2
1520320503,1,0
1520407081,4,0
1520493603,10,2
1520580113,0,2
1520666604,3,1
1520753161,6,3
1520839861,0,3
1520926385,0,2
1521012901,0,2
1521099602,5,4
1521186174,5,4
1521272583,2,4
1521359101,1,3
1521445629,2,2
1521618902,1,1
1521705393,2,3
1521791931,4,3
1521878358,2,7
1521964805,6,4
1522051265,5,8
1522137725,1,2
1522224194,1,1
1522397102,2,9
1522483802,1,7
1522570562,0,7
1522657030,0,6
1522743494,0,1
1522829973,0,1
1522916402,0,1
1523003045,0,3
1523089503,8,5
1523176203,8,3
1523262781,0,4
1523349302,0,1
1523435829,2,1
1523608962,4,2
1523781901,3,5
1523868428,3,4
1523955004,1,3
1524041703,1,4
1524128307,2,3
1524301272,0,3
1524387734,6,8
1524474193,0,1
1524560702,0,12
1524647237,2,0
1524733699,3,1
1524906602,0,8
1525079546,24,0
1525252468,1,0
1525338903,2,0
1525425385,0,1
1525598312,1,1
1526117047,1,5
1526203504,13,10
1526290006,1,2
1526376422,0,3
1526462931,0,3
1526549392,2,0
1526635803,8,4
1526722264,12,3
1526808725,6,1
1526895220,8,1
1526981642,0,1
1527068102,0,1
1527154567,5,0
1527241031,12,2
1527327489,2,7
1527413954,5,0
1527500403,5,0
1527586874,1,0
1527673337,3,0
1527759795,3,5
1527846252,2,1
