DateTime,Entries,UniqueIPs
1527917067,6076,6223
1527917067,6076,6223
1527917067,6076,6223
1527917067,6076,6223
1528003505,6138,6287
1528089994,6133,6286
1528176431,6131,6286
1528262885,6091,6245
1528262885,6091,6245
1528262885,6091,6245
1528262885,6091,6245
1528262885,6091,6245
1528262885,6091,6245
1528349347,6123,6278
1528435803,6110,6262
1528522294,6101,6254
1528608782,6081,6231
1528695251,6088,6236
1528781703,6050,6199
1528868162,6016,6166
1528954626,5960,6111
1529041099,5994,6152
1529127543,5983,6143
1529214006,5946,6104
1529300522,5942,6100
1529473443,5954,6113
1529559905,5996,6158
1529646363,5917,6054
1529732827,6005,6164
1529819284,6024,6180
1529905745,6015,6174
1529992203,6031,6188
1530078667,5989,6147
1530165132,6041,6201
1530251585,5977,6131
1530338043,6010,6164
1530424506,6048,6203
1530510964,6163,6321
1530597431,6206,6359
1530683882,6253,6407
1530770345,6212,6365
1530856804,6230,6374
1530943263,6139,6285
1531029722,6132,6287
1531116198,6080,6239
1531202645,6074,6234
1531289108,6090,6249
1531375575,6071,6240
1531462025,6053,6221
1531634945,6056,6225
1531721406,6055,6230
1531807867,6051,6226
1531894322,6043,6233
1531980785,6071,6255
1532067253,6071,6256
1532153703,6086,6274
1532240202,6099,6286
1532326624,6067,6254
1532413085,6061,6251
1532499549,6060,6228
1532586040,6013,6179
1532672467,5993,6158
1532758927,6002,6167
1532845412,5977,6145
1532931858,6013,6181
1533018307,5987,6157
1533104781,5963,6130
1533191254,6049,6214
1533277742,6025,6178
1533364203,6041,6207
1533450686,6031,6199
1533537129,6011,6180
1533623583,6022,6191
1533710046,6031,6201
1533882968,6030,6198
1533969423,6012,6184
1534055896,6016,6186
1534142344,6042,6213
1534315322,5924,6098
1534401786,5929,6098
1534488251,5899,6070
1534574703,5927,6100
1534661163,5924,6096
1534834082,5971,6142
1534920543,5979,6149
1535007008,5920,6089
1535093467,5913,6081
1535179934,5954,6123
1535266388,5968,6141
1535439305,6025,6195
1535525766,6017,6177
1535612227,6001,6167
1535698682,6014,6176
1535785143,5982,6143
1535871602,6124,6287
1535958064,6138,6301
1536044531,6149,6312
1536130984,6099,6262
1536217450,6121,6285
1536303910,6107,6273
1536390366,6102,6265
1536476823,6102,6266
1536563289,6160,6329
1536649742,6134,6304
1536736202,6123,6295
1536822667,6117,6301
1536909123,6138,6322
1536995596,6132,6316
1537082045,6129,6312
1537168505,6172,6356
1537254965,6156,6342
1537341430,6086,6252
1537427885,6093,6231
1537514345,6139,6290
1537600805,6102,6253
1537687263,6097,6248
1537773730,6144,6291
1537860242,6141,6292
1537946702,6140,6289
1538033181,6129,6283
1538119625,6093,6251
1538206095,6051,6204
1538292551,6050,6216
1538379061,6085,6254
1538465526,6187,6360
1538551983,6165,6335
1538638445,6124,6293
1538724903,6112,6288
1538811364,6111,6287
1538897825,6160,6334
1538984297,6120,6293
1539070755,6154,6324
1539157205,5988,6159
1539243672,5990,6158
1539330123,6045,6214
1539416642,6020,6205
1539503162,6020,6201
1539589626,6043,6224
1539676088,5995,6177
1539762602,6016,6198
1539849068,6023,6202
1539935582,6004,6182
1540022059,6007,6185
1540108518,5950,6128
1540195021,6005,6184
1540281542,5956,6132
1540368004,5976,6150
1540454463,5973,6139
1540540925,5978,6146
1540627401,5928,6091
1540713845,5936,6099
1540800362,5948,6115
1540886881,5943,6108
1540973345,5920,6089
1541059812,5978,6148
1541146263,6014,6170
1541232727,6038,6193
1541319242,6035,6171
1541405762,6052,6192
1541492282,6073,6224
1542270428,5966,6133
1542356887,5979,6153
1542443347,5979,6156
1542529802,5956,6115
1542616265,5947,6095
1542702781,5922,6071
1542789245,5908,6057
1542875703,5877,6022
1542962172,5883,6029
1543048631,5906,6050
1543135085,5907,6051
1543221550,5941,6087
1543308005,5928,6093
1543394478,5928,6071
1543480927,5915,6061
1543567399,5913,6062
