DateTime,Entries,UniqueIPs
1434197235,726,6819584
1434283635,726,6819584
1434283635,726,6819584
1434456432,727,6820608
1434542832,729,6822656
1434629234,729,6822656
1434629234,729,6822656
1435147643,741,6829824
1435406833,742,6830080
1436616437,743,6831104
1437221233,744,6831360
1437739633,745,6832384
1437826038,748,6833408
1438171637,749,6833920
1438258044,750,6834944
1438430834,751,6835200
1438862836,752,6836224
1439035640,752,6834176
1439122061,752,6834176
1439122061,752,6834176
1439122061,752,6834176
1439208442,752,6834176
1439381237,754,6836224
1439640436,755,6836736
1439640436,755,6836736
1439899637,756,6837760
1440158843,757,6838784
1440158843,757,6838784
1440590838,758,6839040
1440590838,758,6839040
1441282034,760,6841088
1441800441,761,6842112
1441973236,760,6841600
1442405238,761,6842112
1443096438,762,6842624
1443787639,761,6841600
1443874040,765,6845696
1444219636,763,6843648
1444306034,764,6844672
1444478841,763,6844416
1444738037,764,6845440
1445342838,765,6845952
1445515642,767,6846720
1445602049,768,6847232
1445688443,769,6847488
1445947632,757,6840320
1448107632,759,6841600
1448366834,760,6842624
1449144435,761,6842880
1449922031,762,6843904
1450181232,764,6845952
1450267629,765,6846976
1450786029,766,6847488
1450958828,767,6848512
1451045230,768,6848768
1452341228,767,6832384
1452686834,769,6834432
1453118828,769,6834432
1453205231,769,6834432
1453291628,769,6834432
1453378031,769,6834432
1453464429,769,6834432
1453550832,770,6834688
1453637228,770,6834688
1453723630,770,6834688
1453810031,771,6835712
1454587633,773,6837760
1454674027,774,6838784
1454846830,776,6840832
1455278830,779,6843136
1455797229,778,6841088
1456229231,779,6842112
1456315628,781,6845184
1457179633,783,6845696
1457438832,787,6847232
1457611629,788,6847744
1458130029,790,6849792
1459339631,792,6851840
1459426055,791,6847744
1459512429,793,6848512
1459598829,794,6850048
1460203629,793,6848000
1460462834,794,6849024
1460722080,795,6849536
1461758834,796,6850560
1462018032,797,6850816
1462363631,798,6851072
1462536430,799,6859264
1462622834,799,6858752
1463659633,800,6859008
1464350836,801,6859264
1465301234,802,6860288
1465906032,803,6861312
1465992446,804,6861568
1466251631,805,6862592
1467202033,813,6861056
1467288434,813,6862080
1467374840,832,6861056
1467806835,841,6859264
1468066030,844,6860800
1468325233,850,6863616
1469102833,851,6863872
1469189253,853,6865408
1469534833,854,6866432
1469621235,853,6865920
1469794300,854,6866432
1469880435,856,6867712
1470312438,855,6867456
1470485235,868,6866688
1470744436,883,6865920
1471349237,884,6866944
1472040439,885,6867456
1472213237,886,6869504
1472818056,887,6870528
1473509244,889,6872576
1475669243,890,6873600
1475842040,889,6879744
1476187663,890,6880000
1476360441,892,6880768
1476446847,893,6881024
1476965245,895,6872832
1478088440,894,6863616
1478693237,895,6871808
1479211638,894,6871552
1479298036,895,6871808
1479989243,896,6872064
1480421242,897,6872320
1481026037,898,6872576
1481112440,900,6868480
1481803662,902,6864384
1481890061,903,6864640
1482235659,904,6865664
1482408460,905,6862080
1482494852,905,6859008
1484050050,906,6859264
1485346038,904,6857216
1486037287,904,6854144
1486123660,906,6856192
1486210072,908,6857472
1486469295,911,6860544
1487246847,911,6852608
1489061259,912,6854656
1489147654,913,6854912
1489752485,914,6855168
1490184491,915,6856192
1490789244,917,6857216
1490875659,921,6856704
1490962048,922,6857728
1491048444,923,6858752
1491912464,924,6859008
1492171642,925,6859264
1492603651,927,6860288
1493467646,928,6861312
1493813247,929,6862336
1493899654,928,6858240
1494072460,929,6858496
1495022854,930,6859520
1495282046,931,6860544
1495627646,932,6861568
1496232443,931,6861312
1496750844,932,6862336
1497960441,933,6863360
1499256446,934,6864384
1499342849,936,6864896
1499861244,936,6860800
1499947661,937,6859264
1500466048,936,6793728
1500984446,937,6794752
1501675644,936,6794496
1502885249,937,6827264
1504181252,935,6826240
1504613296,936,6826496
1504786054,939,6823680
1505218059,940,6824704
1505822850,941,6824960
1506514047,942,6825984
1506600450,944,6824960
1507205244,942,6822912
1507810051,944,6823680
1507982846,945,6824704
1511352451,953,6811648
1512043673,952,6807552
1512648465,953,6808064
1512821256,954,6808320
1513080457,955,6808832
1513253264,956,6810880
1513339666,957,6811904
1513771674,958,6812416
1513858063,958,6812928
1513944475,959,6813952
1514030864,960,6814464
1516968461,961,6815488
1517573257,962,6815744
1518782867,963,6816000
1519301269,964,6817024
1519387664,965,6817280
1519474068,966,6817536
1519733285,972,7067392
1521202067,973,7067904
1522930064,972,7067648
1523448471,973,7068672
1523966859,974,7069696
1525522054,975,7069952
1526472453,974,7068928
1526731654,973,7067904
1527163653,974,7068416
1527250053,975,7069440
1527336453,975,7069440
1527422848,975,7069440
1527941254,975,7069440
1528027653,975,7069440
1528286856,976,7069952
1528286856,976,7069952
1528286856,976,7069952
1528286856,976,7069952
1528286856,976,7069952
1528286856,976,7069952
1528373255,977,7070464
1528891655,976,7070208
1528978069,977,7070464
1530274053,978,7071488
1530878899,979,7055104
1530965258,979,7054336
1531224453,981,7055616
1531915656,980,7055360
1532002055,982,7053312
1532606864,983,7053824
1533125254,984,7054080
1533643659,985,7054336
1533816459,986,7055360
1536235665,988,7043584
1536322057,989,7044608
1536667670,990,7060992
1536754069,991,7062016
1537013257,990,7055872
1537445275,991,7121408
1537531661,993,7113216
1537963671,994,7114240
1538050069,993,7113216
1538222859,995,7114496
1538568462,996,7114752
1538741265,997,7115264
1538827662,998,7116288
1539778090,999,7114752
1539864559,1000,7115776
1540037274,1001,7116032
1541160472,1001,7099904
1541246857,1002,7100928
1543061268,1003,7101440
1543925258,1003,7100928
1544011654,1002,7099904
1544270853,1003,7100928
1544789257,1004,7101952
1546690062,1005,7102208
1547640465,1006,7102464
1548158861,1010,7103488
1548418065,1012,7104256
1548850080,1011,7104000
1549714065,1010,7103744
1550146070,1011,7102720
1551960472,1012,7103232
1553861280,1014,7104768
1554206865,1015,7105024
1554811674,1017,7105536
1554898056,1018,7105280
1555070872,1017,7101184
1556194095,1018,7101696
1556366874,1018,7101952
1556798888,1017,7101696
1556885285,1020,7100416
1557403679,1021,7100928
1557490098,1022,7101440
1557835698,1023,7102464
1557922103,1024,7102720
1558181273,1025,7103232
1559304490,1027,7104000
1559650072,1031,7108864
1560427693,1032,7109888
1560514108,1033,7110912
1561118877,1034,7111168
1561464503,1035,7111680
1561550880,1036,7111936
1561810077,1037,7112192
1562069298,1038,7112448
1562328497,1039,7112960
1562846899,1038,7112704
1563451692,1039,7113216
1563970102,1040,7113728
1564661302,1041,7113984
1565093308,1042,7118080
1565179694,1043,7118336
1566907687,1046,7121664
1567166889,1047,7121920
1567253269,1048,7122176
1567598890,1047,7121920
1568376499,1045,7121408
1569586106,1046,7125504
1569672476,1047,7125760
1570104497,1046,7125504
1570623085,1047,7133696
1571400555,1047,7133440
1572005320,1048,7133696
1573733264,1047,7133440
1575029283,1048,7133952
