DateTime,Entries,UniqueIPs
1434197235,6,11520
1434283635,6,11520
1434283635,6,11520
1434629234,6,11520
1434629234,6,11520
1439122061,6,11520
1439122061,6,11520
1439122061,6,11520
1439208442,6,11520
1439640436,6,11520
1440158843,6,11520
1440590838,6,11520
1453118828,6,11520
1453205231,6,11520
1453291628,6,11520
1453378031,6,11520
1453464429,6,11520
1453550832,6,11520
1453637228,6,11520
1453723630,6,11520
1526386053,7,12032
1527336453,7,12032
1527422848,7,12032
1528027653,7,12032
1528286856,7,12032
1528286856,7,12032
1528286856,7,12032
1528286856,7,12032
1528286856,7,12032
1562155690,8,12544
1566562196,9,13056
