DateTime,Entries,UniqueIPs
1434197235,19,64000
1434283635,19,64000
1434283635,19,64000
1434629234,19,64000
1434629234,19,64000
1435147643,20,65024
1439122061,20,65024
1439122061,20,65024
1439122061,20,65024
1439208442,20,65024
1439640436,20,65024
1440158843,20,65024
1440590838,20,65024
1444738037,21,66048
1452946030,22,67072
1453118828,22,67072
1453205231,22,67072
1453291628,22,67072
1453378031,22,67072
1453464429,22,67072
1453550832,22,67072
1453637228,22,67072
1453723630,22,67072
1469016434,21,66048
1472818056,22,67072
1478779641,23,68096
1487765239,24,69120
1489752485,25,70144
1497528460,26,71168
1512648465,25,70144
1527336453,25,70144
1527422848,25,70144
1527941254,25,70144
1528027653,25,70144
1528286856,25,70144
1528286856,25,70144
1528286856,25,70144
1528286856,25,70144
1528286856,25,70144
1562674093,26,71168
1570623085,28,72192
