DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,110,167680
1438136187,110,167680
1438136187,110,167680
1440631768,119,170240
1440631768,119,170240
1443512099,98,171264
1446103148,114,170496
1448836885,111,171008
1451465577,112,203776
1454025634,110,202752
1454452580,99,204288
1456617637,101,205824
1457913920,100,205312
1461880281,102,206848
1464584821,105,207872
1465357136,104,207616
1467243763,102,204288
1469759141,101,204032
1472424244,103,204544
1475106770,105,205056
1477611060,105,205056
1479089381,104,205056
1483056452,106,205568
1485219556,106,205824
1488152366,108,206336
1490917929,114,209408
1493318955,114,209664
1496154684,134,214272
1498709715,131,213760
1501291994,131,213760
1503993911,125,212224
1504170069,123,211712
1506621513,128,212992
1509242222,238,239872
1510612529,238,240128
1511913666,114,209920
1514507841,119,212736
1517223854,118,213248
1519685203,117,212224
1521068847,123,215552
1522340070,123,215552
1525042003,120,213504
1527721309,126,215552
1527721309,126,215552
1527721309,126,215552
1527721309,126,215552
1527721309,126,215552
1527721309,126,215552
1530232714,128,216832
1532913201,127,218368
1535506363,130,220416
1540940373,134,222208
1543448525,130,221696
1545955913,133,224256
1548772257,135,225792
1550036991,141,228608
1551310831,140,228352
1552517753,142,228864
1556577911,140,227584
1559170675,139,227328
1561674960,140,224000
1564477833,141,224512
1567080595,139,222208
1569797722,139,222976
1572392072,142,225024
1574934812,141,218880
1577748902,145,219904
1580422703,151,221952
1582800599,155,223488
1585610296,151,221696
1588067623,150,219648
1590623862,147,220160
1593407686,146,219904
1594682835,145,219136
1596061956,147,227584
1598571048,151,235520
1601420904,151,235264
1604015514,155,236544
1606693232,152,236288
1609370978,154,236800
1611877030,155,236800
1614293348,156,236544
1615765029,156,235008
1617143476,155,234496
1619736557,154,236032
1622414641,155,235776
1624921861,158,236544
1630278829,163,239616
1632958565,164,240384
1635464703,160,237824
