DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,19,11008
1438136187,19,11008
1438136187,19,11008
1440631768,26,14080
1440631768,26,14080
1443512099,15,9728
1446103148,24,13568
1467243763,22,12544
1469759141,23,12800
1475106770,25,13312
1481597487,24,13056
1496154684,39,17152
1498709715,25,13312
1503993911,24,13056
1504170069,25,13312
1506621513,26,13568
1509242222,35,15872
1510612529,36,16128
1511913666,23,12800
1527721309,23,12800
1527721309,23,12800
1527721309,23,12800
1527721309,23,12800
1527721309,23,12800
1527721309,23,12800
1540940373,22,12544
1543448525,21,12288
1545955913,20,12032
1564477833,21,12288
1567080595,22,12544
1569797722,21,12288
1574934812,20,12032
1577748902,17,11264
1582800599,18,11520
1585610296,19,11776
1588067623,18,11520
1590623862,18,11520
1593407686,17,11264
1598571048,18,11520
1604015514,17,11264
1606693232,18,11520
