DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,1801,10836480
1438136187,1801,10836480
1438136187,1801,10836480
1440631768,2036,10733824
1440631768,2036,10733824
1443512099,1853,10727424
1446103148,1825,10984448
1448836885,1833,10916608
1451465577,1820,10824960
1454025634,1619,10987520
1454452580,1625,10989312
1456617637,1622,10994432
1457913920,1630,11036416
1459215119,1637,11038976
1461880281,1637,11023104
1464584821,1629,11021312
1465357136,1627,11020288
1467243763,1649,11020032
1469759141,1664,10964480
1472424244,1700,11026176
1475106770,1685,10989568
1477611060,1681,10992896
1479089381,1673,11003392
1480463219,1670,11003648
1481597487,1677,11005696
1483056452,1673,11010816
1485219556,1675,10993408
1488152366,1693,11006720
1490917929,1735,11021568
1493318955,1745,11034880
1496154684,1845,11065600
1498709715,1761,11065088
1501291994,1769,11066880
1503993911,1798,11083776
1504170069,1789,11078656
1506621513,1805,11094016
1509242222,1880,11104768
1510612529,1833,11090944
1511913666,1751,11080448
1514507841,1751,11098368
1517223854,1755,11091968
1519685203,1763,11108608
1521068847,1797,11132160
1522340070,1805,11136768
1525042003,1855,11154944
1527721309,1868,11165696
1527721309,1868,11165696
1527721309,1868,11165696
1527721309,1868,11165696
1527721309,1868,11165696
1527721309,1868,11165696
1530232714,1872,11165440
1532913201,1880,11172096
1535506363,1884,11176704
1537947468,1892,11176960
1540940373,1933,11170560
1543448525,1857,11147520
1545955913,1881,11152640
1548772257,1884,11148544
1550036991,1881,11157760
1551310831,1882,11163392
1552517753,1904,11171072
1553816934,1893,11175168
1556577911,1910,11213056
1559170675,1945,11235328
1561674960,1924,11232512
1564477833,1966,11263488
1567080595,1993,11280640
1569797722,1985,11161344
1572392072,2068,11219456
1574934812,2092,11249664
1577748902,2112,11260928
1580422703,2105,11255296
1582800599,2128,11269376
1585610296,2138,11278592
1588067623,2133,11144704
1590623862,2159,11140608
1593407686,2144,11145472
1594682835,2117,11119872
1596061956,2118,11124736
1598571048,2111,11137024
1601420904,2123,11140352
1604015514,2141,11145984
1606693232,2148,11147264
1609370978,2178,11159296
1611877030,2197,11164160
1614293348,2187,11157760
1615765029,2267,11214080
1617143476,2242,11201024
1619736557,2231,11191552
1622414641,2253,11201792
1624921861,2228,11154176
1627601515,2274,11168256
1630278829,2264,11163136
1632958565,2316,11187712
1635464703,2324,11190016
