DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,5944,686746368
1438136187,5944,686746368
1438136187,5944,686746368
1440631768,5843,682936320
1440631768,5843,682936320
1443512099,5797,681980672
1446103148,5780,679729152
1448836885,5614,675833344
1451465577,5606,674199296
1454025634,5588,669164800
1454452580,5588,669164800
1456617637,5654,666098688
1457913920,5690,665739264
1459215119,5709,665137664
1461880281,5762,663774208
1464584821,5790,661734144
1465357136,5791,661701888
1467243763,5802,660342016
1469759141,5869,659674880
1472424244,5890,659013120
1475106770,5927,658010624
1477611060,5972,654542336
1479089381,6097,654484224
1480463219,6169,654212096
1481597487,6203,653355520
1483056452,6145,652726784
1485219556,6222,650909440
1488152366,6248,650180352
1490917929,6381,648157440
1493318955,6477,648137728
1496154684,6572,644401664
1498709715,6651,642897152
1501291994,6761,642314752
1503993911,6960,641750016
1504170069,6965,641744896
1506621513,6989,640818432
1509242222,7175,640342272
1510612529,7289,639706880
1511913666,7315,639330816
1514507841,7422,638493440
1517223854,7672,638364928
1519685203,7672,637792512
1521068847,7697,636557568
1522340070,7755,636237312
1525042003,7816,635136768
1527721309,7527,634498560
1527721309,7527,634498560
1527721309,7527,634498560
1527721309,7527,634498560
1527721309,7527,634498560
1527721309,7527,634498560
1530232714,7477,634109440
1532913201,7449,632088576
1535506363,7411,631227136
1537947468,7230,619624704
1540940373,7243,618740736
1543448525,7273,617868544
1545955913,7393,617149952
1548772257,7395,616901632
1550036991,7476,616452608
1551310831,7525,616308736
1552517753,7555,615970816
1553816934,7655,615692800
1556577911,7756,615050752
1559170675,7818,614669312
1561674960,7921,613733120
1564477833,7984,612807680
1567080595,8211,612417792
1569797722,8246,611426560
1572392072,7941,611000320
1574934812,6197,610260480
1577748902,5824,609772544
1580422703,5861,609525504
1582800599,5826,609511936
1585610296,5860,609338880
1588067623,5828,609227008
1590623862,5843,609195520
1593407686,5897,609071360
1594682835,5909,608669696
1596061956,5870,608550144
1598571048,5812,608121344
1601420904,5838,607914752
1604015514,5873,607635712
1606693232,5977,607708416
1609370978,6049,607786496
1611877030,6073,607457792
1614293348,6099,607287552
1615765029,6161,607299584
1617143476,6151,607189248
1619736557,6194,606797824
1622414641,6271,606838016
1624921861,6300,606859008
1627601515,6326,606561280
1630278829,6405,606597632
1632958565,6452,606416896
1635464703,6488,606128128
