DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,4,10240
1438136187,4,10240
1438136187,4,10240
1440631768,4,10240
1446103148,5,10496
1457913920,6,10752
1459215119,4,10240
1465357136,5,10496
1467243763,4,10240
1469759141,5,10496
1472424244,4,10240
1481597487,5,10496
1483056452,4,10240
1488152366,5,10496
1490917929,4,10240
1493318955,5,10496
1498709715,4,10240
1504170069,5,10496
1509242222,6,10752
1511913666,4,10240
1517223854,5,10496
1519685203,4,10240
1521068847,6,10752
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1530232714,5,10496
1532913201,4,10240
1535506363,5,10496
1537947468,4,10240
1543448525,5,10496
1545955913,4,10240
1548772257,5,10496
1550036991,4,10240
1551310831,5,10496
1553816934,4,10240
1556577911,5,10496
1561674960,4,10240
1577748902,5,10496
1582800599,4,10240
1596061956,4,6656
1598571048,5,6912
1601420904,4,6656
1604015514,4,5888
1606693232,4,5888
1609370978,5,6144
1611877030,6,6400
1615765029,5,6144
1622414641,6,6656
1624921861,7,6912
1627601515,6,6656
1635464703,7,6912
