DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,15,64256
1438136187,15,64256
1438136187,15,64256
1440631768,15,64256
1443512099,13,63744
1454025634,15,64256
1457913920,14,64000
1459215119,13,63744
1461880281,15,64256
1464584821,14,64768
1465357136,16,65280
1467243763,14,64768
1469759141,17,66304
1472424244,15,65792
1480463219,16,65280
1485219556,13,62720
1488152366,14,62976
1490917929,13,62720
1493318955,14,62976
1496154684,16,63488
1503993911,13,62720
1504170069,15,63232
1511913666,13,62720
1514507841,15,63232
1517223854,14,70912
1521068847,16,71424
1527721309,15,71168
1527721309,15,71168
1527721309,15,71168
1527721309,15,71168
1527721309,15,71168
1527721309,15,71168
1530232714,16,71424
1532913201,14,70912
1537947468,16,71424
1540940373,14,70912
1543448525,15,71168
1545955913,16,71424
1548772257,17,71680
1550036991,15,71168
1551310831,17,71680
1552517753,18,71936
1553816934,17,71680
1556577911,16,71424
1559170675,17,71680
1564477833,15,71168
1569797722,17,71680
1574934812,15,71168
1588067623,17,71680
1590623862,15,71168
1593407686,17,71680
1594682835,16,71424
1596061956,17,71936
1598571048,18,72192
1601420904,19,72448
1606693232,17,71936
1609370978,19,72448
1611877030,20,72704
1614293348,18,72192
1615765029,20,72704
1617143476,18,72192
1622414641,19,72448
1624921861,21,72960
1627601515,20,72704
1630278829,19,72448
1632958565,18,72192
1635464703,23,73472
