DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,871,11324928
1438136187,871,11324928
1438136187,871,11324928
1440631768,939,11622912
1440631768,939,11622912
1443512099,887,11724288
1446103148,948,11829248
1448836885,956,11918592
1451465577,1183,11962880
1454025634,1067,12139008
1454452580,1050,12148736
1456617637,1021,12190464
1457913920,1040,12209664
1459215119,1037,12246016
1461880281,1044,12238080
1464584821,1049,12253952
1465357136,1049,12254208
1467243763,1058,12354304
1469759141,1056,12371968
1472424244,1069,12383232
1475106770,1084,12405760
1477611060,1093,12416000
1479089381,1099,12421376
1480463219,1102,12426240
1481597487,1108,12447232
1483056452,1111,12450816
1485219556,1119,12458240
1488152366,1127,12486144
1490917929,1136,12536832
1493318955,1149,12561152
1496154684,1199,12560640
1498709715,1201,12603904
1501291994,1218,12617472
1503993911,1236,12673280
1504170069,1244,12673280
1506621513,1250,12671744
1509242222,1465,12746496
1510612529,1468,12755456
1511913666,1280,12752128
1514507841,1266,12765696
1517223854,1274,12770304
1519685203,1277,12764416
1521068847,1277,12757504
1522340070,1275,12748800
1525042003,1283,12755200
1527721309,1293,12752128
1527721309,1293,12752128
1527721309,1293,12752128
1527721309,1293,12752128
1527721309,1293,12752128
1527721309,1293,12752128
1530232714,1291,12738304
1532913201,1292,12718336
1535506363,1300,12663808
1537947468,1305,12662528
1540940373,1307,12634368
1543448525,1310,12627200
1545955913,1319,12413952
1548772257,1318,12542208
1550036991,1326,12556800
1551310831,1329,12526848
1552517753,1330,12589312
1553816934,1333,12583680
1556577911,1332,12578816
1559170675,1329,12568576
1561674960,1341,12617472
1564477833,1354,12625152
1567080595,1362,12628224
1569797722,1336,12584448
1572392072,1349,12580352
1574934812,1387,12580352
1577748902,1403,12585472
1580422703,1406,12586240
1582800599,1452,12611584
1585610296,1445,12611072
1588067623,1458,12591616
1590623862,1460,12587008
1593407686,1474,12506368
1594682835,1505,12498432
1596061956,1511,12498688
1598571048,1539,12503296
1601420904,1611,12506112
1604015514,1672,12440832
1606693232,1506,12476672
1609370978,1515,12449280
1611877030,1516,12450048
1614293348,1505,12436736
1615765029,1510,12441088
1617143476,1508,12418048
1619736557,1509,12412672
1622414641,1501,12412416
1624921861,1521,12405248
1627601515,1530,12403200
1630278829,1450,12420352
1632958565,1461,12414976
1635464703,1461,12376064
