DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,5,9216
1438136187,5,9216
1438136187,5,9216
1440631768,5,9216
1443512099,4,8960
1446103148,5,9216
1457913920,7,9728
1459215119,5,9216
1475106770,6,10240
1481597487,7,10496
1493318955,6,10240
1503993911,5,9984
1509242222,7,10496
1511913666,5,9984
1519685203,6,10240
1521068847,7,10496
1522340070,6,10240
1525042003,7,10496
1527721309,7,10496
1527721309,7,10496
1527721309,7,10496
1527721309,7,10496
1527721309,7,10496
1527721309,7,10496
1530232714,5,9984
1545955913,4,9728
1553816934,5,9984
1588067623,6,11008
1596061956,7,11520
