DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,33,69120
1438136187,33,69120
1438136187,33,69120
1440631768,33,69120
1440631768,33,69120
1443512099,28,69376
1448836885,29,70400
1451465577,31,70912
1454025634,32,72704
1456617637,31,72448
1457913920,32,72704
1459215119,31,72448
1461880281,32,73472
1464584821,33,74496
1469759141,34,75520
1481597487,35,75776
1483056452,35,76544
1485219556,37,76544
1488152366,36,76288
1493318955,37,76544
1496154684,36,76288
1498709715,37,77312
1509242222,46,77568
1510612529,45,77312
1511913666,37,77312
1514507841,38,77824
1517223854,39,78080
1519685203,40,79104
1521068847,41,79360
1525042003,42,79616
1527721309,43,80128
1527721309,43,80128
1527721309,43,80128
1527721309,43,80128
1527721309,43,80128
1527721309,43,80128
1530232714,43,80128
1532913201,43,80896
1535506363,42,79872
1543448525,44,80640
1548772257,45,80896
1551310831,46,81152
1553816934,47,81408
1556577911,48,82432
1559170675,48,82432
1561674960,48,82688
1564477833,50,83456
1569797722,51,83712
1572392072,52,83968
1574934812,53,84224
1577748902,54,85248
1580422703,52,84480
1582800599,55,90624
1585610296,52,89856
1588067623,53,90112
1590623862,53,90368
1593407686,55,90368
1594682835,55,90368
1596061956,55,91136
1598571048,56,91392
1601420904,53,90880
1606693232,54,91136
1609370978,53,90880
1615765029,54,91136
1617143476,56,91648
1627601515,55,91392
1630278829,59,92672
1632958565,57,91392
1635464703,63,93184
