DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,78,103424
1438136187,78,103424
1438136187,78,103424
1440631768,79,104448
1440631768,79,104448
1443512099,79,105984
1446103148,80,106240
1448836885,81,105728
1451465577,77,104192
1454025634,82,105472
1454452580,77,104192
1456617637,80,105728
1457913920,79,105472
1459215119,80,105728
1461880281,80,104960
1464584821,79,105472
1465357136,81,105216
1467243763,78,105216
1469759141,79,105472
1477611060,82,108544
1479089381,78,104960
1480463219,83,106240
1481597487,81,106496
1483056452,82,106752
1485219556,76,105216
1488152366,81,106496
1490917929,82,106752
1493318955,78,104960
1496154684,84,104960
1498709715,82,104704
1501291994,82,105984
1503993911,77,103936
1506621513,78,104960
1509242222,81,104960
1510612529,79,105216
1511913666,77,103936
1514507841,81,105728
1519685203,79,105216
1521068847,81,106496
1522340070,84,107264
1525042003,84,108800
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1530232714,84,108544
1532913201,81,107776
1535506363,82,108032
1537947468,80,106752
1540940373,82,108032
1543448525,83,108288
1545955913,82,108032
1550036991,84,109312
1551310831,86,109056
1553816934,80,108032
1556577911,79,107776
1559170675,85,109568
1561674960,86,111360
1564477833,90,114176
1567080595,88,113664
1569797722,94,115968
1572392072,88,115200
1574934812,97,118016
1577748902,93,116992
1580422703,95,116736
1582800599,95,116736
1585610296,99,118784
1588067623,103,120576
1590623862,99,119552
1593407686,101,120832
1594682835,102,118528
1596061956,105,118272
1598571048,102,116992
1604015514,103,115968
1606693232,108,118016
1609370978,107,120320
1611877030,111,121344
1614293348,106,118528
1615765029,107,118784
1617143476,105,118784
1619736557,106,119040
1622414641,106,117504
1627601515,107,117760
1630278829,111,118784
1632958565,108,119296
1635464703,117,121088
