DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,16,51200
1438136187,16,51200
1438136187,16,51200
1440631768,16,51200
1443512099,18,49920
1451465577,20,50432
1454025634,19,50176
1456617637,18,49920
1457913920,20,50432
1459215119,19,49920
1461880281,19,50176
1469759141,19,49920
1472424244,20,50944
1475106770,21,51200
1479089381,20,51200
1480463219,20,50944
1481597487,23,51968
1483056452,17,51712
1485219556,16,51456
1493318955,16,51200
1496154684,24,49920
1498709715,17,51456
1501291994,17,51712
1503993911,14,50688
1509242222,19,50688
1511913666,13,50432
1519685203,14,50688
1521068847,24,59392
1522340070,25,60416
1525042003,25,60160
1527721309,25,60160
1527721309,25,60160
1527721309,25,60160
1527721309,25,60160
1527721309,25,60160
1527721309,25,60160
1530232714,26,60416
1532913201,23,59648
1535506363,23,58880
1543448525,25,59904
1548772257,24,59648
1550036991,25,59904
1551310831,24,59648
1552517753,25,59904
1556577911,26,59648
1559170675,26,59648
1561674960,28,58368
1564477833,29,58880
1569797722,30,59904
1574934812,29,59648
1577748902,30,59904
1580422703,31,60160
1582800599,28,59136
1585610296,31,60160
1588067623,31,60416
1593407686,32,60416
1596061956,33,61184
1598571048,35,61696
1601420904,32,60928
1604015514,32,60928
1606693232,34,62464
1609370978,33,61952
1611877030,33,61696
1615765029,38,63232
1617143476,36,62720
1624921861,43,64000
1627601515,39,62976
1630278829,36,61184
1632958565,41,62464
1635464703,37,61440
