DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,28,48640
1438136187,28,48640
1438136187,28,48640
1440631768,27,48384
1440631768,27,48384
1443512099,25,47872
1446103148,31,52480
1448836885,33,54528
1451465577,39,60672
1456617637,40,60928
1457913920,42,62976
1461880281,47,65536
1464584821,52,71168
1467243763,55,73472
1469759141,60,78080
1472424244,65,82432
1475106770,68,84480
1477611060,71,118016
1479089381,69,117504
1480463219,70,117760
1481597487,71,118784
1483056452,74,119808
1485219556,75,121088
1488152366,77,123136
1490917929,79,132352
1493318955,82,136448
1496154684,91,134656
1498709715,87,137216
1501291994,91,138496
1503993911,96,138496
1506621513,96,139264
1509242222,98,139776
1511913666,95,139520
1514507841,94,141568
1519685203,95,142592
1521068847,92,144640
1525042003,93,145664
1527721309,99,152320
1527721309,99,152320
1527721309,99,152320
1527721309,99,152320
1527721309,99,152320
1527721309,99,152320
1530232714,106,156160
1532913201,107,156416
1535506363,110,163072
1537947468,113,166400
1540940373,114,166656
1543448525,115,167168
1548772257,116,168192
1550036991,117,168704
1551310831,119,169984
1552517753,122,172288
1553816934,121,171264
1556577911,124,173568
1559170675,126,174336
1561674960,135,179712
1564477833,138,182272
1567080595,137,180480
1569797722,137,179200
1572392072,142,182016
1574934812,148,188928
1577748902,153,195328
1582800599,155,197632
1585610296,158,198912
1588067623,161,207872
1590623862,165,209408
1594682835,167,211712
1596061956,168,212736
1598571048,169,211968
1601420904,172,214016
1604015514,176,219392
1606693232,176,218368
1609370978,179,219392
1611877030,180,219648
1614293348,183,220416
1615765029,182,219904
1617143476,185,220672
1619736557,181,217600
1624921861,181,217600
1627601515,182,218880
1630278829,183,218624
1632958565,182,218624
1635464703,190,219904
