DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,158,1388544
1438136187,158,1388544
1438136187,158,1388544
1440631768,166,1387520
1440631768,166,1387520
1443512099,170,1390336
1446103148,157,1388032
1448836885,158,1388800
1451465577,162,1387008
1454025634,161,1386496
1454452580,159,1385984
1456617637,156,1387008
1457913920,157,1386496
1459215119,151,1385472
1461880281,159,1368064
1464584821,157,1363712
1465357136,158,1363968
1467243763,158,1361152
1472424244,156,1356800
1475106770,159,1357824
1477611060,157,1357312
1479089381,159,1347072
1480463219,160,1346816
1481597487,167,1382400
1483056452,168,1382656
1485219556,170,1383168
1488152366,169,1382656
1490917929,190,1382400
1493318955,196,1377792
1496154684,167,1318400
1498709715,171,1320448
1503993911,172,1319936
1504170069,171,1319680
1506621513,199,1346560
1509242222,208,1344256
1510612529,210,1608192
1511913666,197,1541120
1514507841,197,1541120
1517223854,196,1540864
1519685203,200,1549824
1521068847,200,1546752
1522340070,200,1550592
1525042003,207,1549568
1527721309,208,1549824
1527721309,208,1549824
1527721309,208,1549824
1527721309,208,1549824
1527721309,208,1549824
1527721309,208,1549824
1530232714,205,1552896
1532913201,207,2077440
1535506363,209,2078720
1537947468,457,11575808
1540940373,456,10992896
1543448525,449,10802176
1545955913,475,10749696
1548772257,473,10742272
1550036991,480,10164224
1551310831,507,10274816
1552517753,526,10277120
1553816934,535,10262528
1556577911,536,9650176
1559170675,528,9551104
1561674960,529,8814848
1564477833,528,8783360
1567080595,547,8697600
1569797722,548,8438272
1572392072,568,7950080
1574934812,569,6994432
1577748902,551,6410752
1580422703,548,6402560
1582800599,595,6299904
1585610296,474,5823232
1588067623,484,5860096
1590623862,491,5890304
1593407686,488,5877760
1594682835,540,6854144
1596061956,551,6855936
1598571048,566,6859264
1601420904,586,6882816
1604015514,666,6974720
1606693232,650,6962944
1609370978,625,6923776
1611877030,639,6941696
1614293348,665,7556352
1615765029,818,7722240
1617143476,762,6711552
1619736557,779,6715648
1622414641,813,6784768
1624921861,826,6804224
1627601515,828,6788352
1630278829,784,6777088
1632958565,783,6810368
1635464703,768,6864384
