DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,515,5492736
1438136187,515,5492736
1438136187,515,5492736
1440631768,535,5494528
1440631768,535,5494528
1443512099,491,5501440
1446103148,492,5490176
1448836885,494,5489664
1451465577,510,5497600
1454025634,515,5501184
1454452580,505,5499392
1456617637,512,5508608
1457913920,523,5512960
1459215119,517,5512448
1461880281,526,5514240
1464584821,523,5514752
1465357136,530,5516544
1467243763,542,5527296
1469759141,549,5527296
1472424244,559,5526528
1475106770,564,5531648
1477611060,562,5530880
1479089381,549,5459712
1480463219,553,5462016
1481597487,564,5532160
1483056452,565,5536512
1485219556,573,5544192
1488152366,572,5545216
1490917929,578,5549312
1493318955,585,5565184
1496154684,622,5578496
1498709715,616,5577472
1501291994,613,5576192
1503993911,617,5572608
1504170069,615,5572352
1506621513,624,5578752
1509242222,794,5592576
1510612529,767,5591808
1511913666,636,5580544
1514507841,633,5592320
1517223854,628,5596928
1519685203,635,5602304
1521068847,644,5606144
1522340070,654,5672192
1525042003,661,5671680
1527721309,661,5644800
1527721309,661,5644800
1527721309,661,5644800
1527721309,661,5644800
1527721309,661,5644800
1527721309,661,5644800
1530232714,659,5644544
1532913201,669,5670400
1535506363,688,5679360
1537947468,687,5678848
1540940373,710,5695488
1543448525,709,5694208
1545955913,687,5690880
1548772257,694,5687808
1550036991,701,5689088
1551310831,741,5740800
1552517753,742,5741824
1553816934,735,5740288
1556577911,757,5756672
1559170675,752,5756928
1561674960,759,5760768
1564477833,760,5758976
1567080595,772,5774592
1569797722,782,5816832
1572392072,788,5829888
1574934812,792,5833472
1577748902,807,5842688
1580422703,803,5840384
1582800599,811,5845248
1585610296,831,5870080
1588067623,842,5875456
1590623862,847,5876224
1593407686,853,5880064
1594682835,843,5869312
1596061956,841,5868032
1598571048,842,5897472
1601420904,862,5947392
1604015514,857,5968384
1606693232,855,5989120
1609370978,856,5989120
1611877030,871,6034688
1614293348,878,6053376
1615765029,886,6054400
1617143476,874,6050560
1619736557,885,6054656
1622414641,890,6056448
1624921861,908,6057472
1627601515,905,6059264
1630278829,913,6088960
1632958565,933,6095360
1635464703,927,6115072
