DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,2365,9001472
1438136187,2365,9001472
1438136187,2365,9001472
1440631768,2414,8938496
1440631768,2414,8938496
1443512099,2395,8945920
1446103148,2365,8796672
1448836885,2390,8827136
1451465577,2499,8813056
1454025634,2442,8809216
1454452580,2446,8805120
1456617637,2420,8732928
1457913920,2454,8716288
1459215119,2413,8695552
1461880281,2425,8787456
1464584821,2446,8784640
1465357136,2441,8788736
1467243763,2455,8792576
1469759141,2413,8814336
1472424244,2455,8774912
1475106770,2475,8775936
1477611060,2478,8765440
1479089381,2479,8752640
1480463219,2494,8817920
1481597487,2503,8794880
1483056452,2499,8789248
1485219556,2555,8725504
1488152366,2558,8685824
1490917929,2556,8724480
1493318955,2557,8701440
1496154684,2691,8600320
1498709715,2647,8495360
1501291994,2614,8452352
1503993911,2622,8374528
1504170069,2622,8387072
1506621513,2632,8383232
1509242222,2770,8353280
1510612529,2778,8345088
1511913666,2592,8304128
1514507841,2586,8231680
1517223854,2592,8245504
1519685203,2622,8232704
1521068847,2613,8294656
1522340070,2633,8294912
1525042003,2653,8349952
1527721309,2663,8404736
1527721309,2663,8404736
1527721309,2663,8404736
1527721309,2663,8404736
1527721309,2663,8404736
1527721309,2663,8404736
1530232714,2669,8403712
1532913201,2638,8391936
1535506363,2685,8363520
1537947468,2669,8360960
1540940373,2684,8331008
1543448525,2702,8352768
1545955913,2673,8374016
1548772257,2678,8357120
1550036991,2698,8353024
1551310831,2713,8764160
1552517753,2732,8756480
1553816934,2712,8739840
1556577911,2710,8347392
1559170675,2741,8359424
1561674960,2743,8348416
1564477833,2735,8344320
1567080595,2726,8353792
1569797722,2741,8439552
1572392072,2764,8375296
1574934812,2816,8389120
1577748902,2831,8385792
1580422703,2808,8376064
1582800599,2814,8360704
1585610296,2831,8355328
1588067623,2837,8346624
1590623862,2811,8326144
1593407686,2806,8311808
1594682835,2846,8366848
1596061956,2885,8351232
1598571048,2862,8332800
1601420904,2851,8294912
1604015514,2819,8281600
1606693232,2801,8191744
1609370978,2761,8144896
1611877030,2728,8099328
1614293348,2711,8046080
1615765029,2725,8031232
1617143476,2679,8075264
1619736557,2724,8027392
1622414641,2653,7940352
1624921861,2648,7875328
1627601515,2616,7821568
1630278829,2624,7798272
1632958565,2604,7782144
1635464703,2645,7763968
