DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,335,2318848
1438136187,335,2318848
1438136187,335,2318848
1440631768,352,2320896
1440631768,352,2320896
1443512099,320,2312448
1446103148,309,2276864
1448836885,315,2275584
1451465577,572,2267392
1454025634,370,2347520
1454452580,369,2348032
1456617637,352,2347776
1457913920,356,2349824
1459215119,358,2352384
1461880281,362,2354176
1464584821,366,2354944
1465357136,365,2354176
1467243763,367,2354688
1469759141,367,2355968
1472424244,372,2354176
1475106770,375,2352384
1477611060,388,2354176
1479089381,387,2351872
1480463219,384,2334208
1481597487,389,2343168
1483056452,398,2348032
1485219556,393,2347008
1488152366,393,2348032
1490917929,396,2349056
1493318955,382,2376448
1496154684,472,2371072
1498709715,394,2372608
1501291994,388,2375168
1503993911,377,2373632
1504170069,377,2373632
1506621513,387,2375680
1509242222,480,2383616
1510612529,471,2383360
1511913666,385,2376448
1514507841,382,2376448
1517223854,373,2374400
1519685203,394,2377216
1521068847,395,2377984
1522340070,385,2378496
1525042003,393,2382336
1527721309,405,2384128
1527721309,405,2384128
1527721309,405,2384128
1527721309,405,2384128
1527721309,405,2384128
1527721309,405,2384128
1530232714,407,2427904
1532913201,406,2386944
1535506363,413,2386688
1537947468,406,2386944
1540940373,404,2386176
1543448525,406,2388736
1545955913,410,2390784
1548772257,405,2386176
1550036991,406,2386432
1551310831,409,2387968
1552517753,409,2386432
1553816934,409,2387712
1556577911,411,2386944
1559170675,412,2387968
1561674960,414,2389504
1564477833,418,2386688
1567080595,411,2382848
1569797722,423,2386688
1572392072,444,2398208
1574934812,447,2397696
1577748902,436,2394880
1580422703,440,2393088
1582800599,436,2395648
1585610296,436,2396416
1588067623,435,2393856
1590623862,436,2394112
1593407686,439,2390784
1594682835,439,2398464
1596061956,440,2398976
1598571048,448,2399744
1601420904,451,2392064
1604015514,449,2394368
1606693232,446,2392064
1609370978,443,2398208
1611877030,446,2398976
1614293348,444,2398208
1615765029,446,2400512
1617143476,446,2398720
1619736557,445,2398464
1622414641,447,2398976
1624921861,453,2399744
1627601515,465,2401024
1630278829,465,2401792
1632958565,472,2401280
1635464703,467,2405888
