DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,7,15616
1438136187,7,15616
1438136187,7,15616
1440631768,7,15616
1475106770,8,15872
1477611060,7,15616
1496154684,10,16384
1498709715,7,15616
1527721309,8,16128
1527721309,8,16128
1527721309,8,16128
1527721309,8,16128
1527721309,8,16128
1527721309,8,16128
1532913201,9,16384
1535506363,9,16640
1564477833,10,17152
1569797722,11,17664
1574934812,11,17408
1585610296,13,17920
1588067623,15,18688
1590623862,14,18432
1596061956,15,18944
1601420904,15,18688
1606693232,15,18944
1619736557,16,19456
