DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,11,12544
1438136187,11,12544
1438136187,11,12544
1440631768,11,12544
1443512099,12,12800
1446103148,14,14848
1448836885,16,15360
1454452580,14,14336
1456617637,15,15360
1467243763,17,16384
1503993911,18,16640
1506621513,19,17664
1525042003,19,17664
1527721309,19,17664
1527721309,19,17664
1527721309,19,17664
1527721309,19,17664
1527721309,19,17664
1527721309,19,17664
1535506363,20,18688
1551310831,21,18944
1569797722,20,18176
1572392072,22,19200
1574934812,21,18176
1582800599,21,18432
1585610296,22,18688
1588067623,23,18432
1601420904,23,18176
1606693232,22,18688
1609370978,21,18176
1632958565,20,17920
